UWMA       ZA 663     Phu87
18.8591    21.1723    12.9509    IN
15.7525    17.3156    15.8375    BR
11.6063    12.3601    14.935     GL
11.5508    12.4047    14.6205    NA
8.0647     8.5164     9.0434     RH
6.3126     6.3177     5.333      NS
6.1025     5.9686     4.0881     PR
5.2653     6.7483     4.237      R_PR2
8.1289     9.6844     9.4719     R_PMS
8.3991     14.8994    8.6571     R_ZMI
10.0899    13.811     12.2913    R_ZMU
11.2258    12.8766    13.1222    R_DA
10.3753    13.8961    14.6701    R_MTI
10.9993    14.4521    15.8589    R_MTS
9.6021     15.4107    13.626     R_FMO
9.5191     16.4295    13.755     R_FMT
12.8994    21.0809    11.0005    R_PO
8.4453     17.1804    10.3606    R_ZTS
6.902      5.6139     4.2234     L_PR2
9.3711     9.1106     9.724      L_PMS
14.4961    9.9971     8.6747     L_ZMI
13.0884    11.3269    12.2762    L_ZMU
12.107     12.1929    13.0638    L_DA
13.4725    11.2272    14.7955    L_MTI
13.963     12.1825    15.7492    L_MTS
15.0261    11.01      13.5869    L_FMO
15.8252    11.2771    13.7002    L_FMT
20.0535    15.654     10.9106    L_PO
16.9919    10.4452    10.2394    L_ZTS
6.8238     5.6174     5.2852     O1
10.863     15.6383    15.4794    O2
18.7013    11.6186    10.2769    O3
19.4819    20.3857    12.1676    O4







































































































































































11.5799    12.4025    15.0064    GLRH
11.5866    12.3861    14.6199
11.5296    12.4308    14.3327
11.5039    12.3648    13.9817
11.4311    12.3073    13.7256
11.3604    12.2339    13.5512
11.3217    12.1518    13.4147
11.2561    12.078     13.2396
11.1844    12.0474    13.0873
11.1269    11.9869    12.9644
11.0336    11.8738    12.8342
10.9481    11.7883    12.7049
10.8728    11.7397    12.5961
10.7974    11.633     12.4627
10.6721    11.5317    12.2892
10.5497    11.3925    12.1137
10.4767    11.313     12.0026
10.3375    11.1976    11.8199
10.2041    11.0407    11.6604
10.0299    10.8659    11.415
9.8771     10.6847    11.2446
9.7633     10.5753    11.1046
9.6511     10.4138    10.9587
9.5403     10.2795    10.8435
9.3919     10.094     10.6584
9.2445     9.961      10.5043
9.123      9.8551     10.3788
9.0356     9.7298     10.2254
8.9464     9.6449     10.1471
8.821      9.5453     10.0272
8.7002     9.3191     9.8936
8.5849     9.1762     9.7189
8.4872     9.0129     9.591
8.3799     8.8468     9.4404
8.2652     8.6959     9.2549
8.1821     8.5664     9.1477
8.0978     8.477      9.0503



































































































































































8.1291     8.464      9.0882     NOSE
8.005      8.6579     9.1072
7.8161     8.8072     9.0231
7.6362     8.7579     8.7868
7.4771     8.75       8.576
7.2592     8.6776     8.3815
7.0677     8.5337     8.1153
6.8575     8.392      7.8579
6.6386     8.2935     7.7196
6.3863     8.2091     7.5758
6.135      8.0868     7.3587
6.0154     7.8707     7.1418
5.9823     7.6949     6.8849
5.869      7.4211     6.5003
5.8294     7.2681     6.3214
5.8661     7.0543     6.1385
5.8527     6.8372     5.9295
5.8473     6.6472     5.7517
5.9927     6.5736     5.5793
6.1601     6.5204     5.464
6.3843     6.4671     5.4789
6.4566     6.3167     5.4631
6.5558     6.087      5.5111
6.6549     5.9935     5.7347
6.8193     6.0874     5.9377
7.0119     6.1867     6.1141
7.1553     6.2459     6.2211
7.2711     6.2954     6.3266
7.4306     6.3346     6.4447
7.5691     6.3791     6.5835
7.7219     6.4198     6.7507
