UWMA       TP11       Pi2stv
18.5929    -1.2561    6.8811     IN
22.1343    -0.3887    11.0441    BR
27.3635    1.7208     10.2222    GL
27.3766    1.7533     9.9021     NA
29.6406    2.6959     7.7408     RH
31.3688    3.5516     5.9489     NS
31.7707    3.8286     5.0863     PR
31.9098    3.0162     5.0522     R_PR2
28.6845    1.8886     7.8873     R_PMS
28.9079    -1.1681    5.2695     R_ZMI
27.9966    0.2415     7.7683     R_ZMU
27.3461    1.51       8.9424     R_DA
27.8345    0.0046     10.057     R_MTI
27.4194    -0.2109    10.5871    R_MTS
27.6868    -1.6523    8.6917     R_FMO
27.2371    -2.174     8.9075     R_FMT
23.3578    -3.8294    6.7736     R_PO
27.4888    -2.6804    6.7038     R_ZTS
31.4212    4.4617     5.082      L_PR2
28.5172    2.869      7.8541     L_PMS
26.2736    5.2743     5.6187     L_ZMI
26.667     3.5665     7.9798     L_ZMU
26.8588    2.0938     9.0802     L_DA
26.4611    3.3029     10.1913    L_MTI
26.2312    3.2131     10.7668    L_MTS
25.2092    4.618      9.0841     L_FMO
24.5443    4.7855     9.1879     L_FMT
20.4942    3.3256     7.0907     L_PO
9999       9999       9999       L_ZTS
31.2125    4.7673     5.1364     O1
24.548     3.8424     10.2387    O2
25.8734    -3.6779    6.8152     O3
18.6419    -1.105     7.7643     O4







































































































































































27.3924    1.7096     10.0961    GLRH
27.401     1.7086     9.9588
27.3848    1.704      9.7667
27.379     1.7585     9.6042
27.3798    1.7755     9.3877
27.4589    1.8203     9.1154
27.5102    1.8707     8.9394
27.5996    1.9166     8.7343
27.7187    1.9795     8.586
27.8962    2.032      8.4587
28.0473    2.0764     8.3562
28.2593    2.2212     8.2323
28.4919    2.2531     8.1263
28.652     2.3104     8.0558
28.8238    2.3827     7.996
28.923     2.4002     7.9823
29.0816    2.4722     7.9275
29.2541    2.538      7.8791
29.36      2.5699     7.8515
29.4279    2.6115     7.8329
29.5818    2.6697     7.8064
29.6211    2.6697     7.7536


















































































































































































29.6524    2.6923     7.7323     NOSE
29.7525    2.4        7.6155
29.9238    2.1675     7.3327
30.1608    2.1041     7.1784
30.3772    2.1417     7.0182
30.6202    2.1832     6.8762
30.8224    2.265      6.7441
31.0177    2.3835     6.5485
31.1671    2.5944     6.3348
31.2715    2.7502     6.2683
31.3587    2.8988     6.2325
31.4611    3.0694     6.1341
31.4916    3.2269     6.041
31.4943    3.4166     5.966
31.4647    3.574      5.9328
31.3742    3.6846     5.9657
31.2831    3.7741     6.0201
31.1589    3.8432     6.1008
30.9277    3.9304     6.2579
30.8316    4.065      6.3214
30.6212    4.1056     6.4134
30.406     4.045      6.5763
30.3009    4.0711     6.6726
30.1088    4.0119     6.8725
29.9108    3.9127     6.9937
29.7256    3.7512     7.1269
29.645     3.6733     7.1971
29.5709    3.5703     7.3049
29.5273    3.4498     7.3573
29.4604    3.348      7.4564
29.5163    3.2504     7.5906
29.5761    3.0692     7.7099
29.5939    2.9949     7.7323
29.6057    2.7299     7.7837
29.636     2.657      7.7616





































































































































































31.4323    3.5929     5.928      NASP-PR
31.5416    3.6579     5.8292
31.6354    3.7238     5.6546
31.696     3.7745     5.5097
31.7718    3.8454     5.363
31.7807    3.8488     5.2528
31.7797    3.8469     5.1315

































































































































































































28.8197    1.8221     7.8051     R-PM/MAX
29.0326    1.8418     7.7128
29.2728    1.8859     7.6126
29.5076    1.9086     7.5238
29.6832    1.9096     7.4007
29.9264    1.9186     7.2726
30.1302    1.9058     7.16
30.3004    1.9268     7.0613
30.545     1.9768     6.9292
30.7139    2.0278     6.7987
30.8815    2.0963     6.6275
31.0338    2.1186     6.4939
31.1345    2.1209     6.3112
31.2489    2.1169     6.1078
31.3346    2.1216     6.0104
31.3852    2.1112     5.8597
31.5009    2.1418     5.6854
31.5869    2.1773     5.5232
31.6868    2.2492     5.3528
31.7327    2.2692     5.2719
31.7674    2.3422     5.2179
31.7278    2.4598     5.0047


















































































































































































28.5041    2.7969     7.8806     L-PM/MAX
28.571     2.8837     7.8227
28.7467    3.0215     7.7221
28.9018    3.1443     7.6651
29.0083    3.2711     7.5826
29.1606    3.3984     7.4726
29.3649    3.5925     7.3198
29.5406    3.7825     7.1987
29.7554    3.9482     7.054
29.9341    4.0994     6.8908
30.059     4.2175     6.7422
30.1346    4.3074     6.5962
30.1884    4.3964     6.4393
30.3058    4.522      6.1603
30.3448    4.6557     6.0006
30.4257    4.7556     5.7325
30.519     4.7979     5.5446
30.6415    4.8338     5.3592
30.7025    4.8352     5.2095
30.7361    4.7551     5.0747




















































































































































































29.7017    0.3059     4.5066     ROSTRUM
29.6975    0.3293     4.8677
29.6649    0.4003     5.1997
29.6759    0.5786     5.3905
29.6198    0.6989     5.6058
29.5829    0.7686     5.8723
29.5627    0.8186     6.0541
29.5577    0.8369     6.2051
29.5525    0.8456     6.3801
29.5581    0.8459     6.5147
29.5211    0.9477     6.7255
29.4963    1.145      6.9144
29.4456    1.2854     7.0418
29.3818    1.3851     7.1778
29.3092    1.503      7.276
29.24      1.5527     7.3751
29.1818    1.6992     7.5284
29.1163    1.7519     7.6192
29.0524    1.8338     7.6873
28.9563    1.9362     7.7807
28.889     2.0181     7.847
28.8391    2.2085     7.9514
28.7738    2.312      8.0027
28.6802    2.5478     7.9762
28.6204    2.6767     7.922
28.5928    2.823      7.8355
28.5139    3.042      7.6912
28.458     3.1885     7.617
28.4381    3.3505     7.5302
28.3305    3.5593     7.3314
28.2557    3.7498     7.1801
28.1978    3.9192     7.045
28.1745    4.0952     6.8812
28.1364    4.1643     6.6329
28.1467    4.2384     6.3101
28.1443    4.3144     6.0602
28.1384    4.4081     5.8328
28.1044    4.5072     5.6795
28.069     4.6348     5.5195
28.0464    4.7092     5.4278
28.0529    4.8067     5.2418
28.0328    4.8558     5.0712
28.0348    4.8565     4.9365
27.97      4.8613     4.7664
27.9666    4.8533     4.5795



























































































































































27.1956    -2.1921    8.7895     SUPORB
27.1722    -2.1665    8.9756
27.2034    -2.1287    9.2171
27.2129    -2.0117    9.6011
27.1796    -1.8557    9.8031
27.2172    -1.5574    10.0152
27.2704    -1.3177    10.1376
27.34      -1.0283    10.2704
27.3486    -0.85      10.3473
27.386     -0.6691    10.4288
27.3839    -0.4337    10.5076
27.3485    -0.2314    10.5453
27.3896    -0.0612    10.5862
27.2769    0.1517     10.5822
27.2373    0.226      10.5909
27.2099    0.3076     10.6044
27.2295    0.5581     10.6301
27.2417    0.7255     10.6273
27.2651    0.9763     10.6099
27.2608    1.1808     10.562
27.2323    1.3476     10.5243
27.2048    1.5031     10.4873
27.1892    1.623      10.458
27.1248    1.723      10.5015
26.9408    1.9499     10.6083
26.7334    2.0894     10.7044
26.5925    2.1685     10.7424
26.4544    2.2848     10.7559
26.3922    2.4296     10.7546
26.3012    2.5994     10.7556
26.307     2.7419     10.7801
26.3031    2.9145     10.7989
26.2095    3.1135     10.8021
26.0601    3.2952     10.7856
25.8834    3.5403     10.7347
25.7503    3.606      10.699
25.5755    3.6895     10.6385
25.3836    3.7901     10.5678
25.1589    3.9652     10.4605
25.0291    3.9971     10.4232
24.8225    4.1114     10.3271
24.7649    4.1425     10.2802
24.5281    4.3612     9.937
24.4924    4.4498     9.7067
24.5205    4.5769     9.4111
24.5158    4.679      9.2045
24.5697    4.7813     8.9779

























































































































































28.1105    -0.1639    7.6902     RORBIT
28.1329    -0.4194    7.7105
28.0534    -0.7227    7.7722
27.9874    -1.0048    7.8647
27.9312    -1.1112    7.9706
27.8589    -1.392     8.2224
27.7751    -1.5609    8.4334
27.6674    -1.6611    8.6301
27.6041    -1.5776    8.8308
27.6451    -1.471     9.1264
27.7402    -1.17      9.5765
27.772     -0.833     9.759
27.7476    -0.4915    9.8864
27.7941    -0.1443    9.9583
27.7795    0.0196     9.9913
27.7541    0.1941     9.9659
27.6982    0.4075     10.0106
27.5634    0.7114     10.0334
27.374     0.9484     9.9548
27.2968    1.1062     9.8108
27.2803    1.1244     9.6874
27.2121    1.2466     9.4751
27.2621    1.3427     9.2578
27.2555    1.3594     9.1585
27.3223    1.455      9.0363
27.4237    1.2873     8.5345





































































































































































