UWMA       T89-11-1   Pi3stv
13.5497    25.7652    5.6069     IN
13.2259    23.369     9.6841     BR
13.2021    17.3273    10.192     GL
13.2323    17.1567    9.9067     NA
13.399     13.3417    7.7407     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
12.9689    14.2131    7.7436     R_PMS
10.1773    16.0871    5.0159     R_ZMI
11.5701    16.3309    7.4602     R_ZMU
12.906     16.8845    8.7241     R_DA
11.4598    17.7122    9.8938     R_MTI
11.4002    18.2806    10.4376    R_MTS
9.9291     17.6953    8.4096     R_FMO
9.5872     18.4655    8.3121     R_FMT
9.9232     22.3586    5.1617     R_PO
8.8748     17.9491    5.8149     R_ZTS
9999       9999       9999       L_PR2
9999       9999       9999       L_PMS
17.01      16.0094    5.4909     L_ZMI
15.2457    16.2713    7.7761     L_ZMU
13.7769    16.9418    8.956      L_DA
15.1603    17.6819    10.1613    L_MTI
14.8985    18.2561    10.7141    L_MTS
16.7053    17.61      8.7559     L_FMO
17.3734    18.2833    8.6453     L_FMT
17.3323    22.2846    5.7931     L_PO
18.2282    17.7393    6.384      L_ZTS
12.5543    10.7049    4.6838     O1
10.0674    16.4976    6.073      O2
15.7784    18.6812    10.0042    O3
14.6954    25.5544    5.7542     O4







































































































































































13.2371    17.2226    9.9767     GLRH
13.263     17.0653    9.7549
13.2605    16.9281    9.5297
13.2585    16.8262    9.3528
13.2933    16.7444    9.2044
13.2829    16.638     9.0513
13.314     16.4758    8.8381
13.3559    16.2999    8.6595
13.3677    16.0622    8.4908
13.36      15.8939    8.3938
13.379     15.7299    8.3256
13.368     15.6184    8.263
13.3744    15.4591    8.1659
13.3192    15.196     8.0869
13.3591    14.9641    7.9991
13.3321    14.6639    7.9856
13.3334    14.4696    7.9607
13.3128    14.3199    7.9284
13.293     14.1595    7.8975
13.3202    13.9316    7.8759
13.3321    13.8027    7.8829
13.2984    13.6249    7.8423
13.3851    13.3548    7.7464

















































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































12.9152    14.2682    7.7509     R-PM/MAX
12.8032    13.7069    7.5933
12.7365    13.5519    7.5212
12.5695    13.0265    7.1972
12.5161    12.7341    7.0519
12.4628    12.565     6.9047
12.4318    12.4341    6.7873
12.436     12.3325    6.6124
12.383     12.2218    6.4768
12.3725    12.0716    6.3495
12.408     11.9719    6.1939
12.3521    11.7803    5.9554
12.3186    11.6774    5.8089
12.2945    11.5776    5.6199
12.2566    11.4214    5.4185
12.2169    11.3023    5.2215
12.1261    11.1885    5.0733
12.0776    11.014     4.782
12.0972    10.9212    4.4629
12.1226    10.981     4.2569
12.2217    10.9572    4.1022
12.2561    11.026     3.9816


















































































































































































9999       9999       9999       L-PM/MAX







































































































































































































11.2498    13.7941    3.8494     ROSTRUM
11.2554    13.7606    4.1105
11.2882    13.7921    4.3374
11.3727    13.8529    4.5924
11.4637    13.8641    4.8122
11.5181    13.908     5.0478
11.5258    13.9878    5.3358
11.5376    14.0437    5.5629
11.5453    14.0439    5.8799
11.6296    14.0701    6.247
11.8096    14.1089    6.5184
11.9926    14.1873    6.7075
12.1299    14.236     6.8829
12.2786    14.2861    7.0108
12.4063    14.4124    7.1353
12.5255    14.4912    7.3264
12.624     14.6162    7.4673
12.8084    14.6506    7.7387
13.2408    14.7474    7.9385
13.4628    14.7337    8.0078
13.833     14.7511    7.927
14.1092    14.7538    7.8427
14.147     14.8252    7.824
14.3346    14.8605    7.6757
14.5373    14.8742    7.5788
14.7381    14.8615    7.4633
14.9909    14.8485    7.3887
15.1221    14.8125    7.3404
15.3549    14.8133    7.21
15.4725    14.797     6.9479
15.5782    14.8448    6.7238
15.6449    14.8529    6.4771
15.7012    14.7721    6.1843
15.7427    14.6854    5.9429
15.7755    14.6464    5.6762
15.8568    14.5735    5.3906
15.9996    14.4981    5.1645
16.0909    14.4709    4.9807
16.1563    14.4514    4.6503
16.1968    14.4407    4.4558
16.2372    14.3853    4.303
16.216     14.4343    4.1454






























































































































































9.5386     18.429     8.301      SUPORB
9.5653     18.459     8.6431
9.6351     18.4574    8.8519
9.6966     18.423     9.0651
9.7903     18.4772    9.2488
9.917      18.4826    9.4403
10.0716    18.5042    9.6316
10.2692    18.4849    9.8276
10.4056    18.4828    9.9199
10.5758    18.4702    10.0308
10.739     18.4119    10.1445
10.9239    18.3452    10.2373
11.1041    18.3195    10.3192
11.2961    18.2806    10.4009
11.491     18.1907    10.4874
11.6623    18.1618    10.5102
11.8318    18.1321    10.5371
12.0425    18.0925    10.5574
12.2786    18.0399    10.5695
12.649     17.9014    10.5753
12.83      17.866     10.5803
12.9236    17.8635    10.5547
13.0325    17.8645    10.5612
13.2083    17.7914    10.5246
13.3344    17.8447    10.6077
13.591     17.8062    10.6599
13.8411    17.9718    10.6856
14.1115    17.9116    10.7077
14.4302    18.0136    10.7429
14.7345    18.0616    10.7472
14.9794    18.1582    10.7228
15.2526    18.147     10.673
15.5213    18.3249    10.5851
15.8152    18.2893    10.4926
16.1432    18.3583    10.3739
16.4316    18.4713    10.1343
16.6368    18.4641    9.9759
16.8014    18.4904    9.7303
16.939     18.4627    9.5315
17.0862    18.3841    9.3053
17.1773    18.3703    9.2079
17.2591    18.3183    9.0289
17.2986    18.3222    8.8785
17.4111    18.2315    8.6232




























































































































































11.5985    16.3451    7.4313     RORBIT
11.3215    16.3955    7.4146
11.0397    16.5214    7.3696
10.7161    16.7132    7.4355
10.4528    16.9555    7.5607
10.3454    17.1397    7.6857
10.2636    17.2981    7.8004
10.1353    17.4792    7.9925
10.1225    17.6278    8.1715
10.0704    17.7374    8.409
10.1587    17.8432    8.6398
10.1816    17.8247    8.8947
10.3194    17.848     9.1712
10.455     17.8554    9.3056
10.5849    17.8396    9.6144
10.8546    17.82      9.6441
11.0492    17.8438    9.6358
11.2797    17.8157    9.6856
11.5294    17.7492    9.7753
11.6968    17.7313    9.9613
11.9385    17.734     9.9935
12.1951    17.7155    10.0173
12.4435    17.7057    9.9703
12.58      17.6727    9.873
12.6831    17.5531    9.7498
12.7566    17.4445    9.6206
12.9055    17.2988    9.4358
12.9503    17.0955    9.0488
12.9554    16.9334    8.8772
12.9189    16.8817    8.7236










































































































































































15.2295    16.3413    7.7812     LORBIT
15.487     16.3739    7.7167
15.6853    16.4391    7.6854
15.8731    16.5525    7.7181
16.0117    16.6736    7.7519
16.1877    16.819     7.8342
16.2971    16.9341    7.915
16.4572    17.0537    8.0011
16.5541    17.1668    8.0851
16.6031    17.2876    8.2095
16.608     17.5754    8.4382
16.6638    17.6578    8.654
16.6266    17.7795    8.9264
16.5817    17.7587    9.1732
16.4187    17.7942    9.4615
16.334     17.8386    9.6647
16.296     17.8637    9.6969
15.8477    17.8341    9.9663
15.6453    17.8019    10.0275
15.3288    17.7876    9.9755
15.0555    17.77      10.0108
14.8383    17.7678    10.0809
14.5823    17.7547    10.2046
14.1621    17.6413    10.1567
13.9476    17.5171    9.9723
13.7914    17.3463    9.7021
13.739     17.1959    9.4497
13.7329    17.0805    9.219
13.7534    17.0144    9.0778
13.8093    16.9564    8.9415










































































































































































9.5275     18.3667    8.4451     RTEMFOS
9.5027     18.2895    8.1725
9.3829     18.1725    7.9611
9.4551     18.0282    7.8359
9.5331     17.821     7.6044
9.5517     17.5539    7.3827
9.5288     17.4267    7.1496
9.5068     17.2874    6.9076
9.5178     17.2342    6.7249
9.4494     17.2132    6.5215
9.4191     17.2255    6.3466
9.3845     17.2724    6.179
9.2621     17.387     6.0056
9.1208     17.4356    5.9563
9.0365     17.5581    5.901
8.9719     17.6852    5.8738
8.9027     17.7768    5.852
8.8842     17.8649    5.8614
8.8839     17.9484    5.8111





















































































































































































17.3873    18.2968    8.6589     LTEMFOS
17.461     18.1959    8.5013
17.4694    18.0091    8.3
17.4343    17.8632    8.1507
17.4664    17.7413    7.9928
17.4449    17.5079    7.7852
17.45      17.3909    7.5992
17.464     17.2896    7.437
17.4816    17.1787    7.1944
17.5422    17.0941    6.9703
17.6338    17.1113    6.7648
17.6886    17.1915    6.6281
17.9007    17.2667    6.593
17.9647    17.4305    6.5599
18.0236    17.5275    6.5187
18.1215    17.6886    6.4538
























































































































































































11.7087    16.3065    8.5789     OP
11.8345    17.7134    8.1884     BA
12.0836    22.5237    6.0213     ST
12.4723    26.6947    5.1484     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
9.7138     23.2326    6.812      R_M3D
9.8168     25.5057    6.0814     R_M12
10.3594    27.5271    5.5157     R_MP3
11.0292    28.1679    5.2873     R_PMI
15.2854    17.4576    7.6316     L_PG
17.0227    19.1973    6.4406     L_ZTI
14.2395    22.6263    6.6641     L_M3D
14.5597    25.1088    6.4266     L_M12
9999       9999       9999       L_MP3
9999       9999       9999       L_PMI
11.1635    28.3215    4.64       O1
8.6358     22.4052    4.1878     O2
14.8905    19.0292    1.7261     O3
12.7932    13.3741    7.1243     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9.7603     23.1622    6.7794     R-ALV
9.5117     23.6949    6.5762
9.5118     24.0666    6.4821
9.5715     24.2968    6.3905
9.6205     24.4755    6.3202
9.5663     24.6379    6.3509
9.5811     24.887     6.271
9.6483     25.1084    6.1619
9.7007     25.3318    6.0833
9.7945     25.4931    6.0144
9.8677     25.7239    5.9911
9.8908     25.9399    5.9039
9.9635     26.1232    5.8363
10.0285    26.2883    5.807
10.082     26.4236    5.7303
10.1294    26.6121    5.6568
10.167     26.8187    5.6023
10.2324    27.0035    5.5359
10.2755    27.1649    5.534
10.3106    27.3309    5.5107
10.374     27.4638    5.5689



















































































































































































9999       9999       9999       L-ALV
