UWMA       TP4        Pi5stv
9999       9999       9999       IN
9999       9999       9999       BR
21.2975    -5.6144    10.0645    GL
21.5311    -5.4425    9.7696     NA
25.2181    -4.3034    9.933      RH
28.0304    -3.3947    9.5114     NS
28.9446    -3.016     9.051      PR
28.9926    -3.7509    8.8236     R_PR2
24.5483    -5.0511    9.5525     R_PMS
25.312     -6.7781    6.7982     R_ZMI
23.3881    -6.5308    8.134      R_ZMU
22.2024    -5.6381    8.8569     R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
28.4791    -2.2249    9.1736     L_PR2
24.158     -4.1272    9.701      L_PMS
9999       9999       9999       L_ZMI
9999       9999       9999       L_ZMU
21.8099    -4.6063    9.2432     L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
28.7505    -2.2974    6.4678     O1
22.7781    -2.0407    8.0723     O2
19.1722    -5.2925    8.7425     O3
19.3975    -8.9002    4.7333     O4







































































































































































21.2977    -5.6236    10.0895    GLRH
21.4428    -5.5415    9.9558
21.5424    -5.4719    9.7902
21.6221    -5.4191    9.6076
21.837     -5.287     9.4085
21.9754    -5.2085    9.2738
22.2183    -5.0759    9.2019
22.4926    -5.0307    9.2903
22.848     -4.9488    9.3562
23.0953    -4.8881    9.4189
23.3611    -4.8131    9.4652
23.6263    -4.7297    9.5414
23.9052    -4.6569    9.6094
24.1195    -4.6101    9.6695
24.2636    -4.5939    9.683
24.3541    -4.5869    9.704
24.4476    -4.5565    9.7448
24.6099    -4.5285    9.806
24.8137    -4.4586    9.8479
24.9187    -4.4479    9.8798
24.9893    -4.4206    9.8928
25.1068    -4.3739    9.9114
25.1555    -4.3448    9.9168

















































































































































































25.2076    -4.401     9.9089     NOSE
25.4684    -4.7112    9.8018
25.7075    -4.8793    9.707
26.0223    -4.8723    9.5891
26.1989    -4.8398    9.4986
26.4851    -4.8086    9.4353
26.7668    -4.715     9.36
27.0311    -4.6152    9.3517
27.2504    -4.558     9.348
27.4283    -4.462     9.4218
27.5638    -4.3289    9.4554
27.6667    -4.2004    9.454
27.8046    -4.0852    9.4605
28.0195    -3.902     9.4817
28.1248    -3.7237    9.4713
28.1825    -3.57      9.5152
28.1471    -3.3783    9.5073
27.9588    -3.2448    9.5355
27.8829    -3.1233    9.6413
27.799     -3.052     9.6705
27.6374    -2.9681    9.7392
27.422     -2.9619    9.7664
27.1205    -2.9669    9.7527
26.8541    -2.968     9.779
26.5892    -3.0113    9.8413
26.3702    -3.0525    9.8618
26.0641    -3.1799    9.8666
25.8212    -3.3229    9.8759
25.6178    -3.4621    9.8925
25.4497    -3.6587    9.8893
25.2929    -3.842     9.9101
25.2714    -4.0106    9.9143
