TMP        STS 262    Pi6stv
9999       9999       9999       IN
16.3369    19.4548    11.4297    BR
15.7608    14.5792    10.72      GL
15.8287    14.487     10.2936    NA
15.8079    12.2209    8.1004     RH
15.8922    10.4141    6.0036     NS
15.8642    9.9639     5.4076     PR
15.1292    10.1975    5.4769     R_PR2
15.4176    12.9912    8.1418     R_PMS
13.0633    14.1695    5.8539     R_ZMI
14.1424    14.3557    7.9636     R_ZMU
15.4602    14.394     9.2973     R_DA
14.4605    15.1496    10.4667    R_MTI
14.4106    15.2101    10.9423    R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
16.4335    10.1204    5.514      L_PR2
16.4008    12.6927    8.0079     L_PMS
19.1381    14.0955    6.1524     L_ZMI
17.6274    14.018     8.1624     L_ZMU
16.3393    14.3879    9.3624     L_DA
17.6006    14.9358    10.7481    L_MTI
17.5664    15.0533    11.229     L_MTS
19.1072    15.4426    9.5194     L_FMO
19.5088    16.0906    9.5707     L_FMT
20.0645    18.6895    7.0411     L_PO
9999       9999       9999       L_ZTS
16.5982    10.5151    6.1628     O1
19.3597    15.8977    9.9759     O2
12.8782    18.948     9.0028     O3
16.7135    22.4331    8.2266     O4







































































































































































15.7433    14.556     10.6915    GLRH
15.7718    14.5327    10.4902
15.7736    14.4866    10.3168
15.8319    14.4426    10.124
15.838     14.3688    9.8729
15.8387    14.2773    9.6917
15.8797    14.1505    9.463
15.8986    14.0103    9.3037
15.9235    13.8487    9.121
15.9008    13.7197    8.9479
15.8873    13.5261    8.7956
15.9086    13.4309    8.7097
15.9054    13.2584    8.5498
15.8852    13.0742    8.4873
15.8642    12.8185    8.3632
15.8184    12.5678    8.2394
15.7969    12.4541    8.1651
15.7751    12.293     8.1203






















































































































































































15.8217    12.1396    7.9966     NOSE
15.6125    12.1685    7.9122
15.4085    12.2669    7.7182
15.3286    12.3511    7.523
15.2273    12.2051    7.3566
15.1825    11.9727    7.1505
15.1629    11.801     6.9975
15.1229    11.633     6.8433
15.1307    11.3974    6.6662
15.1752    11.2166    6.4918
15.2264    11.0113    6.4043
15.2902    10.8751    6.3424
15.4047    10.7469    6.2613
15.4897    10.5781    6.1761
15.586     10.4998    6.0945
15.6884    10.4337    6.0363
15.8191    10.3906    6.0064
15.9382    10.3648    6.0055
16.0806    10.3781    6.058
16.1647    10.4631    6.149
16.2846    10.5986    6.2702
16.3673    10.7601    6.3745
16.5115    10.9085    6.4465
16.6683    10.9825    6.5935
16.7313    11.1853    6.747
16.7512    11.3774    6.8932
16.7233    11.6237    7.0756
16.6632    11.7457    7.181
16.5998    11.8637    7.2768
16.5368    11.9635    7.4294
16.4237    12.0754    7.5534
16.3631    12.114     7.702
16.2813    12.1648    7.8341
16.1442    12.1834    7.948
15.9544    12.171     8.0432
15.8096    12.1567    8.0262











































































