TMP        T 10       Pi7sfv
9999       9999       9999       IN
9999       9999       9999       BR
14.0425    13.2462    9.8297     GL
14.0951    13.1881    9.6224     NA
9999       9999       9999       RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
11.1016    13.1366    5.3995     R_ZMI
11.7991    13.1231    7.5635     R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
10.7102    14.4309    8.8634     R_FMO
10.2597    15.0497    8.8098     R_FMT
9999       9999       9999       R_PO
9.725      14.7928    6.7117     R_ZTS
9999       9999       9999       L_PR2
9999       9999       9999       L_PMS
17.1863    12.9549    5.4051     L_ZMI
15.9831    13.1836    7.5066     L_ZMU
9999       9999       9999       L_DA
15.9165    13.8944    10.1531    L_MTI
15.9509    14.0951    10.6704    L_MTS
17.3398    13.9556    8.7771     L_FMO
17.9337    14.8199    8.9501     L_FMT
17.6487    18.3757    6.7051     L_PO
18.517     14.6085    6.7626     L_ZTS
15.6919    10.6349    5.2439     O1
16.9322    15.2349    9.963      O2
10.2541    17.1533    6.9741     O3
15.3118    20.5576    9.3361     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX




















































































































































































