TMP        T 13       Pi8stv
13.3202    22.5524    7.2038     IN
9999       9999       9999       BR
14.5978    14.3134    10.2896    GL
14.5397    14.3021    9.8905     NA
14.6096    12.0638    7.367      RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
9999       9999       9999       R_ZMI
9999       9999       9999       R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
15.0766    12.5915    7.4534     L_PMS
17.1128    14.3665    5.3777     L_ZMI
15.8133    14.2047    7.659      L_ZMU
14.7622    14.6218    9.2602     L_DA
16.2317    14.8166    9.9942     L_MTI
16.2454    15.2764    10.5868    L_MTS
17.4099    15.3224    8.6453     L_FMO
17.7841    16.2045    8.6063     L_FMT
17.2352    19.5083    6.839      L_PO
18.0657    16.3879    6.7491     L_ZTS
14.6163    10.2148    6.2363     O1
11.8809    14.5742    5.8136     O2
18.2234    16.9679    6.0661     O3
14.8672    22.5414    7.6891     O4







































































































































































14.5783    14.2933    10.097     GLRH
14.5538    14.2949    9.8494
14.5272    14.2936    9.6748
14.5213    14.256     9.5496
14.5348    14.2191    9.4301
14.5049    14.2163    9.3224
14.5383    13.8746    8.4477
14.5731    13.7187    8.347
14.5811    13.5817    8.2577
14.5786    13.4444    8.1677
14.5564    13.2941    8.1421
14.5505    13.1288    8.058
14.5638    13.0427    7.927
14.5435    12.8796    7.8967
14.5791    12.7334    7.807
14.6188    12.5763    7.7014
14.6398    12.505     7.6515
14.6381    12.4049    7.5485
14.654     12.273     7.5606
14.6593    12.1448    7.484
14.6815    12.0401    7.397



















































































































































































9999       9999       9999       NOSE















































