BPI        M3079      Ppa2stv
9999       9999       9999       IN
5.0179     18.171     8.4427     BR
6.3008     24.031     7.3071     GL
6.2558     24.043     7.3058     NA
9999       9999       9999       RH
7.6107     27.9281    3.7064     NS
7.7703     28.6256    3.0821     PR
8.7245     28.3021    3.2083     R_PR2
7.1042     25.037     5.9726     R_PMS
9999       9999       9999       R_ZMI
8.2885     23.5701    5.6988     R_ZMU
6.7674     23.7441    6.6739     R_DA
7.8245     22.9496    7.4366     R_MTI
7.8604     22.4267    7.8786     R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
6.2696     25.0756    6.0292     L_PMS
2.8286     25.2392    3.3791     L_ZMI
4.4773     24.4534    5.548      L_ZMU
5.7231     23.9195    6.5407     L_DA
4.3647     23.3383    7.7078     L_MTI
4.3142     22.9614    7.7949     L_MTS
2.8243     23.7739    6.1011     L_FMO
2.2012     23.0583    6.0474     L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
7.1184     28.2604    3.393      O1
8.8864     22.3727    4.5815     O2
3.0975     21.6196    7.3011     O3
6.0979     18.0538    8.1585     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































7.6349     28.0226    3.7258     NASP-PR
7.7302     28.2199    3.6233
7.7919     28.401     3.4616
7.7831     28.5188    3.3178
7.7884     28.5955    3.2311
7.7992     28.6487    3.1005


































































































































































































7.0732     25.0051    5.9666     R-PM/MAX
7.1784     25.1578    5.841
7.2862     25.2959    5.7261
7.3526     25.4458    5.6447
