UWMA       TP8        Ppa4stv
9999       9999       9999       IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
24.7451    0.8026     6.2866     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
24.0318    0.255      6.6935     R_PMS
23.8937    -2.5223    3.8309     R_ZMI
23.4487    -1.7585    6.1786     R_ZMU
23.0496    -0.1817    7.1609     R_DA
22.5016    -1.6065    8.1259     R_MTI
22.3098    -1.7418    8.571      R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
24.2969    1.2942     6.3067     L_PMS
22.0986    2.9616     4.1988     L_ZMI
22.2993    1.9269     6.3922     L_ZMU
22.5402    0.5633     7.3407     L_DA
21.317     1.4986     8.2596     L_MTI
21.1273    1.586      8.6084     L_MTS
20.7364    2.6719     7.1662     L_FMO
19.9969    3.0964     7.065      L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
26.6748    2.4051     4.0899     O1
23.5945    -3.7973    4.4154     O2
19.425     2.0796     7.6847     O3
14.4592    -1.4895    5.4379     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX















































































































































































