UWMA       T88-154    Ppa5stv
-12.5474   12.2338    7.8504     IN
-14.4244   15.0232    11.8573    BR
-17.5295   19.535     11.0496    GL
-17.5308   19.5262    11.0551    NA
-18.9098   21.2412    9.2225     RH
-20.2062   23.1352    7.0102     NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
-18.1091   20.7726    9.5423     R_PMS
-15.3847   21.5427    6.8099     R_ZMI
-15.8412   20.7765    8.9688     R_ZMU
-17.2747   19.6586    10.3506    R_DA
-16.0577   19.9206    11.0606    R_MTI
-15.8671   19.5908    11.5051    R_MTS
-14.7364   20.4714    9.9941     R_FMO
-13.932    20.1769    9.9434     R_FMT
-11.8416   17.4046    7.1231     R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
-18.9367   20.5714    9.2577     L_PMS
-20.3617   17.9874    6.517      L_ZMI
-19.4241   18.7391    8.9111     L_ZMU
9999       9999       9999       L_DA
-18.6261   18.1911    11.0773    L_MTI
-18.5259   17.9191    11.4326    L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
-17.4516   13.2198    7.0457     L_PO
9999       9999       9999       L_ZTS
-20.9298   22.8743    6.8843     O1
-20.469    17.2131    6.8803     O2
-14.1822   19.5492    10.8453    O3
-13.6364   11.894     8.454      O4







































































































































































9999       9999       9999       GLRH







































































































































































































-18.9842   21.2932    9.2499     NOSE
-18.6563   21.7268    8.8351
-18.665    22.0141    8.6063
-18.6003   22.1169    8.4696
-18.5778   22.3963    8.1738
-18.697    22.5665    8.0738
-18.7857   22.7285    7.9401
-18.8901   22.8824    7.7571
-18.9923   23.021     7.6637
