UWMA       T?         Ppa6stv
9999       9999       9999       IN
-16.4557   17.4956    6.1658     BR
-18.9932   18.5345    10.2902    GL
-18.9933   18.5127    10.2874    NA
9999       9999       9999       RH
-24.363    23.7827    13.4701    NS
-25.0817   24.499     13.7158    PR
-24.5515   24.9906    13.7806    R_PR2
9999       9999       9999       R_PMS
-19.3645   24.3495    10.2081    R_ZMI
-19.0436   21.6123    10.6585    R_ZMU
-19.3331   19.6588    10.3452    R_DA
-17.1863   19.661     10.3618    R_MTI
-16.8906   19.4102    10.3666    R_MTS
-16.8424   21.5838    10.2527    R_FMO
-16.165    21.8549    9.9773     R_FMT
9999       9999       9999       R_PO
-16.9685   24.596     9.7488     R_ZTS
-25.6465   24.0079    13.3077    L_PR2
9999       9999       9999       L_PMS
9999       9999       9999       L_ZMI
9999       9999       9999       L_ZMU
-19.7109   18.9689    9.7116     L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
-24.3055   27.0947    12.3916    O1
-23.4572   20.8901    8.9224     O2
-17.599    24.5018    10.3603    O3
-14.8567   19.5349    5.9458     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE









































































































































