TMP        T 11       Ppa7stv
9999       9999       9999       IN
14.2695    20.9991    9.5444     BR
14.5357    15.4826    8.7159     GL
14.5452    15.5073    8.7074     NA
14.5467    12.9197    6.8253     RH
14.5532    10.9116    4.8072     NS
14.5146    10.4159    4.4045     PR
13.4785    10.6513    4.2857     R_PR2
14.3966    14.1465    7.2387     R_PMS
9999       9999       9999       R_ZMI
13.1371    14.9623    6.7366     R_ZMU
14.2575    15.0635    7.6282     R_DA
12.9784    16.0477    8.7613     R_MTI
12.9416    16.462     9.2135     R_MTS
11.6796    16.2584    7.6845     R_FMO
11.1187    16.8144    7.6749     R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
14.9704    14.167     7.2904     L_PMS
17.224     15.1866    4.9286     L_ZMI
16.375     15.1823    6.6546     L_ZMU
15.1953    15.1703    7.5478     L_DA
16.1721    16.1502    8.878      L_MTI
16.1821    16.2938    9.2705     L_MTS
17.2925    16.4126    7.992      L_FMO
17.9124    17.053     7.5932     L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
1          2          3          O1
4          5          6          O2
7          8          9          O3
3          2          1          O4







































































































































































14.512     15.4846    8.7266     GLRH
14.5045    15.3849    8.5923
14.55      15.2238    8.3962
14.5724    15.137     8.2727
14.5597    15.068     8.1084
14.5657    15.0487    7.9912
14.6481    14.6441    7.7631
14.6596    14.3795    7.5904
14.617     14.1282    7.4427
14.6184    13.9415    7.3407
14.6349    13.7212    7.2209
14.6294    13.497     7.133
14.6097    13.3245    7.0324
14.6064    13.179     6.9618
14.5992    13.0767    6.8997
14.6039    13.006     6.8806
14.6072    12.9277    6.8276























































































































































































14.5963    12.8946    6.7767     NOSE
14.344     12.8921    6.7523
14.1593    12.8522    6.5819
14.0623    12.7437    6.4127
13.9189    12.606     6.2384
13.8365    12.461     6.057
13.7667    12.301     5.9227
13.7276    12.1201    5.7368
13.7068    11.9116    5.5546
13.7379    11.685     5.3938
13.8278    11.4953    5.2798
13.926     11.3412    5.175
14.049     11.1466    5.0971
14.0813    11.0818    5.0617
14.3081    10.9189    4.8655
14.4377    10.8795    4.8294
14.5807    10.8556    4.7869
14.7643    10.9258    4.8602
14.9631    10.935     4.9465
15.1262    11.0471    5.0735
15.2379    11.1948    5.1489
15.3274    11.3396    5.1975
15.3829    11.48      5.2927
15.4256    11.5969    5.3629
15.521     11.8188    5.4514
15.5651    11.955     5.5708
15.5791    12.1326    5.718
15.5028    12.285     5.863
15.4042    12.4206    6.0496
15.2738    12.5622    6.2341
15.219     12.6887    6.3681
15.1549    12.8455    6.5633
15.1182    12.9085    6.6876
15.0334    12.9476    6.7448
14.8374    12.9583    6.7619
14.6123    12.9025    6.7661




































































































































































14.5968    11.0029    4.8051     NASP-PR
14.5796    10.7416    4.6996
14.5497    10.5866    4.5607
14.5807    10.4274    4.4366

















































































































