TMP        STS 254a   Ppb10stv
9999       9999       9999       IN
16.7137    18.304     11.4111    BR
16.4237    13.7631    10.4008    GL
16.431     13.765     10.4088    NA
16.2196    11.1519    8.2404     RH
16.1275    9.4246     6.5451     NS
16.1736    8.8798     5.7867     PR
15.3914    9.2842     5.6675     R_PR2
16.0107    12.8456    8.9585     R_PMS
13.3963    13.6269    5.8095     R_ZMI
14.7943    13.5363    8.2626     R_ZMU
15.9933    13.6591    9.2987     R_DA
14.9382    14.4902    10.4896    R_MTI
14.9013    14.7913    10.8292    R_MTS
13.6048    14.6752    9.0913     R_FMO
13.2268    15.5663    9.0971     R_FMT
13.7125    19.6902    6.4592     R_PO
12.6105    15.7579    6.7587     R_ZTS
17.0701    8.974      5.9323     L_PR2
16.7787    12.2551    8.6291     L_PMS
9999       9999       9999       L_ZMI
18.0987    12.992     8.643      L_ZMU
16.9678    13.5733    9.3988     L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
16.9656    9.4577     6.6965     O1
19.1021    15.2513    10.2539    O2
11.2655    17.1294    9.2391     O3
15.6325    21.5827    6.6638     O4







































































































































































16.4575    13.7247    10.3663    GLRH
16.4631    13.6407    10.2251
16.4234    13.5149    10.0392
16.4187    13.4089    9.8463
16.4101    13.2825    9.6799
16.397     13.1704    9.5195
16.4114    13.0345    9.3751
16.3833    12.9042    9.265
16.3778    12.7966    9.189
16.3477    12.6835    9.0805
16.3195    12.5187    8.9647
16.3299    12.4055    8.912
16.331     12.3124    8.8679
16.2925    12.1178    8.7858
16.301     12.0043    8.7574
16.2913    11.8645    8.6785
16.2806    11.7487    8.6199
16.2663    11.6541    8.5778
16.2357    11.5081    8.513
16.2476    11.3979    8.4612
16.2356    11.2956    8.4018
16.2206    11.2583    8.3626
16.2166    11.1366    8.2614

















































































































































































16.1944    11.1595    8.2895     NOSE
16.0359    11.1594    8.2092
15.931     11.3015    8.0374
15.8163    11.3311    7.8955
