TMP        STS 397    Ppb11
9999       9999       9999       IN
16.5899    19.9735    11.1874    BR
9999       9999       9999       GL
9999       9999       9999       NA
9999       9999       9999       RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
13.3065    13.1486    6.7021     R_ZMI
14.8516    13.3085    9.3195     R_ZMU
15.9943    13.7848    10.2807    R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
13.0906    15.1574    10.0946    R_FMT
12.8145    19.0887    6.5122     R_PO
12.2567    15.2933    7.2211     R_ZTS
9999       9999       9999       L_PR2
9999       9999       9999       L_PMS
19.9652    13.238     6.4905     L_ZMI
18.3808    13.256     9.1315     L_ZMU
17.2094    13.7666    10.0506    L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
19.5598    14.6182    9.854      L_FMO
20.1859    15.2474    9.957      L_FMT
20.3964    18.8821    6.3202     L_PO
9999       9999       9999       L_ZTS
17.6319    9.6536     6.7826     O1
19.6559    14.8741    10.6667    O2
11.9254    16.0499    8.2381     O3
16.4705    21.2339    8.4262     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































14.2605    11.3881    5.9636     ROSTRUM
14.2956    11.4379    6.2029
14.3657    11.5361    6.4422
14.4741    11.5634    6.6262
14.584     11.6017    6.8297
14.629     11.6122    6.9933
14.6901    11.6728    7.208
14.7644    11.7057    7.4276
14.8079    11.753     7.6302
14.8634    11.7975    7.7875
14.8966    11.8512    7.9736
14.9462    11.8767    8.1251
15.0659    11.9173    8.2851
15.1566    11.9794    8.4533
15.2653    12.0254    8.604
15.3736    12.1019    8.6936
15.4863    12.1144    8.7595
15.617     12.1613    8.8923
15.8163    12.1375    9.0503
16.29      12.2356    9.6319
16.4078    12.2821    9.7278
16.7071    12.2637    9.7317
16.9194    12.2579    9.6395
17.1453    12.2305    9.4497
17.2362    12.1837    9.2514
17.3342    12.1758    9.1143
17.4279    12.1481    8.9368
17.5519    12.1208    8.7901
17.6806    12.1057    8.6953
17.81      12.0852    8.5873
17.9579    12.0839    8.4277
18.0452    12.0859    8.2528
