TMP        STS 534    Ppb12stv
13.286     18.772     5.6366     IN
19.5258    17.8335    5.802      BR
21.6505    13.0059    6.0763     GL
21.6602    13.0061    6.0764     NA
9999       9999       9999       RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
17.8256    10.7856    9.7299     R_ZMI
19.9238    11.6079    8.1311     R_ZMU
20.8871    12.3728    6.9007     R_DA
21.4648    13.8367    7.7914     R_MTI
21.7689    14.215     7.6609     R_MTS
20.3508    13.2959    9.2143     R_FMO
19.6843    13.6217    9.5306     R_FMT
15.0344    16.0776    9.3541     R_PO
9999       9999       9999       R_ZTS
19.6938    5.1977     6.3813     L_PR2
9999       9999       9999       L_PMS
9999       9999       9999       L_ZMI
9999       9999       9999       L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
1          2          3          O1
4          5          6          O2
7          8          9          O3
3          2          1          O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































17.0451    8.4962     9.0744     ROSTRUM
17.2184    8.6878     9.0855
17.4314    8.806      9.0121
17.6367    8.9837     8.9661
17.8138    9.0808     8.9117
17.9614    9.1537     8.9317
18.2688    9.2916     8.8319
18.4304    9.4385     8.7847
18.6154    9.505      8.7385
18.7812    9.6213     8.696
19.0775    9.8242     8.623
19.3775    9.9636     8.544
19.5504    10.092     8.4684
19.7847    10.1927    8.2576
19.8951    10.2721    8.1416
19.9945    10.3289    7.9524
20.0857    10.379     7.8229
20.1738    10.4783    7.628
20.339     10.5772    7.5151
20.4412    10.6537    7.3673
20.6176    10.7441    7.1926
20.7205    10.8141    7.0974
20.8628    10.9413    6.9829
20.9847    11.0391    6.8778
21.1142    11.1788    6.718
21.176     11.1968    6.6379
21.2875    11.2691    6.4818
21.3206    11.2607    6.4197
21.3509    11.306     6.2752
9999       9999       9999










































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































12.998     15.4912    6.2344     OP
9999       9999       9999       BA
17.0559    10.2015    6.4143     ST
18.6794    7.0447     6.7906     IV
14.6917    14.6093    9.6187     R_PG
9999       9999       9999       R_ZTI
16.2052    10.4125    8.5672     R_M3D
17.3724    8.6368     9.0185     R_M12
18.3844    6.6625     8.7075     R_MP3
9999       9999       9999       R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
9999       9999       9999       L_M3D
9999       9999       9999       L_M12
9999       9999       9999       L_MP3
19.1601    5.7095     5.7337     L_PMI
1          2          3          O1
4          5          6          O2
7          8          9          O3
3          2          1          O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































16.2951    10.4797    8.5577     R-ALV
16.4381    10.3206    8.6511
16.5319    10.2189    8.6972
16.6023    10.1463    8.7855
16.6901    9.973      8.8723
16.7729    9.8731     8.9197
16.8486    9.7634     8.9639
16.935     9.6605     9.0018
17.0398    9.4873     9.0382
17.1244    9.3939     9.0559
17.2559    9.2675     9.0777
17.3627    9.1362     9.0619
17.4525    9.0652     9.03
17.5421    8.9627     9.0118
17.6532    8.7317     8.9656
17.7787    8.5279     8.9342
17.9189    8.3421     8.9322
18.0468    8.1005     8.8903
18.1628    7.8911     8.8611
18.3106    7.597      8.8463
18.3409    7.3956     8.8827
18.4454    7.1915     8.8671
18.5046    7.0178     8.8178
18.5203    6.9307     8.7969
18.5337    6.7571     8.757















































































































































































9999       9999       9999       L-ALV
