BPI        M3070      Ppb1
9999       9999       9999       IN
9999       9999       9999       BR
11.7947    13.1713    7.2445     GL
11.7861    13.1693    7.2433     NA
11.7124    10.6252    5.4762     RH
11.6535    8.7187     3.6043     NS
11.7054    8.0016     2.89       PR
9999       9999       9999       R_PR2
11.347     11.7563    5.6695     R_PMS
8.4388     13.1971    3.2399     R_ZMI
10.0742    13.1888    5.4018     R_ZMU
11.2917    13.3954    6.4109     R_DA
10.2343    13.9639    7.5644     R_MTI
10.7168    14.3442    8.0538     R_MTS
8.916      14.378     6.4461     R_FMO
8.5881     15.0845    6.6083     R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
12.4009    8.245      2.9922     L_PR2
12.2614    11.5321    5.5351     L_PMS
15.2944    12.8886    3.3639     L_ZMI
13.7567    13.0124    5.315      L_ZMU
9999       9999       9999       L_DA
13.2092    13.6662    7.5706     L_MTI
13.3384    13.8467    7.9469     L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
16.3505    14.4141    3.9739     L_ZTS
13.0064    9.1737     3.3638     O1
9.1302     15.4967    6.9428     O2
16.6546    16.7761    4.057      O3
10.1151    21.2507    2.7747     O4







































































































































































11.7849    13.2454    7.3444     GLRH
11.8102    13.087     7.124
11.8002    12.9723    6.969
11.8175    12.8838    6.8412
11.8196    12.8178    6.7351
11.8184    12.6977    6.6399
11.836     12.5422    6.5103
11.8169    12.4304    6.3931
11.8081    12.2403    6.2476
11.7751    12.0282    6.1289
11.7571    11.909     6.0742
11.7324    11.7275    5.9807
11.7194    11.5949    5.9152
11.7148    11.4767    5.8649
11.6933    11.2754    5.7759
11.7101    11.1184    5.7009
11.6951    10.9019    5.5991
11.7125    10.7751    5.5462
11.7134    10.7127    5.5096
11.711     10.601     5.4629




















































































































































































11.6551    10.6471    5.4705     NOSE
11.3562    10.6528    5.3403
11.2308    10.6524    5.1237
11.0922    10.6033    4.9221
11.0353    10.5009    4.7882
10.9702    10.3629    4.6184
10.8917    10.274     4.5205
10.8391    10.0717    4.3578
10.7945    9.8278     4.2299
10.7596    9.6019     4.0817
10.7833    9.4769     3.9706
10.9559    9.2795     3.8593
11.1234    9.0668     3.8141
11.2248    8.9945     3.7742
11.3852    8.8723     3.7501
11.4861    8.8267     3.7532
11.5704    8.764      3.6965
11.686     8.6839     3.6109
11.785     8.7982     3.6753
11.8767    8.9321     3.7135
12.0544    9.119      3.7466
12.1238    9.2736     3.7972
12.2875    9.3562     3.8696
12.3774    9.4461     3.9289
12.5068    9.5467     4.032
12.5584    9.7173     4.1678
12.5813    9.8396     4.2418
12.5833    9.9543     4.3204
12.534     10.0927    4.4479
12.4642    10.2088    4.5837
12.4197    10.3083    4.6634
12.3576    10.4399    4.7933
12.297     10.5645    4.9598
12.245     10.6006    5.0428
12.0846    10.596     5.2399
11.9754    10.6145    5.3497
11.9118    10.6572    5.4138
