BPI        M3084      Ppb2stv
9999       9999       9999       IN
11.1711    21.5213    3.1877     BR
10.614     16.8454    5.2312     GL
10.5596    16.6028    5.1101     NA
10.4475    13.8581    5.0012     RH
10.4038    10.421     4.584      NS
9999       9999       9999       PR
9.5438     9.8843     4.3977     R_PR2
10.2136    14.4861    4.6322     R_PMS
9999       9999       9999       R_ZMI
8.5735     15.423     3.2578     R_ZMU
10.1469    16.2193    4.3557     R_DA
8.8645     17.2901    4.4649     R_MTI
8.8631     18.1108    4.6927     R_MTS
7.3989     16.8033    3.3205     R_FMO
6.9158     17.2401    2.7099     R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
11.2795    9.6831     4.5591     L_PR2
11.0557    14.3761    4.411      L_PMS
14.2859    13.7074    2.5109     L_ZMI
12.8204    15.2999    3.8976     L_ZMU
11.3824    16.3689    4.4543     L_DA
12.6995    17.1723    4.9624     L_MTI
12.9844    17.8831    5.088      L_MTS
14.141     16.5257    3.9668     L_FMO
14.839     17.1432    3.6574     L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
1          2          3          O1
4          5          6          O2
7          8          9          O3
3          2          1          O4







































































































































































10.5689    16.9348    5.2801     GLRH
10.5756    16.7444    5.191
10.5749    16.5628    5.0831
10.606     16.2925    4.9244
10.6314    16.0811    4.8144
10.6548    15.869     4.7591
10.6392    15.5948    4.6893
10.6227    15.3672    4.6889
10.5922    15.1314    4.7079
10.5788    14.949     4.719
10.5088    14.7551    4.7807
10.488     14.4937    4.8657
10.4575    14.2971    4.9337
10.4341    14.0914    4.98
10.4455    13.9743    5.0219
10.4502    13.8474    4.9768
























































































































































































10.4592    13.8422    4.9764     NOSE
10.0252    13.698     4.7653
9.8996     13.5494    4.5347
9.8129     13.377     4.3309
9.6833     13.0704    4.2939
9.6403     12.8248    4.2856
