UWMA       MP 224     Ppb5stv
9.9499     25.86      5.3193     IN
10.1883    22.0479    8.772      BR
10.5305    16.3501    7.4041     GL
10.5479    16.3597    7.4152     NA
10.8237    14.1644    5.0691     RH
10.9647    12.8753    3.2909     NS
10.9575    12.3491    2.7948     PR
10.3079    12.5299    2.7825     R_PR2
10.4334    15.3212    5.9488     R_PMS
7.4742     16.4488    3.4145     R_ZMI
8.9953     16.2646    5.3943     R_ZMU
10.1676    16.3534    6.3985     R_DA
9.0913     17.0792    7.7527     R_MTI
9.0781     17.2418    8.2212     R_MTS
7.8021     17.0986    6.5895     R_FMO
7.3834     17.6007    6.8669     R_FMT
6.3828     22.0217    4.2752     R_PO
6.3012     17.7541    4.4511     R_ZTS
11.6967    12.6129    2.8817     L_PR2
11.135     15.3707    5.8157     L_PMS
13.7798    16.9074    3.4941     L_ZMI
12.2542    16.5341    5.3227     L_ZMU
11.1843    16.3933    6.1569     L_DA
11.9546    17.1271    7.723      L_MTI
11.9421    17.3189    8.169      L_MTS
13.2739    17.5151    6.5844     L_FMO
13.5428    18.0241    6.8022     L_FMT
13.7538    22.6392    4.2245     L_PO
14.6571    18.3527    4.2652     L_ZTS
11.8375    13.178     3.4157     O1
7.6158     17.9394    7.3097     O2
15.0312    20.5358    4.2769     O3
10.8329    25.7804    4.8181     O4







































































































































































10.5488    16.5407    7.7306     GLRH
10.5478    16.4643    7.6046
10.5669    16.3844    7.3973
10.5922    16.2724    7.206
10.5956    16.1498    7.0212
10.6171    16.047     6.8291
10.6346    16.0096    6.6938
10.6781    15.89      6.5232
10.698     15.7626    6.4142
10.7184    15.6614    6.2961
10.7306    15.52      6.2155
10.7312    15.3673    6.0981
10.7007    15.1359    5.9757
10.7056    14.8928    5.7824
10.7443    14.684     5.5589
10.7667    14.5689    5.4621
10.7829    14.252     5.1415























































































































































































10.805     14.211     5.096      NOSE
10.5514    14.2714    5.052
10.3792    14.3152    4.8628
10.2068    14.2944    4.7066
10.1573    14.2153    4.486
10.0682    14.002     4.2722
10.0793    13.7544    4.0606
10.0891    13.6611    3.9821
10.1307    13.5704    3.8979
10.1932    13.4358    3.8112
10.2543    13.3105    3.7118
10.3099    13.1914    3.6721
10.3852    13.1208    3.6187
10.4501    13.0094    3.5517
10.5693    12.9212    3.4699
10.6797    12.8507    3.4114
10.7742    12.7796    3.3219
10.905     12.7919    3.2737
11.0063    12.7966    3.2557
11.1537    12.8083    3.3312
11.2908    12.8749    3.3984
11.4744    13.042     3.5028
11.5292    13.1637    3.5661
11.6397    13.2905    3.6062
11.7209    13.4094    3.6678
11.7731    13.5337    3.7752
11.8002    13.6456    3.8618
11.7917    13.7785    3.9622
11.7857    13.8774    4.0448
11.7781    13.9616    4.1164
11.7439    14.0758    4.2156
11.7007    14.1427    4.2921
11.6454    14.2201    4.3807
11.534     14.3065    4.5059
11.4659    14.3567    4.6702
11.3571    14.3947    4.7635
11.2031    14.3587    4.9693
11.0906    14.284     5.0969
10.876     14.1969    5.0349

































































































































































10.9715    12.8514    3.2795     NASP-PR
10.9962    12.6786    3.1698
10.9866    12.567     3.0571
10.9835    12.4625    2.9863
10.9631    12.3987    2.8852
10.9831    12.3974    2.7198














































































































