UWMA       MP2(M202)  Ppb6stv
9999       9999       9999       IN
10.8033    22.7704    6.2983     BR
11.3165    17.2667    7.6394     GL
11.3136    17.2565    7.6423     NA
11.3381    13.3004    6.6878     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
10.6072    13.8794    6.5877     R_PMS
7.9222     15.0003    3.6563     R_ZMI
9.3074     16.1633    5.9415     R_ZMU
10.5416    16.5027    6.7544     R_DA
9.1084     18.0178    7.3862     R_MTI
9.1143     18.4649    7.63       R_MTS
7.705      17.743     6.2428     R_FMO
7.0928     18.3388    6.1154     R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
11.7997    14.237     6.5518     L_PMS
15.1576    15.5071    3.7489     L_ZMI
13.1439    16.2523    5.7386     L_ZMU
11.8123    16.901     6.7122     L_DA
13.2837    18.1031    7.3049     L_MTI
13.4389    18.4471    7.5272     L_MTS
14.591     17.9365    6.0697     L_FMO
15.218     18.7168    5.8847     L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
11.7137    10.1632    5.1642     O1
15.536     16.1719    3.7967     O2
8.126      19.2803    6.8611     O3
9.7654     25.0969    2.8815     O4







































































































































































11.2529    17.3908    7.6687     GLRH
11.2296    17.1806    7.6044
11.2292    16.9946    7.4921
11.2203    16.7803    7.3915
11.2153    16.5886    7.295
11.2112    16.3391    7.2206
11.2184    16.0718    7.1328
11.1894    15.6966    7.0399
11.2463    15.4505    7.0098
11.22      15.2337    6.9666
11.2518    15.0414    6.9196
11.2648    14.8008    6.8845
11.255     14.5869    6.8694
11.2526    14.4251    6.848
11.2771    14.1994    6.8216
11.2804    13.95      6.7912
11.2839    13.7905    6.7592
11.2771    13.5923    6.7268
11.2819    13.4957    6.7101
11.2637    13.4132    6.6985
11.2978    13.2886    6.6497



















































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































11.7718    14.2734    6.5591     L-PM/MAX
11.8577    13.9163    6.4834
11.9322    13.6656    6.4241
12.0046    13.4507    6.3494
12.0937    13.209     6.2259
12.2106    12.9775    6.1398
12.2739    12.7799    6.0771
12.3773    12.4687    6.0145
12.4471    12.2233    5.9322
12.47      11.9601    5.8307
12.5202    11.7861    5.7153
12.585     11.6331    5.5919
12.6864    11.4512    5.463
12.7767    11.2584    5.2546
12.8504    11.1293    5.1482
12.9375    10.9922    5.0361
13.0025    10.8861    4.8901
12.9904    10.8733    4.8082
12.7723    10.7585    4.5989





















































































































































































8.5515     13.0692    2.7285     ROSTRUM
8.5206     13.218     3.0148
8.558      13.4411    3.5047
8.7165     13.596     3.8275
8.8942     13.7122    4.1545
8.9654     13.8136    4.3284
9.0097     13.9339    4.6708
9.0627     14.0638    4.9306
9.0391     14.1977    5.2367
9.1318     14.3208    5.5204
9.2822     14.4576    5.7366
9.4961     14.5596    5.9475
9.6652     14.6047    6.0846
9.8546     14.6057    6.1775
10.0085    14.6429    6.2994
10.222     14.6953    6.4639
10.3769    14.8577    6.5738
10.5259    14.9098    6.6882
10.6502    14.9614    6.7619
10.8222    14.9896    6.8381
11.0155    15.0448    6.9094
11.1661    15.0543    6.9312
11.272     15.1117    6.9121
11.5613    15.0824    6.7687
11.6697    15.0332    6.6628
11.8123    14.9714    6.5553
11.9556    14.8445    6.3992
12.0873    14.7723    6.2583
12.2979    14.6514    6.1498
12.5741    14.5272    6.0382
12.8124    14.4224    5.8818
12.9506    14.2319    5.7574
13.087     14.1203    5.5565
13.191     14.0161    5.2832
13.197     14.0168    4.9571
13.1607    13.8942    4.7837
13.193     13.8499    4.5069
13.2479    13.7682    4.3027
13.3416    13.6566    4.0981
13.4712    13.5671    3.9325
13.5899    13.5315    3.7597
13.7013    13.4425    3.5644
13.7732    13.3867    3.3713
13.8002    13.306     3.16
13.8055    13.2247    2.9858
13.8161    13.1656    2.8322
13.7831    13.1173    2.6396

























































































































































7.063      18.4046    6.1046     SUPORB
7.1682     18.5173    6.3071
7.3736     18.5156    6.5528
7.5863     18.5976    6.752
7.765      18.661     6.8771
7.9885     18.6553    7.038
8.2193     18.6653    7.1867
8.4925     18.7028    7.2901
8.7305     18.7367    7.3716
8.9161     18.691     7.4505
9.2219     18.6682    7.537
9.3883     18.6489    7.5915
9.6849     18.6186    7.6909
9.9182     18.6241    7.7565
10.1784    18.5798    7.8204
10.4178    18.5789    7.8666
10.6625    18.5248    7.8875
10.9062    18.4037    7.8984
11.0518    18.303     7.8896
11.168     18.2957    7.8796
11.4029    18.3992    7.8563
11.621     18.4221    7.8374
11.8825    18.4347    7.8112
12.1227    18.5507    7.7813
12.4299    18.6277    7.6976
12.6766    18.6353    7.6222
12.9172    18.6355    7.5294
13.1065    18.6762    7.476
13.3817    18.6795    7.4101
13.5825    18.6742    7.3594
13.829     18.7156    7.2661
13.9855    18.7187    7.1978
14.2354    18.701     7.0913
14.4077    18.6827    6.9423
14.5595    18.7032    6.8007
14.7128    18.7116    6.6619
14.8137    18.7002    6.5403
14.9833    18.6923    6.3504
15.1072    18.6754    6.1616
15.1854    18.6961    6.0398
15.2336    18.6445    5.9651
15.2609    18.5809    5.8046






























































































































































9.3523     16.1384    5.9117     RORBIT
9.0647     16.2298    5.8667
8.8116     16.368     5.8713
8.4775     16.5064    5.843
8.2887     16.6611    5.8624
8.1381     16.8266    5.8856
8.0388     16.9772    5.9351
7.9777     17.1113    5.9449
7.8567     17.3184    5.9908
7.7391     17.5389    6.0476
7.718      17.7542    6.1865
7.7316     17.9131    6.3487
7.7888     17.9995    6.4842
7.8493     18.0553    6.6422
8.0184     18.0922    6.8532
8.1997     18.1283    6.9674
8.4149     18.1359    7.1886
8.6003     18.0943    7.2753
8.9153     18.0433    7.4234
9.0969     17.9903    7.4964
9.3486     17.9212    7.5173
9.4633     17.8988    7.5319
9.6129     17.8863    7.5114
9.8146     17.8955    7.463
9.9392     17.9533    7.4946
10.3179    17.9176    7.54
10.4629    17.8258    7.4961
10.5587    17.7161    7.4027
10.6483    17.5308    7.2691
10.7191    17.1151    7.1022
10.6759    16.9553    6.9851
10.6031    16.8654    6.8416
10.5573    16.7084    6.752







































































































































































13.1924    16.3619    5.6887     LORBIT
