UWMA       MP208      Ppb8stv
21.2993    -2.7828    2.8521     IN
24.0032    -1.5632    7.5763     BR
29.0302    0.1747     7.607      GL
29.1551    0.3261     7.1509     NA
31.1931    1.1876     5.492      RH
33.0851    1.9029     3.5996     NS
33.5243    2.0536     3.0489     PR
33.5852    1.3919     3.2302     R_PR2
30.4536    0.5152     5.8533     R_PMS
30.8637    -2.5544    3.45       R_ZMI
30.1098    -1.1068    5.3262     R_ZMU
29.4297    -0.0367    6.3108     R_DA
29.1339    -1.2501    7.3521     R_MTI
28.9392    -1.2669    7.7021     R_MTS
29.5621    -2.5018    6.4455     R_FMO
29.2035    -3.1369    6.5468     R_FMT
25.9467    -5.4607    3.0499     R_PO
9999       9999       9999       R_ZTS
32.9604    2.6722     3.2343     L_PR2
30.1182    1.1497     5.8657     L_PMS
28.2257    3.2371     3.0091     L_ZMI
28.66      1.895      5.0231     L_ZMU
28.9318    0.8442     6.1123     L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
23.529     1.9061     2.3504     L_PO
9999       9999       9999       L_ZTS
33.3515    1.0513     3.6133     O1
28.0231    3.2502     3.4715     O2
28.7031    -2.8975    7.1657     O3
21.3417    -0.5511    2.6618     O4







































































































































































29.0027    0.2197     7.5632     GLRH
29.1132    0.2875     7.2676
29.2831    0.3824     6.9758
29.4298    0.4402     6.7721
29.596     0.5224     6.5855
29.7639    0.5745     6.3722
29.9027    0.654      6.273
30.1544    0.7726     6.0878
30.4496    0.8752     5.9498
30.6977    0.987      5.8061
30.8616    1.0642     5.6996
31.0577    1.1409     5.5937
31.1902    1.1924     5.4974
31.2635    1.207      5.4196


























































































































































































31.2714    1.1354     5.4239     NOSE
31.4235    0.9407     5.2619
31.5779    0.7602     5.1321
31.7243    0.6846     4.8251
31.945     0.6796     4.6247
32.1286    0.7433     4.4478
32.369     0.8056     4.313
32.581     0.9512     4.1787
32.7699    1.0825     4.0739
32.885     1.1768     3.9928
33.0542    1.4526     3.8371
33.1162    1.6531     3.7504
33.1137    1.8547     3.6116
32.9336    2.1207     3.5922
32.7444    2.2057     3.7457
32.4939    2.2495     3.8647
32.2243    2.2242     3.9621
32.0135    2.2779     4.0412
31.7879    2.2304     4.2058
31.6152    2.1505     4.3783
31.4536    2.0209     4.589
31.3255    1.9061     4.725
31.233     1.8025     4.9576
31.1473    1.7144     5.0302
31.1391    1.4724     5.3824
31.1699    1.2827     5.4415
31.1984    1.2288     5.4648













































































































































































33.0718    1.876      3.6175     NASP-PR
33.2537    1.9527     3.5036
33.3388    2.0191     3.3784
33.4484    2.0718     3.2772
33.521     2.1115     3.0914








































