TMP        STS 565    Ppj4stv
9999       9999       9999       IN
9999       9999       9999       BR
15.8874    13.2598    10.0375    GL
15.8986    13.2629    10.0276    NA
15.7194    11.6236    8.344      RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
15.5015    12.496     8.6592     R_PMS
13.1471    13.411     5.4318     R_ZMI
14.0323    13.1217    8.0146     R_ZMU
15.3895    13.1183    8.9188     R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
13.0183    18.5559    6.2285     R_PO
12.1032    14.8638    6.2676     R_ZTS
16.0979    8.8377     5.378      L_PR2
16.3186    12.314     8.4997     L_PMS
19.2041    12.8762    5.9823     L_ZMI
17.8068    12.8143    8.0437     L_ZMU
16.5015    13.1764    8.8644     L_DA
17.4385    13.5162    10.1612    L_MTI
17.3441    13.6148    10.5319    L_MTS
19.0492    13.601     9.017      L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
16.858     9.7454     6.2153     O1
18.4761    14.2836    9.9565     O2
11.766     15.9274    6.2236     O3
17.5208    21.2256    7.7218     O4







































































































































































15.8555    13.2546    10.0428    GLRH
15.8326    13.1147    9.8529
15.8404    13.0109    9.6783
15.8719    12.9304    9.5212
15.8718    12.8189    9.2855
15.8905    12.5878    9.0662
15.8522    12.4619    8.9477
15.824     12.3185    8.8645
15.8294    12.1791    8.7269
15.8081    12.0342    8.6505
15.8003    11.8943    8.5516
15.7942    11.7915    8.4882
15.7934    11.6967    8.4431
15.7428    11.5395    8.2831


























































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































