KNM        LT 24111   Ppl1stv
9999       9999       9999       IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
11.8357    13.3489    8.8056     RH
11.3312    11.9439    10.2131    NS
11.2228    11.6063    10.5611    PR
10.5523    11.7824    10.6539    R_PR2
11.4111    13.3453    8.7244     R_PMS
9999       9999       9999       R_ZMI
9999       9999       9999       R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
11.7288    11.2164    10.3737    L_PR2
12.503     13.272     8.6444     L_PMS
13.7381    11.205     6.7156     L_ZMI
13.3978    13.1421    6.8145     L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
1          2          3          O1
4          5          6          O2
7          8          9          O3
3          2          1          O4







































































































































































9999       9999       9999       GLRH







































































































































































































11.9148    13.4814    8.7871     NOSE
11.669     13.4555    8.8064
11.4405    13.3554    8.8919
11.3243    13.2395    9.1242
11.2106    13.1608    9.2852
11.1328    13.0189    9.4709
11.0255    12.9011    9.6768
10.9576    12.7114    9.8444
10.8998    12.5637    9.9733
10.9122    12.4492    10.0947
11.125     12.1782    10.2638
11.2474    12.1002    10.3565
11.258     11.7602    10.3431
11.4749    11.8726    10.1307
11.7621    12.0445    9.9988
11.9196    12.0623    9.8911
12.0956    12.2114    9.7346
12.2392    12.3768    9.6098
12.1803    12.4758    9.5212
12.1997    12.5786    9.4617
12.2569    12.711     9.3372
12.2865    12.8331    9.2486
12.2796    12.9659    9.1241
12.2101    13.12      9.0059
12.103     13.3507    8.7849
11.8481    13.3996    8.778














































































































































































11.2142    11.7034    10.4241    NASP-PR
11.1958    11.6398    10.4847
11.1922    11.5409    10.5658
11.1357    11.4685    10.5796
11.1017    11.3416    10.5684



































































































































































































11.3018    13.41      8.8466     R-PM/MAX
11.2039    13.3248    8.9691
11.0738    13.2625    9.0428
10.991     13.1942    9.1802
