UWMA       MP221      Ppw1
5.6337     17.5192    7.7644     IN
6.2498     21.9618    11.5018    BR
7.4013     28.3961    10.9965    GL
7.3993     28.3928    10.9866    NA
8.0411     32.3009    7.6967     RH
8.3416     34.5164    5.1378     NS
8.4193     35.0995    4.0083     PR
9.1849     34.8474    4.0819     R_PR2
8.2164     30.3738    8.9593     R_PMS
10.9167    28.0136    5.7743     R_ZMI
9.646      28.5421    8.4727     R_ZMU
8.0526     28.4951    9.6347     R_DA
9.1106     27.4754    11.0378    R_MTI
8.8551     27.1381    11.5346    R_MTS
10.5751    26.948     9.8937     R_FMO
10.9232    26.2846    9.8064     R_FMT
10.4593    20.6914    6.8051     R_PO
12.1337    26.0117    6.8271     R_ZTS
7.6539     35.0062    4.103      L_PR2
7.126      30.1806    9.1467     L_PMS
3.8831     29.2205    5.7977     L_ZMI
5.5055     29.1092    8.4814     L_ZMU
6.7583     28.666     9.5992     L_DA
5.5393     28.1609    11.0234    L_MTI
5.435      27.6687    11.4644    L_MTS
3.9754     27.9685    9.7258     L_FMO
3.3675     27.5564    9.5868     L_FMT
2.3469     22.2053    6.6801     L_PO
2.1679     27.412     6.7504     L_ZTS
7.613      34.8764    4.7686     O1
9.8883     25.7063    10.9967    O2
1.3214     25.3368    6.7623     O3
4.8955     17.7214    7.3894     O4







































































































































































7.439      28.4658    10.9384    GLRH
7.4186     28.6014    10.7941
7.4639     28.6663    10.6539
7.4757     28.7904    10.5052
7.4716     28.9046    10.3652
7.5105     29.0011    10.2533
7.5148     29.1176    10.1388
7.5237     29.2917    10.0159
7.582      29.4848    9.886
7.6012     29.6641    9.7784
7.6313     29.8769    9.6413
7.6691     30.0579    9.5265
7.6908     30.2664    9.4126
7.7482     30.4554    9.2921
7.784      30.6424    9.1856
7.8008     30.8033    9.0996
7.8108     30.9738    8.9882
7.8359     31.0954    8.8967
7.863      31.2172    8.8066
7.8753     31.3265    8.709
7.8909     31.5005    8.5928
7.9276     31.6396    8.4634
7.9195     31.7424    8.3643
7.9168     31.871     8.2405
7.9318     32.0061    8.1219
7.9544     32.0951    8.0276
7.9726     32.1664    7.9476
7.9851     32.2362    7.8539
7.9866     32.2829    7.7291











































































































































































8.0361     32.2688    7.7321     NOSE
8.2743     32.2611    7.6866
8.457      32.1753    7.6182
8.5704     32.0809    7.5551
8.6074     32.0669    7.4088
8.7503     32.1675    7.2272
8.7943     32.2463    7.0774
8.8576     32.3673    6.9301
8.954      32.5076    6.7692
8.9854     32.606     6.6102
9.095      32.7797    6.4679
9.1943     32.8902    6.344
9.2005     33.0281    6.186
9.2062     33.1608    6.0629
9.2043     33.2974    5.9245
9.1932     33.416     5.7924
9.2007     33.5788    5.6624
9.1315     33.7286    5.5392
9.0594     33.8662    5.4284
8.9493     34.0069    5.3732
8.8252     34.1398    5.3194
8.7322     34.2931    5.2767
8.562      34.3929    5.2095
8.4177     34.4051    5.212
8.2995     34.4039    5.1782
8.1279     34.4368    5.2399
7.8578     34.4406    5.2762
7.7319     34.3068    5.3253
7.6367     34.1837    5.3828
7.5243     34.0472    5.3983
7.4253     33.9449    5.4657
7.2816     33.8326    5.5652
7.1708     33.7219    5.7164
7.1015     33.5566    5.8323
7.0797     33.3774    5.9578
7.0478     33.2606    6.0899
7.0663     33.112     6.2682
7.1012     33.0155    6.3934
7.1568     32.8657    6.585
7.1986     32.7046    6.686
7.2332     32.5565    6.788
7.2443     32.5058    6.99
7.287      32.4018    7.1274
7.3159     32.2758    7.3026
7.2852     32.2118    7.4655
7.4        32.2164    7.6193
7.5063     32.2342    7.7099
7.6742     32.2547    7.792
7.8859     32.2695    7.7924
7.997      32.3001    7.7268






















































































































































8.3104     34.4835    5.1477     NASP-PR
8.3858     34.7069    5.063
8.3825     34.7958    4.9263
8.424      34.8986    4.7592
8.443      34.9568    4.602
8.4422     34.9875    4.4455
8.4242     35.0333    4.3224
8.4266     35.0705    4.1897
8.4106     35.1232    4.0684































































































































































































8.1945     30.3729    8.9499     R-PM/MAX
8.302      30.6464    8.7191
8.3595     30.7904    8.5889
8.4        30.9546    8.4581
8.4646     31.1084    8.3014
8.5091     31.2694    8.1641
8.6016     31.441     7.9126
8.6972     31.5742    7.7562
8.742      31.6707    7.5842
8.8047     31.7984    7.4948
8.8681     31.881     7.3673
8.9231     32.025     7.1567
9.0243     32.1362    6.9707
9.1074     32.27      6.7888
9.2094     32.5299    6.5754
9.2601     32.6357    6.4594
9.3199     32.8206    6.3079
9.4009     32.9935    6.0835
9.4168     33.259     5.8205
9.4263     33.3476    5.7606
9.5255     33.4863    5.4979
9.572      33.5567    5.3808
9.6566     33.6003    5.2131
9.7381     33.7248    5.0458
9.821      33.7763    4.9451
9.8919     33.8453    4.7884
9.9694     33.8307    4.6539
9.9652     33.7543    4.3789












































































































































































7.1437     30.5899    8.8261     L-PM/MAX
7.1291     30.7354    8.6571
7.1397     30.856     8.5679
7.121      30.9987    8.4618
7.1448     31.1253    8.3773
7.137      31.2952    8.2159
7.1045     31.4591    8.071
7.0922     31.6311    7.8539
7.0409     31.7693    7.7095
7.0251     31.9049    7.5335
6.9979     32.028     7.3614
6.9784     32.1151    7.2523
6.982      32.2666    7.0922
6.9611     32.3894    6.9219
6.9039     32.5562    6.7312
6.8781     32.7507    6.5624
6.8708     32.9381    6.4094
