UWMA       MP223      Ppw2stv
11.6617    23.617     2.5475     IN
9999       9999       9999       BR
11.5131    14.348     10.2331    GL
11.5131    14.348     10.2331    NA
11.6242    10.11      8.5713     RH
11.6954    7.2097     6.9466     NS
11.6845    5.8002     5.9955     PR
10.8185    5.8866     5.9348     R_PR2
11.102     12.0908    8.837      R_PMS
7.4821     13.2451    5.5255     R_ZMI
9.2643     13.7971    8.0144     R_ZMU
10.8277    14.0262    8.8264     R_DA
9.5326     15.1573    10.1583    R_MTI
9.4672     15.6135    10.4361    R_MTS
8.1268     15.1602    8.8513     R_FMO
7.8337     16.2702    8.8411     R_FMT
7.3337     19.6047    3.9203     R_PO
9999       9999       9999       R_ZTS
12.5874    6.1203     6.0069     L_PR2
12.1085    12.2129    8.9113     L_PMS
15.5301    13.1796    5.6014     L_ZMI
14.024     13.912     8.1454     L_ZMU
12.2128    14.2874    9.1184     L_DA
13.525     15.3126    10.1197    L_MTI
13.4673    15.5894    10.4961    L_MTS
14.8955    15.3712    8.9343     L_FMO
15.5141    16.0918    8.7378     L_FMT
15.9126    19.9752    4.2203     L_PO
17.0002    15.2038    5.826      L_ZTS
12.4291    6.2119     6.7395     O1
9.0557     17.6084    9.0935     O2
17.1196    18.5268    5.0136     O3
12.4315    23.3771    2.8261     O4







































































































































































11.4622    14.3799    10.2361    GLRH
11.4616    14.2454    10.0509
11.5109    14.0332    9.8108
11.5186    13.7376    9.7066
11.5121    13.4562    9.5492
11.5343    13.1442    9.412
11.5466    12.9329    9.3473
11.5961    12.7191    9.2902
11.5795    12.5341    9.243
11.5989    12.2529    9.1838
11.5884    12.0289    9.1376
11.5641    11.9111    9.1101
11.5634    11.6854    9.0503
11.5637    11.4778    9.0173
11.5437    11.2547    8.9581
11.5657    11.0364    8.9012
11.5404    10.8462    8.8403
11.5618    10.5954    8.7754
11.5572    10.418     8.7088
11.5417    10.2792    8.6499
11.5694    10.2198    8.6127
11.554     10.1271    8.5646


















































































































































































11.5218    10.1343    8.563      NOSE
11.2584    10.1514    8.4774
11.1343    10.2165    8.3109
10.8912    10.0401    7.6974
10.8019    9.8317     7.6223
10.742     9.6382     7.5814
10.6426    9.467      7.5402
10.5434    9.2036     7.4715
10.5485    9.0024     7.4289
10.5002    8.7383     7.2837
10.5648    8.5064     7.148
10.6025    8.3136     7.1072
10.6349    8.0765     7.0881
10.7007    7.8745     7.0714
10.832     7.6194     7.0832
10.8942    7.4785     7.0922
11.0212    7.2219     7.1083
11.168     7.1508     7.0696
11.3123    7.1052     7.0074
11.4859    7.0948     6.9811
11.6582    7.101      6.9401
11.8736    7.1425     6.9661
12.0572    7.1533     7.0202
