UWMA       MP76       Ppw4stv
9999       9999       9999       IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
10.6712    16.2384    6.1412     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9.9044     18.3235    6.9599     R_PMS
6.219      18.4642    3.217      R_ZMI
8.1962     18.7307    5.9249     R_ZMU
9.4249     19.4137    7.0313     R_DA
7.7927     19.9465    8.0984     R_MTI
7.666      20.4448    8.5421     R_MTS
6.4679     20.0051    6.7475     R_FMO
5.8622     20.9615    6.7711     R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
10.9191    18.1979    6.7044     L_PMS
9999       9999       9999       L_ZMI
9999       9999       9999       L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
9.7796     13.1736    3.1238     O1
13.5862    18.9086    3.1239     O2
7.5406     22.1256    7.9956     O3
10.361     22.6719    4.6252     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9.9197     18.2255    6.8007     R-PM/MAX
9.8857     18.0141    6.638
9.8757     17.8225    6.5118
9.8691     17.6383    6.3985
9.8541     17.4617    6.299
9.8273     17.3297    6.1843
9.7951     17.1677    6.0926
9.7864     16.9891    5.9934
9.7451     16.8355    5.9063
9.6991     16.6901    5.7562
9.6895     16.5179    5.6653
9.6291     16.3096    5.5063
9.5834     16.1057    5.3595
9.5602     15.925     5.2477
9.5443     15.792     5.163
9.4869     15.5239    5.0134
9.4819     15.3051    4.892
9.4741     15.1526    4.7902
9.47       14.8803    4.6166
9.4761     14.7077    4.5191
9.4781     14.4232    4.3493
9.4685     14.235     4.2623
9.3418     14.097     4.0267
9.3023     13.8929    3.8715
9.2376     13.6582    3.6743
9.2194     13.442     3.494
9.1559     13.2877    3.2585
9.1529     13.2831    3.0629
9.3356     13.3564    2.8383












