UWMA       ?T89 154   Ppx1stv
16.3364    -2.9267    5.7423     IN
19.409     -1.2965    10.0709    BR
25.0055    0.8445     10.6243    GL
25.0104    0.8282     10.607     NA
9999       9999       9999       RH
30.4186    3.0288     5.8476     NS
9999       9999       9999       PR
31.6799    2.6193     5.0637     R_PR2
27.8299    1.2894     8.1424     R_PMS
9999       9999       9999       R_ZMI
26.3746    -0.7826    8.4276     R_ZMU
25.4289    0.6428     9.9129     R_DA
25.3472    -0.9314    10.6272    R_MTI
24.9708    -1.1017    11.0856    R_MTS
25.6726    -2.4623    9.3945     R_FMO
25.1996    -3.3682    9.632      R_FMT
21.5835    -5.1334    4.9521     R_PO
9999       9999       9999       R_ZTS
31.1643    3.9163     4.8003     L_PR2
27.4249    2.3485     8.1989     L_PMS
24.4291    4.604      5.8439     L_ZMI
24.9168    2.8586     8.4389     L_ZMU
25.0743    1.3438     9.6858     L_DA
24.1032    2.3113     10.4774    L_MTI
23.887     2.1216     11.0528    L_MTS
23.3057    3.5469     9.424      L_FMO
22.4139    4.1374     9.4039     L_FMT
18.5805    2.3524     4.9391     L_PO
9999       9999       9999       L_ZTS
30.6184    4.314      5.0192     O1
24.2032    4.5434     6.1309     O2
24.3326    -3.0398    10.0615    O3
16.2211    -1.741     5.3903     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































27.8157    1.2609     8.1484     R-PM/MAX
27.9933    1.2951     7.9795
