UWMA       T90-87     Ppx4stv
10.5175    25.4721    8.4426     IN
10.3361    21.7396    10.801     BR
10.0762    15.8632    9.4703     GL
10.075     15.861     9.4587     NA
10.1746    12.6751    5.9785     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9.6797     14.0081    6.7898     R_PMS
6.9643     16.3565    4.3514     R_ZMI
8.077      15.9864    7.0922     R_ZMU
9.6674     15.6895    8.1212     R_DA
8.0841     16.4367    9.1782     R_MTI
8.0063     16.7174    9.7868     R_MTS
6.9954     16.9505    7.9652     R_FMO
6.0923     17.7697    8.0547     R_FMT
6.7425     22.4143    6.2616     R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
9999       9999       9999       L_PMS
13.994     16.1099    4.797      L_ZMI
12.1677    15.5848    7.1831     L_ZMU
10.7443    15.8517    8.4008     L_DA
11.687     16.4689    9.5173     L_MTI
11.5447    16.5641    10.0781    L_MTS
13.5679    16.7375    8.4973     L_FMO
14.2264    17.3297    8.6283     L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
9.0927     12.2299    3.8506     O1
6.342      16.4201    5.1629     O2
13.3604    17.7071    9.8669     O3
12.4126    24.7037    8.1017     O4







































































































































































10.0458    15.7388    9.2466     GLRH
10.0186    15.6576    9.0139
10.0414    15.5536    8.7837
10.0664    15.5289    8.6491
10.1671    15.2652    8.2027
10.1622    15.0788    8.0434
10.1374    14.9092    7.8176
10.1522    14.7519    7.6903
10.147     14.5669    7.5215
10.1554    14.4148    7.4295
10.2024    13.7696    6.9255
10.2175    13.5264    6.8022
10.2106    13.2754    6.5762
10.2171    13.1503    6.4781
10.163     13.0049    6.3126
10.1896    12.9011    6.2256
10.1861    12.8035    6.1356
10.201     12.7576    6.0605
10.152     12.6501    5.9868





















































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































7.9034     15.308     2.7927     ROSTRUM
7.9067     15.2806    3.043
7.8418     15.3405    3.2873
7.8485     15.3276    3.5809
7.9102     15.2654    3.8501
8.0158     15.2079    4.1811
8.0012     15.2358    4.3603
7.9509     15.2367    4.711
7.967      15.1337    4.9629
7.9234     15.0861    5.1567
7.8273     15.0362    5.4258
7.8714     14.8821    5.8647
8.0058     14.8823    6.2311
8.2619     14.8424    6.4056
8.6883     14.7492    6.6545
8.9959     14.8068    6.8143
9.2304     14.7359    6.902
9.3999     14.696     7.0191
9.5227     14.6698    7.1462
9.6397     14.655     7.2184
9.8355     14.612     7.3829
10.0255    14.5972    7.4971
10.14      14.5829    7.5342
10.4019    14.6514    7.4451
10.7873    14.645     7.1264
11.0757    14.7018    6.9825
11.3521    14.703     6.8751
11.6424    14.7183    6.7658
11.9929    14.704     6.6476
12.2465    14.7278    6.5087
12.4888    14.717     6.4001
12.5959    14.7543    6.1839
12.7274    14.7992    5.899
12.7599    14.8814    5.6076
12.6392    14.8677    5.2748
12.6358    14.9501    4.9745
12.6563    14.9856    4.6852
12.7061    15.01      4.479
12.7804    14.9935    4.2802
12.8343    14.9668    3.9767
12.8837    14.9732    3.7628
12.9018    15.0018    3.606
12.8732    15.078     3.4239





























































































































































5.9945     17.7281    7.9326     SUPORB
6.0796     17.7695    8.0617
6.1525     17.7537    8.2827
6.243      17.6883    8.556
6.4007     17.6726    8.8009
6.5273     17.6132    9.0527
6.7746     17.5026    9.2541
7.0276     17.3474    9.4041
7.2173     17.1367    9.5024
7.3703     17.0218    9.5932
7.6067     16.8485    9.6746
7.8447     16.7657    9.7549
8.0824     16.6637    9.7861
8.2771     16.661     9.8351
8.478      16.6805    9.8842
8.6751     16.6052    9.8734
8.8037     16.6411    9.9131
9.1852     16.546     9.9465
9.45       16.4689    9.9866
9.7227     16.3726    9.9656
9.9532     16.3654    9.9628
10.1098    16.3141    9.9416
10.5093    16.3029    9.9687
10.7154    16.4155    10.0425
10.8653    16.4894    10.0404
11.1138    16.6573    10.0935
11.5071    16.6608    10.094
11.9124    16.7251    10.0807
12.1708    16.7349    10.0643
12.5013    16.7417    10.0293
12.8113    16.8176    10.0139
13.0987    16.8884    9.9286
13.2658    16.9687    9.8927
13.4319    17.1026    9.8105
13.6795    17.2127    9.6286
13.8642    17.3433    9.5269
14.1143    17.4374    9.2354
14.1867    17.4615    9.0848
14.2085    17.4547    8.932
14.2516    17.4097    8.7727
































































































































































8.07       15.9537    7.0634     RORBIT
7.642      16.1979    7.1279
7.3893     16.338     7.1941
7.1839     16.5676    7.3754
7.0226     16.8517    7.6662
6.9959     16.9022    7.8061
