UWMA       SWP612     Ppx5stv
9999       9999       9999       IN
11.0007    22.2126    9.9896     BR
11.244     16.8326    7.7973     GL
11.2408    16.8288    7.8069     NA
11.5551    15.005     5.4319     RH
11.9236    14.1749    3.7283     NS
12.0256    13.74      3.1773     PR
11.295     13.9587    3.2526     R_PR2
11.0423    16.1922    6.3619     R_PMS
9999       9999       9999       R_ZMI
9.8722     16.9343    5.8096     R_ZMU
10.8566    16.9472    7.0121     R_DA
10.0496    17.1046    8.1543     R_MTI
9.9463     17.3162    8.5045     R_MTS
8.4655     17.5412    6.9715     R_FMO
8.033      18.0357    7.063      R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
12.7455    14.0134    3.4172     L_PR2
11.6861    16.3499    6.5425     L_PMS
14.1474    17.5351    4.3463     L_ZMI
12.7621    17.0874    5.9595     L_ZMU
11.7437    16.9608    6.9894     L_DA
12.5098    17.3129    8.2729     L_MTI
12.3178    17.5486    8.7294     L_MTS
13.9538    17.9692    7.213      L_FMO
14.1897    18.3676    7.3771     L_FMT
14.5492    22.8038    5.7943     L_PO
9999       9999       9999       L_ZTS
13.0096    14.8689    4.001      O1
14.5231    17.5485    5.2654     O2
8.2522     18.3259    7.7102     O3
12.5668    25.2594    6.7629     O4







































































































































































11.19      16.8223    7.78       GLRH
11.2025    16.7406    7.5787
11.2194    16.6809    7.4138
11.2209    16.6077    7.2806
11.2485    16.541     7.0774
11.2308    16.4469    6.9434
11.2602    16.3401    6.7928
11.2622    16.2487    6.6423
11.3135    16.0817    6.4601
11.3437    15.9437    6.3264
11.3673    15.8114    6.1835
11.3886    15.6973    6.0803
11.4288    15.5365    5.9354
11.4584    15.3658    5.8124
11.4997    15.1747    5.6559
11.5008    15.0896    5.5717
11.498     14.9985    5.4601























































































































































































11.4545    15.0087    5.4492     NOSE
11.256     15.0549    5.3679
11.0967    15.1019    5.2548
10.9741    15.1863    5.1347
10.9356    15.2095    5.0203
10.9049    15.1155    4.8481
10.8924    15.0166    4.6821
10.8962    14.8884    4.5135
10.9378    14.7408    4.3427
11.0019    14.6361    4.2634
11.1102    14.4643    4.1142
11.2367    14.3247    4.0124
11.3533    14.2407    3.9704
11.391     14.1759    3.9181
11.5107    14.1718    3.8708
11.6678    14.1369    3.7393
11.8381    14.0983    3.664
12.0215    14.0896    3.7123
12.1906    14.212     3.8779
12.2979    14.2752    3.9461
12.423     14.3747    4.1071
12.4714    14.5623    4.2932
12.4397    14.7498    4.48
12.4354    14.8956    4.6292
12.2972    15.1097    4.935
12.1503    15.188     5.083
12.0397    15.2546    5.2202
11.9589    15.2749    5.2662
11.8553    15.1876    5.3892
11.6614    15.0508    5.4835
11.5229    15.0265    5.4963









































































































































































11.913     14.0818    3.6642     NASP-PR
11.9179    13.9598    3.5619
11.9653    13.8546    3.4509
12.0104    13.7875    3.3108
12.0264    13.7544    3.1878
12.0289    13.7693    3.0226


































































































































































































10.955     16.2084    6.3347     R-PM/MAX
10.9292    16.1325    6.159
10.9207    16.0175    5.9912
10.9001    15.9513    5.8681
10.8732    15.8687    5.7595
10.8543    15.79      5.6313
10.824     15.6852    5.4856
10.7855    15.6319    5.3457
10.7661    15.4764    5.1653
10.7274    15.3932    4.9907
10.6438    15.2313    4.7843
10.6188    15.1071    4.6112
10.6327    14.9173    4.4185
10.6587    14.7104    4.1894
10.6295    14.612     3.988
10.6129    14.5157    3.7826
10.5968    14.449     3.6409
10.587     14.3863    3.5054
10.5815    14.35      3.2418
10.5678    14.3388    3.1359
10.7309    14.3455    2.8891



















































































































































































11.6341    16.3415    6.4573     L-PM/MAX
11.6997    16.2172    6.2953
11.7469    16.1459    6.1628
11.7989    16.0325    6.03
11.8571    15.9295    5.8706
11.912     15.8482    5.756
12.0019    15.7633    5.5838
12.1286    15.6268    5.3941
12.2076    15.5134    5.2367
12.3006    15.43      5.0803
12.4077    15.2458    4.9154
12.4685    15.1034    4.7537
12.5025    14.9782    4.6067
12.5671    14.834     4.4257
12.6973    14.7635    4.2613
12.7684    14.661     4.0794
12.8968    14.6392    3.8774
13.0359    14.571     3.5867
13.0865    14.543     3.4883
13.0878    14.5076    3.2604




















































































































































































9999       9999       9999       ROSTRUM
11.3221    16.2648    6.6277
11.4346    16.2423    6.5912
11.5012    16.2468    6.5518
11.6224    16.2547    6.4544
11.6756    16.2557    6.3672
11.8125    16.3275    6.1895
11.9053    16.384     6.0824
11.9812    16.4083    5.9568
12.1451    16.4241    5.8104
12.2264    16.4324    5.7016
12.2914    16.4446    5.6487
12.4487    16.4916    5.5535
12.5959    16.5302    5.4265
12.7597    16.5718    5.3712
12.9466    16.5823    5.2771
13.1476    16.6491    5.0868
13.1594    16.6952    4.8437
13.2606    16.7437    4.7399
13.3045    16.7656    4.5828
13.3985    16.7966    4.459
13.5143    16.8691    4.2862
13.5882    16.9354    4.1648
13.6529    16.9708    4.0611
13.6775    17.0315    3.807
13.6982    17.1608    3.5949
13.7706    17.1691    3.3672













































































































































































7.9537     18.0165    6.9585     SUPORB
7.9749     18.0217    7.1693
7.9983     18.0339    7.3416
8.0846     18.0178    7.5242
8.1707     17.9758    7.6962
8.3017     17.9349    7.8388
8.3922     18.0027    7.9473
8.5771     17.896     8.0777
8.7592     17.8433    8.1992
8.9539     17.7258    8.2598
9.2639     17.62      8.3417
