NMNH       477330      Prv3stv
-0.6361    9.7395     5.2561     IN
-1.0564    6.8661     7.9385     BR
-0.9246    2.3579     6.1157     GL
-0.9278    2.2249     5.7862     NA
-0.8668    1.845      4.9005     RH
-0.7394    1.329      3.3223     NS
-0.6866    1.1911     2.876      PR
-1.1095    1.212      2.9409     R_PR2
-0.9666    2.1392     5.5483     R_PMS
-2.9018    3.2537     3.3786     R_ZMI
-2.3786    2.6249     4.3892     R_ZMU
-1.3059    2.5447     5.6407     R_DA
-2.4305    2.9862     6.1325     R_MTI
-2.3872    3.029      6.5633     R_MTS
-3.2237    3.1996     5.0419     R_FMO
-3.6835    3.5699     5.3803     R_FMT
-3.412     7.3952     4.0419     R_PO
-4.0835    4.3714     3.8405     R_ZTS
-0.3222    1.219      2.8845     L_PR2
-0.6802    2.2345     5.7045     L_PMS
1.4742     3.0981     3.6869     L_ZMI
0.8519     2.5921     4.5787     L_ZMU
-0.4771    2.5827     5.8102     L_DA
0.6595     2.9805     6.2803     L_MTI
0.6234     3.0146     6.7027     L_MTS
1.5195     3.1317     5.2809     L_FMO
1.9248     3.5431     5.6641     L_FMT
2.1072     7.271      4.4713     L_PO
2.5476     4.2915     4.2767     L_ZTS
-1.1469    1.3115     3.3039     O1
-2.9832    3.4928     6.3343     O2
2.8491     5.6028     4.3439     O3
-1.6039    9.5054     5.367      O4







































































































































































-0.9489    2.3593     6.1672     GLRH
-0.9217    2.2997     5.9774
-0.8635    2.1481     5.7381
-0.8789    2.0802     5.5646
-0.8638    2.0116     5.3729
-0.8833    1.9128     5.1621
-0.8611    1.8661     5.031
-0.8613    1.8123     4.9453
































































































































































































-0.8712    1.8566     4.8905     NOSE
-1.0622    1.8694     4.8017
-1.2054    1.9554     4.6561
-1.3116    1.9507     4.4662
-1.3124    1.8992     4.2754
-1.3382    1.7951     3.973
-1.2663    1.6643     3.7811
-1.184     1.5275     3.6414
-1.0637    1.4558     3.534
-0.9566    1.3661     3.4261
-0.8811    1.3451     3.3679
-0.7359    1.326      3.3231
-0.6312    1.3689     3.4073
-0.4986    1.4081     3.5157
-0.3945    1.5186     3.6556
-0.3372    1.6194     3.789
-0.3033    1.7678     3.9597
-0.2578    1.8245     4.1067
-0.2136    1.8652     4.2715
-0.2613    1.9214     4.4626
-0.3358    1.9571     4.709
-0.4713    1.9377     4.8201
-0.6267    1.8501     4.9197
-0.7709    1.859      4.9805
-0.8641    1.8278     4.9272















































































































































































-0.7516    1.3182     3.3385     NASP-PR
-0.7579    1.1892     3.2209
-0.6871    1.1659     3.0706
-0.7234    1.1956     2.9621
-0.7081    1.1796     2.8605



































































































































































































-1.0105    2.1454     5.5196     R-PM/MAX
-1.068     2.1124     5.3639
-1.1417    2.1444     5.2108
-1.1997    2.094      5.0121
