NMNH       477327     Prv5stv
0.3274     10.8227    4.2907     IN
0.1938     7.7808     6.4696     BR
0.1562     3.6834     5.0962     GL
0.1936     3.7094     5.1021     NA
0.1338     2.9834     4.2816     RH
0.1526     2.3514     2.6181     NS
0.0902     2.1792     1.9601     PR
-0.3557    2.2881     2.0329     R_PR2
-0.1197    3.4187     4.574      R_PMS
-2.016     4.0746     2.8139     R_ZMI
-1.0681    3.5734     3.5859     R_ZMU
-0.3082    4.0167     4.7661     R_DA
-1.2649    4.4538     5.3879     R_MTI
-1.2764    4.6608     5.5794     R_MTS
-2.1682    4.4465     4.4899     R_FMO
-2.3595    4.9371     4.8485     R_FMT
-2.3565    8.0795     2.9335     R_PO
-2.8921    5.3728     2.9781     R_ZTS
0.593      2.2949     2.0173     L_PR2
0.4506     3.4969     4.553      L_PMS
2.3883     4.0332     2.7949     L_ZMI
1.3763     3.5081     3.5605     L_ZMU
0.5845     4.2099     4.7882     L_DA
1.4535     4.43       5.4075     L_MTI
1.4259     4.5852     5.6274     L_MTS
2.5684     4.381      4.4945     L_FMO
2.6573     4.9163     4.8715     L_FMT
2.7154     8.0596     2.9372     L_PO
3.2259     5.3999     2.9278     L_ZTS
0.5892     2.4622     2.561      O1
2.1385     5.0112     5.2034     O2
-3.0694    6.8432     2.8835     O3
-0.4756    10.815     4.0542     O4







































































































































































0.1801     3.75       5.1955     GLRH
0.1635     3.6482     5.048
0.1747     3.5836     4.9353
0.1429     3.5037     4.8077
0.1463     3.4379     4.71
0.1578     3.3167     4.6114
0.1597     3.2214     4.5539
0.1573     3.1058     4.4625
0.1195     3.0182     4.3777
0.1502     2.9666     4.2605






























































































































































































0.1257     2.9709     4.2525     NOSE
-0.0773    3.0595     4.1375
-0.2036    3.0828     3.9662
-0.2826    3.04       3.7798
-0.324     3.0195     3.6286
-0.3251    2.9063     3.3778
-0.2965    2.8438     3.2429
-0.2562    2.7605     3.1128
-0.2123    2.6572     2.9931
-0.1288    2.525      2.8814
-0.0252    2.421      2.7911
0.1435     2.3224     2.6075
0.2755     2.4514     2.7566
0.396      2.532      2.8572
0.4724     2.691      3.0021
0.508      2.7696     3.1331
0.5902     2.8437     3.2678
0.6023     2.9156     3.4541
0.5685     2.9698     3.6101
0.5699     3.0237     3.8104
0.5219     3.0639     4.0468
0.3896     3.0398     4.2057
0.1621     2.9696     4.267

















































































































































































0.1414     2.3312     2.6286     NASP-PR
0.0896     2.2562     2.4969
0.0673     2.2268     2.3605
0.0976     2.2091     2.2715
0.0922     2.2062     2.1507
0.1127     2.1968     1.9455


































































































































































































-0.1372    3.4047     4.5593     R-PM/MAX
-0.2707    3.2978     4.2211
-0.3495    3.2501     4.0193
-0.3913    3.179      3.8426
-0.4403    3.1686     3.5807
-0.4092    3.0253     3.4924
-0.4339    2.9448     3.2874
-0.5019    2.8704     3.1024
-0.5181    2.7846     2.9152
-0.5461    2.6653     2.7282
-0.6105    2.5857     2.5148
-0.6501    2.5225     2.4092
-0.6869    2.5809     2.0958



























































































































































































0.4588     3.5001     4.5386     L-PM/MAX
0.5154     3.4557     4.4221
0.5848     3.4333     4.2274
0.6243     3.338      4.072
0.6656     3.213      3.8473
0.6912     3.1373     3.5737
0.7021     2.9733     3.2827
0.7275     2.8385     3.0471
0.778      2.735      2.7898
0.8674     2.6021     2.5016
0.936      2.5091     2.2897
0.9458     2.529      2.1333




























































































































































































-1.1322    3.1145     2.0076     ROSTRUM
-1.1076    3.1087     2.1192
-1.0282    3.0965     2.2681
-0.9504    3.1265     2.4515
-0.9153    3.1707     2.5667
-0.8993    3.1957     2.697
-0.8631    3.2025     2.8752
-0.7813    3.2057     2.9702
-0.6588    3.1866     3.1106
-0.5703    3.1683     3.2317
-0.4612    3.1845     3.3719
-0.4111    3.1879     3.5906
-0.3904    3.1947     3.7909
-0.3168    3.2229     4.0151
-0.2172    3.1935     4.1755
-0.102     3.2178     4.4023
-0.0237    3.2735     4.49
0.1296     3.2432     4.5442
0.2793     3.2478     4.5214
0.4481     3.2925     4.3458
0.5296     3.2715     4.1728
0.6351     3.2905     3.9285
0.6775     3.2839     3.7326
0.6996     3.2607     3.5516
0.7598     3.2555     3.402
0.8654     3.2489     3.2061
0.9576     3.2786     3.1351
1.0872     3.2444     2.9586
1.1231     3.2286     2.9117
1.1456     3.2449     2.8278
1.1489     3.2421     2.7075
1.1617     3.2437     2.6334
1.2022     3.1779     2.5282
1.2582     3.1813     2.449
1.2938     3.0962     2.3128
1.3414     3.0739     2.1465
1.3481     2.9888     2.0519



































































































































































-2.3356    4.8914     4.8657     SUPORB
-2.2221    4.9027     4.9874
-2.0773    4.8912     5.1333
-1.9481    4.8988     5.2732
-1.7518    4.8826     5.3781
-1.497     4.7975     5.5118
-1.1901    4.6443     5.6281
-0.9097    4.5689     5.7029
-0.6498    4.4455     5.7185
-0.4867    4.3571     5.6891
-0.2482    4.2701     5.6567
-0.098     4.2125     5.6104
0.0249     4.1639     5.5827
0.161      4.1314     5.5614
0.2813     4.1776     5.5745
0.4339     4.2093     5.6021
0.5949     4.2368     5.6142
0.7844     4.3656     5.637
1.1289     4.5229     5.6524
1.4339     4.6364     5.6239
1.705      4.7272     5.5448
2.072      4.7928     5.4084
2.2687     4.883      5.2796
2.36       4.9158     5.2029
2.4934     4.9757     5.0342
2.6498     4.9708     4.8981
2.7062     4.8936     4.8













































































































































































-1.1554    3.5532     3.5546     RORBIT
-1.3683    3.6203     3.5322
-1.5767    3.6387     3.5473
-1.7396    3.7469     3.6094
-1.9073    3.8524     3.7061
-1.9934    3.9561     3.7988
-2.0821    4.097      3.9466
-2.1627    4.2246     4.124
-2.1607    4.3182     4.2556
-2.1663    4.4019     4.3703
-2.1504    4.4864     4.5383
-2.0842    4.5425     4.753
-1.9573    4.5947     4.9726
-1.8288    4.5941     5.1156
-1.6841    4.5771     5.1676
-1.4853    4.5426     5.2463
-1.2814    4.5116     5.311
-1.1304    4.4766     5.3513
-0.905     4.4752     5.4365
-0.6594    4.3522     5.4119
-0.4606    4.2165     5.356
-0.2865    4.1078     5.254
-0.2528    4.078      4.9788
-0.2724    4.0318     4.6807
















































































































































































1.3572     3.5437     3.565      LORBIT
1.6338     3.6069     3.5069
1.9194     3.6856     3.5276
2.1174     3.7631     3.5811
2.2879     3.8854     3.7114
2.4658     4.0248     3.8889
2.6265     4.2277     4.1331
2.5514     4.3713     4.3842
2.5393     4.4527     4.5989
2.51       4.4935     4.7706
2.3879     4.5487     4.9613
2.2194     4.567      5.1533
1.9585     4.5234     5.2425
1.6715     4.4701     5.3109
1.3777     4.433      5.4431
1.1101     4.3431     5.4398
0.8569     4.1937     5.4183
0.6902     4.1158     5.2905
0.556      4.0297     5.1134
0.6042     4.0936     4.996




















































































































































































-2.3406    4.9112     4.8788     RTEMFOS
-2.429     4.8496     4.707
-2.4951    4.7812     4.5748
-2.5271    4.7182     4.4002
-2.5934    4.6235     4.2772
-2.6113    4.5239     4.1178
-2.6324    4.4042     3.9687
-2.6238    4.3466     3.7707
-2.6485    4.3628     3.6308
-2.6853    4.3605     3.4413
-2.718     4.4359     3.311
-2.7419    4.5287     3.2025
-2.7671    4.6746     3.0997
-2.828     4.7793     3.0583
-2.8376    4.9784     3.023
-2.9143    5.1791     2.9784
-2.925     5.3342     2.9859
-2.9312    5.4307     2.9777






















































































































































































2.6465     4.9093     4.8904     LTEMFOS
2.7521     4.8327     4.7096
2.8349     4.7533     4.5134
2.8731     4.6586     4.3663
2.9262     4.552      4.1814
2.9555     4.453      4.0566
2.9692     4.3471     3.7669
2.987      4.3071     3.6162
3.003      4.3026     3.4464
3.0451     4.3806     3.2722
3.0707     4.5417     3.1347
3.1648     4.758      3.0133
3.2237     4.9487     2.9194
3.2345     5.1695     2.9272
3.2718     5.2761     2.9103
3.281      5.3978     2.9206
























































































































































































-0.1516    3.6827     5.4678     OP
-0.1269    5.1271     5.549      BA
-0.1038    8.1311     4.7891     ST
-0.0947    10.0466    4.6159     IV
-2.4955    5.6451     5.4288     R_PG
-3.2196    7.2871     4.8176     R_ZTI
-1.1824    7.9015     5.3161     R_M3D
-1.5831    9.0724     5.3134     R_M12
-1.3203    10.2769    5.0279     R_MP3
