AMNH       89438      Prvf001z
11.5091    13.8964    6.3103     IN
13.7851    15.5157    9.138      BR
16.9597    18.0322    8.7213     GL
16.9746    18.128     8.6101     NA
9999       9999       9999       RH
18.4718    19.2569    5.9527     NS
18.6935    19.374     5.5767     PR
18.9005    18.9821    5.5519     R_PR2
17.3711    17.9145    8.024      R_PMS
18.2226    16.2424    5.7984     R_ZMI
18.2861    17.1383    6.5161     R_ZMU
17.2956    17.7592    7.8128     R_DA
17.4972    16.7501    8.5281     R_MTI
17.4366    16.6439    8.6737     R_MTS
18.0419    15.9098    7.5188     R_FMO
18.0989    15.3949    7.3472     R_FMT
15.2262    13.7164    5.4283     R_PO
17.9206    15.0045    5.9598     R_ZTS
18.2777    19.7417    5.483      L_PR2
9999       9999       9999       L_PMS
15.3207    19.7597    5.7472     L_ZMI
16.2854    19.6933    6.5535     L_ZMU
16.5761    18.2303    7.8931     L_DA
15.6112    19.0362    8.4854     L_MTI
15.4723    18.9598    8.6651     L_MTS
15.093     19.6782    7.5342     L_FMO
14.6057    19.7213    7.6626     L_FMT
12.2855    17.5013    5.5533     L_PO
14.1589    19.6584    6.0727     L_ZTS
11.3714    14.1697    6.2949     O1
15.3598    13.6251    6.8356     O2
18.4054    17.5001    5.5011     O3
14.9087    18.9133    8.2044     O4







































































































































































9999       9999       9999       GLRH
9999       9999       9999






































































































































































































9999       9999       9999       NOSE
9999       9999       9999






































































































































































































18.4659    19.2656    5.9719     NASP-PR
18.5224    19.345     5.925
18.5864    19.3402    5.8471
18.6273    19.3714    5.7714
18.6814    19.4156    5.6482
18.6487    19.4403    5.547


































































































































































































9999       9999       9999       R-PM/MAX
9999       9999       9999






































































































































































































9999       9999       9999       L-PM/MAX
9999       9999       9999






































































































































































































9999       9999       9999       ROSTRUM
9999       9999       9999






































































































































































































18.0679    15.3992    7.3706     SUPORB
17.9655    15.4499    7.5222
17.8662    15.5708    7.8877
17.7946    15.6792    8.1436
17.6656    15.8149    8.3448
17.5613    15.9364    8.4284
17.4601    16.1954    8.5968
17.4562    16.3582    8.6514
17.3498    16.6683    8.7394
17.1593    17.026     8.8347
16.9906    17.3015    8.9198
16.863     17.3823    8.9776
16.7279    17.4872    9.0264
16.5988    17.5606    9.0824
16.4906    17.6721    9.1179
16.3722    17.9594    9.0511
16.3074    18.1661    8.957
16.2409    18.3724    8.8968
16.1962    18.4781    8.8789
15.8672    18.6617    8.8123
15.659     18.767     8.7985
15.4629    18.9058    8.7161
15.3416    19.0222    8.6476
14.9841    19.3217    8.4291
14.9149    19.393     8.3403
14.8464    19.5878    8.132
14.6898    19.6044    7.8375
14.6146    19.76      7.6424












































































































































































18.2893    17.16      6.523      RORBIT
18.4095    16.6926    6.5233
18.3982    16.317     6.7676
18.2131    16.0633    7.0266
18.1789    15.9893    7.1947
18.1013    15.8459    7.5147
17.9181    15.896     7.75
17.8796    15.9998    7.9165
17.8034    16.1002    8.0605
17.7221    16.2259    8.2526
17.6828    16.3012    8.3142
17.5513    16.513     8.3746
17.5227    16.7081    8.509
17.4102    16.9589    8.5865
17.2611    17.3302    8.5633
17.2055    17.4479    8.4604
17.187     17.5861    8.3964
17.2519    17.8112    8.2291
17.1862    17.7087    7.9668





















































































































































































16.1803    19.6919    6.6301     LORBIT
16.0139    19.7749    6.6493
15.6532    19.8708    6.7745
15.5328    19.8662    6.8696
15.4173    19.8538    7.0018
15.2007    19.7824    7.2658
15.0645    19.7249    7.5483
15.0862    19.65      7.6938
15.0493    19.6172    7.9167
15.2173    19.4383    8.142
15.3316    19.3372    8.2983
15.657     19.0552    8.491
15.856     18.8903    8.5874
16.0074    18.7014    8.5615
16.2871    18.5059    8.6501
16.5928    18.3767    8.4341
