AMNH       89439      Prvm002z
12.7676    14.5403    9.6166     IN
15.2904    16.667     11.3688    BR
18.1788    19.0792    9.0937     GL
18.3041    19.1571    8.6418     NA
18.5956    19.4426    7.5568     RH
18.6537    19.5398    5.8772     NS
18.6968    19.6099    5.5156     PR
18.9392    19.2414    5.561      R_PR2
18.4256    18.9466    8.3662     R_PMS
18.7621    16.636     6.4609     R_ZMI
18.9383    17.6461    7.1759     R_ZMU
17.9809    18.4077    8.5356     R_DA
18.6034    17.6036    9.1777     R_MTI
18.5528    17.6781    9.4995     R_MTS
19.1035    16.5677    8.2083     R_FMO
19.1677    16.2547    8.5287     R_FMT
16.0737    13.9691    7.8169     R_PO
18.7109    14.9035    7.0605     R_ZTS
18.3563    19.9133    5.5184     L_PR2
18.1014    19.3273    8.5417     L_PMS
15.881     20.1522    6.6051     L_ZMI
16.8335    20.1493    7.2573     L_ZMU
17.4842    18.9525    8.4393     L_DA
16.7159    19.792     9.234      L_MTI
16.5758    19.7555    9.5437     L_MTS
15.9065    20.3965    8.3073     L_FMO
15.6086    20.5228    8.7018     L_FMT
12.8234    17.7529    7.8536     L_PO
14.0646    20.1351    7.2738     L_ZTS
12.6496    14.9112    9.7392     O1
16.4566    14.1786    9.0272     O2
18.8594    18.1599    6.17       O3
15.7261    19.6865    9.0124     O4







































































































































































18.1547    19.0405    9.1094     GLRH
18.1906    19.0925    8.9739
18.2453    19.1559    8.7486
18.2883    19.2034    8.6256
18.3609    19.1994    8.4579
18.4931    19.281     8.2201
18.4943    19.292     8.0303
18.5072    19.3731    7.7957
18.5661    19.4358    7.6124
18.5907    19.4452    7.5604






























































































































































































18.5568    19.4716    7.5814     NOSE
18.6106    19.3842    7.5598
18.6334    19.3238    7.5414
18.6438    19.2532    7.4456
18.6218    19.1802    7.4002
18.6079    19.0881    7.4675
18.6149    19.0237    7.4269
18.643     18.9871    7.2853
18.6825    18.9399    7.0355
18.6772    18.9292    6.9212
18.667     18.963     6.7466
18.6565    19.0465    6.4598
18.6989    19.2291    6.2614
18.7204    19.3908    6.1037
18.6955    19.4236    5.9384
18.6785    19.5164    5.8864
18.6033    19.5965    5.9082
18.5039    19.6969    5.9927
18.3081    19.7192    6.2592
18.221     19.6807    6.3981
18.1517    19.6863    6.5609
18.1272    19.6768    6.8986
18.1224    19.6836    7.0572
18.1612    19.6446    7.2268
18.1906    19.6381    7.3744
18.2317    19.6096    7.4854
18.2995    19.6134    7.5204
18.4064    19.5999    7.4963
18.4478    19.5521    7.5484
18.5045    19.5137    7.5741
18.5696    19.4649    7.5765









































































































































































18.6775    19.5235    5.8784     NASP-PR
18.7117    19.554     5.7244
18.6742    19.5833    5.6209
18.6982    19.6052    5.5225
18.683     19.6108    5.5344










































