NMNH       257998     Pyg1stv
-0.7348    12.3122    5.1399     IN
-0.6582    9.4431     8.0373     BR
-0.5025    4.4096     6.605      GL
-0.458     4.4131     6.226      NA
-0.4684    4.1785     4.8395     RH
-0.4445    3.1106     3.1949     NS
-0.4619    2.8643     2.7888     PR
-0.9876    2.933      2.8087     R_PR2
-0.7076    4.2384     4.9904     R_PMS
-2.9633    5.0184     3.3786     R_ZMI
-2.5263    4.5869     4.3        R_ZMU
-0.8677    4.5974     5.8829     R_DA
-1.8167    4.6849     6.8223     R_MTI
-1.8515    4.8364     7.0588     R_MTS
-3.3982    5.1724     5.789      R_FMO
-3.5914    5.9283     5.8432     R_FMT
-3.6835    9.2796     4.5033     R_PO
-3.8513    5.9725     4.0355     R_ZTS
0.0705     2.9812     2.8065     L_PR2
-0.3377    4.3338     5.4261     L_PMS
1.8087     5.1064     3.308      L_ZMI
1.5335     4.7642     4.2844     L_ZMU
-0.1184    4.5914     5.8948     L_DA
1.0964     4.8413     6.7295     L_MTI
1.1072     5.046      7.0165     L_MTS
2.408      5.2959     5.799      L_FMO
2.6069     5.9867     5.8102     L_FMT
2.1664     9.5449     4.1852     L_PO
2.7792     6.2238     3.9416     L_ZTS
-0.8458    2.6398     2.6735     O1
2.3767     6.2876     5.8909     O2
-4.2525    7.6947     4.1066     O3
-2.2901    11.8475    5.47       O4







































































































































































-0.5081    4.4091     6.5945     GLRH
-0.5109    4.3854     6.4183
-0.5157    4.4201     6.2568
-0.51      4.4138     6.1336
-0.4974    4.3534     5.9837
-0.4911    4.3452     5.8272
-0.5144    4.3174     5.6503
-0.4916    4.2807     5.4663
-0.4915    4.2761     5.2679
-0.4968    4.2233     5.0891
-0.4799    4.1873     4.9555
-0.463     4.1676     4.8452




























































































































































































-0.4694    4.1796     4.8663     NOSE
-0.7639    4.1409     4.8069
-0.9016    4.0755     4.5071
-1.0124    3.918      4.2877
-1.0564    3.728      4.0723
-1.0699    3.5483     3.862
-0.9775    3.3656     3.674
-0.8098    3.2313     3.5398
-0.6908    3.1117     3.3773
-0.5478    3.1032     3.2428
-0.4193    3.0681     3.1801
-0.2538    3.1027     3.3097
-0.1546    3.1794     3.446
0.0204     3.4919     3.706
0.0827     3.5959     3.8078
0.1115     3.7011     3.9648
0.1399     3.7965     4.0771
0.0827     3.9353     4.2504
0.0023     4.0036     4.424
-0.1042    4.147      4.6357
-0.1195    4.1615     4.7623
-0.1704    4.2081     4.8052
-0.4404    4.1726     4.829

















































































































































































-0.4514    3.1414     3.2157     NASP-PR
-0.4243    2.9945     3.126
-0.4385    2.9042     3.0081
-0.4227    2.8811     2.931
-0.4459    2.8634     2.8122



































































































































































































-0.7043    4.2641     5.04       R-PM/MAX
-0.7894    4.2221     4.9005
-0.924     4.161      4.6916
-1.0193    4.0665     4.5105
