NMNH       269798     Pygn5stv
1.6525     13.1573    6.5866     IN
1.6205     9.7588     9.1952     BR
1.6433     4.5692     7.2946     GL
1.5876     4.441      6.6858     NA
1.6993     4.1191     5.6227     RH
1.7581     2.8478     3.8428     NS
1.767      2.527      3.4433     PR
1.21       2.6343     3.4132     R_PR2
1.49       4.3735     6.3385     R_PMS
-1.0147    4.818      3.8172     R_ZMI
-0.6781    4.6742     5.0531     R_ZMU
1.0498     4.9032     6.4383     R_DA
-0.2704    5.0383     7.4558     R_MTI
-0.1336    5.2305     7.8886     R_MTS
-1.6108    5.3922     6.5872     R_FMO
-1.9728    5.799      6.8113     R_FMT
-1.5293    9.8412     4.8981     R_PO
-2.1       6.2332     4.5486     R_ZTS
2.3321     2.6533     3.4344     L_PR2
1.783      4.4303     6.5313     L_PMS
4.4545     4.9197     3.9743     L_ZMI
4.0248     4.8043     5.1717     L_ZMU
2.2865     4.9623     6.4376     L_DA
3.5095     5.0578     7.577      L_MTI
3.456      5.3072     8.0043     L_MTS
4.922      5.4255     6.9565     L_FMO
5.2248     5.8858     6.926      L_FMT
4.7808     9.8999     5.1535     L_PO
5.4417     6.3277     4.7414     L_ZTS
1.0103     2.9623     4.0086     O1
4.4606     6.2394     7.7271     O2
-2.4343    7.9297     4.7084     O3
2.2926     13.0185    7.0791     O4







































































































































































1.5786     4.5747     7.4028     GLRH
1.6207     4.5447     7.2187
1.6312     4.5331     7.0592
1.6274     4.4949     6.8859
1.6316     4.4294     6.7098
1.6468     4.3822     6.5319
1.6372     4.339      6.3138
1.6512     4.3093     6.109
1.6869     4.2617     5.9694
1.7144     4.2149     5.8377
1.7316     4.1514     5.7338
1.726      4.1193     5.6064




























































































































































































1.6312     4.1635     5.6277     NOSE
1.3911     4.1821     5.5636
1.2423     4.1437     5.3596
1.0823     4.0406     5.1785
1.0891     3.8204     4.8306
1.0165     3.5905     4.669
1.078      3.4404     4.5193
1.2299     3.2526     4.3458
1.377      3.0934     4.2353
1.4857     2.9213     4.1254
1.6276     2.8913     3.9588
1.7938     2.8529     3.8706
1.9515     2.917      3.9781
2.0556     3.0056     4.1398
2.3178     3.3063     4.404
2.3709     3.4799     4.5318
2.4388     3.6183     4.6842
2.4237     3.8165     4.8839
2.3567     3.9564     5.0783
2.3184     4.0794     5.2617
2.2473     4.1481     5.4031
2.1996     4.1673     5.5061
2.0851     4.1637     5.5746
1.705      4.1296     5.6329
















































































































































































1.779      2.8199     3.8603     NASP-PR
1.7982     2.6162     3.7242
1.7715     2.5584     3.5677
1.7708     2.5369     3.5028
1.7898     2.5347     3.3781



































































































































































































1.5139     4.3739     6.3689     R-PM/MAX
1.4031     4.3924     6.194
1.3091     4.4142     5.9922
1.2029     4.3931     5.8255
1.1015     4.394      5.6646
1.0107     4.3855     5.4429
0.9341     4.2748     5.1795
0.8347     4.1422     4.9391
0.77       4.0185     4.8118
0.7271     3.8462     4.6798
0.6758     3.7161     4.5524
0.6806     3.5117     4.3921
0.6855     3.3527     4.2548
0.6664     3.1932     4.0992
0.6472     3.0612     3.9112
0.5949     2.9337     3.6922
0.6598     2.889      3.6061
0.7641     2.8801     3.4863











































