NMNH       356577     Pyn2stv
3.0384     13.445     5.3073     IN
2.8217     10.0311    8.2793     BR
2.95       4.8853     7.1426     GL
2.928      4.6648     6.6995     NA
2.912      3.6471     5.2708     RH
2.9185     2.3965     3.4894     NS
2.9448     2.1042     2.9222     PR
2.361      2.2321     2.9312     R_PR2
2.6768     4.5334     6.3196     R_PMS
0.4195     5.0318     3.3049     R_ZMI
0.8127     4.7913     4.6715     R_ZMU
2.4096     4.7433     6.2335     R_DA
0.9381     5.6904     7.2911     R_MTI
1.0379     5.8566     7.5834     R_MTS
-0.3713    5.7556     6.4481     R_FMO
-0.6622    6.5261     6.4605     R_FMT
-0.1898    9.9404     4.2397     R_PO
-0.8567    6.391      3.9447     R_ZTS
3.5662     2.2595     2.9451     L_PR2
3.1606     4.549      6.4409     L_PMS
5.6624     4.9366     3.3595     L_ZMI
5.1704     4.8131     4.6747     L_ZMU
3.5986     4.9147     6.2169     L_DA
4.8523     5.7062     7.2842     L_MTI
4.8232     5.8557     7.5989     L_MTS
6.4056     5.8209     6.4189     L_FMO
6.6553     6.5991     6.33       L_FMT
6.0556     10.0477    4.1082     L_PO
6.7192     6.4128     4.0003     L_ZTS
3.8725     2.3345     3.2844     O1
6.2825     6.6696     6.4969     O2
-1.0026    8.247      3.8031     O3
3.6406     13.338     5.6458     O4







































































































































































2.9521     4.9134     7.1584     GLRH
2.9421     4.787      6.9571
2.958      4.6888     6.7899
2.9495     4.6349     6.6582
2.9643     4.5521     6.5203
2.9623     4.4587     6.3513
2.9175     4.3865     6.1845
2.9292     4.3149     6.0751
2.939      4.226      5.9046
2.9225     4.0963     5.7158
2.942      3.9648     5.5754
2.9394     3.8763     5.499
2.9171     3.7401     5.3853
2.9042     3.6356     5.27


























































































































































































2.9101     3.6817     5.2451     NOSE
2.6986     3.7166     5.1125
2.5139     3.7223     4.9931
2.4892     3.6715     4.8666
2.4327     3.5974     4.7204
2.3511     3.5065     4.5783
2.3189     3.3783     4.4153
2.3286     3.1954     4.1941
2.3546     2.9701     3.9987
2.4574     2.717      3.8584
2.5769     2.521      3.7123
2.6974     2.4243     3.5842
2.8196     2.3832     3.5168
2.9592     2.3462     3.4933
3.0845     2.4831     3.5651
3.2263     2.5688     3.6749
3.3453     2.6752     3.8153
3.4335     2.8122     3.8971
3.5201     2.9292     4.0287
3.6044     3.0237     4.1501
3.5333     3.2071     4.2572
3.5166     3.3151     4.3779
3.4907     3.4089     4.519
3.4616     3.5211     4.6772
3.3763     3.6383     4.8093
3.335      3.682      4.9566
3.2948     3.6603     5.0899
3.2315     3.6734     5.133
2.9626     3.6551     5.2617











































































































































































2.9819     2.4138     3.5151     NASP-PR
2.9679     2.2068     3.4245
2.9702     2.1257     3.3301
2.9578     2.1293     3.1712
2.9728     2.0972     3.0838
2.948      2.1175     2.9174


































































































































































































2.6256     4.5467     6.3175     R-PM/MAX
2.5835     4.448      6.0565
2.4919     4.3931     5.787
2.4353     4.3393     5.6299
2.3464     4.4187     5.5882
2.2547     4.3964     5.4001
2.2354     4.334      5.2553
2.2715     4.2315     5.0637
2.215      4.1515     4.9383
2.1482     4.0146     4.7489
2.0484     3.8899     4.5371
1.9825     3.7105     4.374
1.9635     3.5345     4.2212
1.9303     3.3979     4.0208
1.9166     3.1585     3.8648
1.8762     2.9677     3.6696
1.8528     2.7528     3.4523
1.7957     2.6164     3.3124
1.8722     2.5587     3.0698





















































































































































































3.2233     4.5587     6.3326     L-PM/MAX
3.2973     4.4903     6.1332
3.4818     4.4905     5.8174
3.6171     4.4865     5.5427
3.6572     4.2889     5.2153
3.6497     4.2295     5.0752
3.7509     4.1024     4.8626
3.8154     3.8983     4.649
3.9025     3.6971     4.4731
3.9861     3.5695     4.2995
3.996      3.4771     4.1812
4.0344     3.3035     4.0505
4.0427     3.1814     3.8899
4.0804     3.111      3.804
4.072      2.9405     3.7293
4.1068     2.7878     3.53
4.1885     2.6847     3.3499
4.1831     2.6231     3.2106
4.0637     2.6        3.0049





















































































































































































1.1254     4.3053     2.9772     ROSTRUM
1.1554     4.3079     3.3259
1.1664     4.3284     3.5927
1.2877     4.3313     3.8022
1.4012     4.297      3.9346
1.5252     4.2893     4.0877
1.6649     4.2298     4.2566
1.7706     4.2704     4.4574
1.8717     4.2693     4.5884
2.0065     4.2782     4.7696
2.1407     4.2736     4.8841
2.2375     4.249      5.0685
2.3011     4.2565     5.2736
2.3991     4.2713     5.4755
2.4879     4.3008     5.6418
2.5641     4.3134     5.8384
2.7254     4.3157     5.9994
2.9074     4.3267     6.0518
3.1232     4.2897     5.96
3.2882     4.2624     5.7853
3.4711     4.3198     5.5781
3.6246     4.316      5.3958
3.7122     4.3233     5.1881
3.7966     4.2935     4.9405
4.004      4.2648     4.7081
4.1262     4.3018     4.5456
4.2605     4.2772     4.3388
4.4686     4.288      4.1301
4.5965     4.2989     3.9894
4.7495     4.2729     3.8009
4.7917     4.2546     3.591
4.8084     4.234      3.4362
4.8189     4.2187     3.2586
4.8417     4.2336     3.0204
4.8268     4.1925     2.7845





































































































































































-0.6363    6.4844     6.5997     SUPORB
-0.4255    6.484      6.8552
0.0004     6.35       7.1858
0.2131     6.2651     7.336
0.5081     6.2162     7.4356
0.7729     6.1401     7.5195
1.0829     6.0496     7.5906
1.4413     5.9311     7.6795
1.7874     5.7638     7.7088
2.1239     5.6961     7.7184
2.4221     5.644      7.716
2.6927     5.5289     7.6769
2.9146     5.5001     7.6397
3.1162     5.5028     7.6461
3.3542     5.5533     7.6674
3.5932     5.6073     7.6927
3.8645     5.6739     7.6975
4.0847     5.7213     7.6989
4.3511     5.7626     7.676
4.615      5.8252     7.6581
4.8938     5.9116     7.5987
5.1249     5.9666     7.5464
5.3629     6.0571     7.4879
5.5779     6.13       7.4108
5.7953     6.1664     7.3335
6.1098     6.2829     7.1066
6.3293     6.4186     6.9367
6.418      6.4917     6.8553
6.5296     6.5903     6.6737
6.6389     6.6074     6.4052










































































































































































0.7935     4.8127     4.6593     RORBIT
0.6046     4.8568     4.6733
0.3433     4.9708     4.7376
0.1844     5.0679     4.8295
0.0328     5.14       4.9081
-0.109     5.2236     5.0356
-0.2594    5.3221     5.1811
-0.3444    5.4256     5.3473
-0.4217    5.5002     5.4913
-0.447     5.5892     5.6739
-0.4796    5.6329     5.797
-0.4739    5.7027     6.0074
-0.4255    5.7594     6.2128
-0.3874    5.7701     6.3877
-0.3221    5.7895     6.5421
-0.1823    5.8267     6.7238
0.0123     5.8229     6.9718
0.2656     5.7978     7.0556
0.4586     5.7914     7.15
0.7473     5.7434     7.2152
0.9134     5.7142     7.2839
1.1341     5.674      7.2957
1.4256     5.6311     7.26
1.6572     5.5234     7.26
1.8731     5.4352     7.2657
2.1027     5.2994     7.202
2.2736     5.243      6.9808
2.3682     5.0089     6.5984
2.3818     4.8284     6.2623




























