NMNH       268891     Rpr5stv
-0.4412    13.8464    5.046      IN
-0.5383    11.0163    8.0764     BR
-0.7117    4.865      6.405      GL
-0.689     4.8261     6.2089     NA
-0.7131    4.7482     5.0384     RH
-0.7133    3.4388     3.3446     NS
-0.7518    2.8693     2.5114     PR
-1.2883    2.9832     2.5535     R_PR2
-0.9502    4.8361     5.9345     R_PMS
-3.6354    5.5273     3.2565     R_ZMI
-2.7495    5.0483     4.4068     R_ZMU
-1.4687    5.3237     5.6132     R_DA
-2.5254    5.6605     7.0267     R_MTI
-2.4031    5.762      7.363      R_MTS
-4.0904    5.9441     5.6919     R_FMO
-4.3528    6.5645     6.1069     R_FMT
-3.9353    10.5119    3.572      R_PO
-4.84      7.2644     3.5095     R_ZTS
-0.1023    2.9976     2.5374     L_PR2
-0.4329    4.8393     5.6897     L_PMS
2.2916     5.5047     3.1414     L_ZMI
1.4594     4.9574     4.4193     L_ZMU
-0.0014    5.2885     5.6904     L_DA
1.2221     5.6015     7.0269     L_MTI
1.27       5.7665     7.3639     L_MTS
2.6743     5.7216     5.6905     L_FMO
3.0406     6.2914     5.9323     L_FMT
2.6569     10.3305    3.5323     L_PO
3.3861     6.8349     3.5058     L_ZTS
-0.3393    2.668      2.6226     O1
2.3633     6.6781     6.8981     O2
-4.9646    9.078      3.5348     O3
0.5376     13.6027    5.1535     O4







































































































































































-0.7231    4.8653     6.4024     GLRH
-0.7159    4.7955     6.1036
-0.7248    4.8026     5.9665
-0.6942    4.7923     5.8261
-0.6975    4.7752     5.6855
-0.6743    4.7819     5.5501
-0.6848    4.7615     5.4214
-0.6873    4.7558     5.3013
-0.6834    4.7376     5.1865
-0.6965    4.7303     5.1439
-0.6903    4.7468     5.0704





























































































































































































-0.7187    4.7408     5.0921     NOSE
-0.924     4.7941     5.1145
-1.0552    4.8103     5.0575
-1.2148    4.8115     4.8949
-1.3117    4.7534     4.6792
-1.3621    4.688      4.5121
-1.4253    4.548      4.3017
-1.4274    4.4032     4.1211
-1.4072    4.2738     3.9815
-1.3825    4.0763     3.8557
-1.314     3.8689     3.7622
-1.2118    3.6643     3.7159
-1.0431    3.5065     3.6115
-0.9072    3.4476     3.4934
-0.8046    3.4186     3.3972
-0.7273    3.4154     3.3349
-0.622     3.4651     3.4442
-0.4874    3.4942     3.555
-0.1702    3.6872     3.7266
-0.0535    3.8575     3.7866
0.0107     4.052      3.8929
0.0623     4.198      3.9854
0.076      4.3747     4.1521
0.0326     4.5387     4.3202
0.0142     4.6309     4.4622
-0.0434    4.7037     4.6087
-0.0801    4.7486     4.7328
-0.1609    4.7955     4.8849
-0.223     4.7922     5.0135
-0.3285    4.7945     5.1387
-0.5557    4.7507     5.1334
-0.6918    4.7497     5.071








































































































































































-0.7309    3.4108     3.3262     NASP-PR
-0.7424    3.1785     3.2104
-0.7311    3.045      3.053
-0.722     2.9667     2.9196
-0.6978    2.8912     2.7273
-0.7112    2.8776     2.5573
-0.7275    2.865      2.4747

































































































































































































-0.9817    4.8533     5.8857     R-PM/MAX
-1.0525    4.8753     5.6714
-1.1704    4.905      5.4608
-1.2765    4.9055     5.2314
-1.4298    4.8911     5.0548
-1.5472    4.8796     4.8224
-1.619     4.8619     4.6379
-1.7214    4.7819     4.4421
-1.7534    4.6102     4.2538
-1.7721    4.439      4.0713
-1.7705    4.2685     3.871
-1.8411    3.9103     3.5056
-1.8062    3.7686     3.4248
-1.8156    3.5641     3.1746
-1.8713    3.4253     2.9798
-1.8145    3.2873     2.6852
-1.725     3.3204     2.5484























































































































































































-0.4204    4.8386     5.6742     L-PM/MAX
-0.3292    4.859      5.5295
-0.2452    4.8442     5.3524
-0.0918    4.8613     5.154
0.0928     4.8401     4.9325
0.2311     4.7542     4.6205
0.3343     4.6427     4.4222
0.3446     4.4251     4.1257
