NMNH       121660     Scc16stv
0.3586     11.542     4.8721     IN
0.2096     8.9639     7.3306     BR
0.1385     4.1869     6.208      GL
0.1381     4.1972     6.2259     NA
0.1371     3.2134     4.3037     RH
-0.0043    2.1714     2.7727     NS
0.0384     1.7866     2.2116     PR
-0.5002    1.8287     2.1077     R_PR2
-0.1086    3.8334     5.3717     R_PMS
-2.4499    4.6702     3.1146     R_ZMI
-1.1137    4.3172     4.4486     R_ZMU
-0.2818    4.3424     5.7702     R_DA
-1.3698    4.8467     6.5248     R_MTI
-1.2148    5.0327     7.0208     R_MTS
-2.4446    5.0178     5.7407     R_FMO
-2.5122    5.6113     6.1536     R_FMT
-2.7663    8.9343     3.9631     R_PO
-3.2469    6.0761     3.8272     R_ZTS
0.5044     1.829      2.1063     L_PR2
0.2145     3.8374     5.5461     L_PMS
2.5545     4.6304     3.069      L_ZMI
1.3351     4.3636     4.4581     L_ZMU
0.5664     4.4223     5.6257     L_DA
1.4327     4.7946     6.6481     L_MTI
1.4723     4.9714     7.0395     L_MTS
2.8529     4.9717     5.5756     L_FMO
2.9015     5.7148     5.8396     L_FMT
3.0105     9.055      3.7106     L_PO
3.51       6.037      3.6466     L_ZTS
-0.5523    2.0471     2.6962     O1
2.4775     5.5239     6.5257     O2
-3.3465    7.4706     3.7222     O3
1.4147     11.403     5.2844     O4







































































































































































0.1419     4.1616     6.1935     GLRH
0.1214     4.073      6.0366
0.1282     3.9512     5.8143
0.1381     3.8534     5.6348
0.1494     3.7735     5.4523
0.1269     3.6392     5.2342
0.1152     3.5225     5.0616
0.1094     3.454      4.9398
0.0827     3.3433     4.6893
0.082      3.2658     4.5502
0.0976     3.2045     4.3451





























































































































































































0.0877     3.236      4.3378     NOSE
-0.2136    3.2002     4.2686
-0.3842    3.1543     4.0974
-0.4564    3.0884     3.9362
-0.5377    3.0296     3.773
-0.558     2.8491     3.5283
-0.5373    2.6422     3.3662
-0.472     2.4702     3.227
-0.2762    2.2788     3.0729
-0.196     2.1988     2.9452
-0.0717    2.1549     2.807
0.0236     2.1044     2.75
0.2149     2.1751     2.9218
0.349      2.2677     3.0424
0.474      2.4261     3.1719
0.5783     2.5669     3.3005
0.6335     2.7639     3.4638
0.6326     2.8914     3.5725
0.6396     2.9865     3.6903
0.5995     3.0536     3.8249
0.5376     3.1178     3.9776
0.4011     3.179      4.1092
0.2927     3.2188     4.2375
0.1232     3.1875     4.348
















































































































































































0.0102     2.1588     2.7663     NASP-PR
0.0209     2.0328     2.6772
0.0406     1.9063     2.5632
0.0224     1.819      2.4075
-0.0009    1.7536     2.2404
0.0058     1.7566     2.1785


































































































































































































-0.1083    3.8192     5.3563     R-PM/MAX
-0.1738    3.7149     5.138
-0.2065    3.5534     4.8822
-0.2475    3.4469     4.6409
-0.3273    3.3686     4.4266
-0.4308    3.2659     4.1778
-0.5876    3.1794     3.9289
-0.7068    3.0954     3.7465
-0.797     3.0361     3.618
-0.8724    2.8916     3.4367
-0.9416    2.7999     3.2845
-0.9989    2.6385     3.0756
-1.0638    2.4977     2.9117
-1.1203    2.3694     2.7175
-1.1056    2.2988     2.618
-1.0246    2.2636     2.4739
-1.0308    2.214      2.3506























































































































































































0.2502     3.8074     5.506      L-PM/MAX
0.3859     3.7167     5.1675
0.4191     3.6416     4.9785
0.4334     3.545      4.776
0.4068     3.474      4.597
0.4465     3.389      4.3861
0.5339     3.3209     4.1999
0.6027     3.2328     4.0501
0.7094     3.1752     3.8354
0.8273     3.0985     3.63
0.9353     2.973      3.4333
0.9699     2.7524     3.2063
0.9968     2.5557     3.0214
1.1285     2.2884     2.7003
1.137      2.2508     2.5003
1.0987     2.2497     2.3352
























































































































































































-1.6177    3.7668     2.2187     ROSTRUM
-1.5951    3.7537     2.4075
-1.6397    3.7575     2.669
-1.5948    3.7432     2.8634
-1.5572    3.7238     3.0663
-1.4847    3.6919     3.3509
-1.3732    3.6998     3.5686
-1.262     3.7028     3.7159
-1.1023    3.6999     3.875
-0.942     3.698      4.0327
-0.761     3.6829     4.229
-0.6053    3.6529     4.3794
-0.4248    3.6796     4.6235
-0.3396    3.6832     4.7701
-0.2821    3.6584     4.8742
-0.1467    3.6319     5.1676
0.0013     3.6428     5.2491
0.0665     3.6623     5.2137
0.338      3.6533     5.1156
0.4677     3.6622     4.8931
0.5912     3.6498     4.625
0.7349     3.6562     4.3516
0.8905     3.6546     4.1199
1.0416     3.6901     3.9742
1.1937     3.6704     3.7694
1.371      3.6788     3.568
1.5323     3.6944     3.2545
1.5981     3.713      3.0234
1.6892     3.7061     2.7946
1.7031     3.7828     2.5419
1.6806     3.7946     2.339
1.6917     3.8434     2.1378
1.6746     3.9032     2.0258














































































