AMNH       99.1/2285  see1bjw
2.4341     23.8087    9.8        IN
1.8892     19.4918    12.215     BR
1.4389     13.5926    10.4366    GL
1.3676     13.5628    10.2623    NA
1.369      12.7568    8.9875     RH
1.1891     11.6902    6.7665     NS
1.4658     11.4062    6.1408     PR
0.7839     11.6288    6.2657     R_PR2
0.5896     13.4349    8.2703     R_PMS
9999       9999       9999       R_ZMI
-0.3604    14.766     7.8046     R_ZMU
0.7835     14.2959    9.6278     R_DA
-0.5966    14.4435    10.2693    R_MTI
-0.6094    14.5694    10.7481    R_MTS
-1.5062    15.1566    9.4683     R_FMO
-2.2554    16.4286    9.4414     R_FMT
-1.7038    21.4717    7.563      R_PO
9999       9999       9999       R_ZTS
2.4239     11.354     6.3228     L_PR2
2.2836     13.3975    8.6702     L_PMS
4.0874     13.8549    5.7931     L_ZMI
3.5693     14.198     7.9996     L_ZMU
2.4884     14.2062    9.3481     L_DA
3.6216     13.9476    10.3911    L_MTI
3.7224     14.0063    10.8257    L_MTS
4.6665     14.4233    9.7649     L_FMO
5.671      15.174     9.9129     L_FMT
6.4784     20.0185    7.9229     L_PO
9999       9999       9999       L_ZTS
2.4304     11.7775    6.7944     O1
4.8033     16.4098    10.0262    O2
-1.0155    17.0626    10.0961    O3
2.316      23.702     8.716      O4







































































































































































1.3738     13.625     10.3989    GLRH
1.3486     13.6203    10.2759
1.3499     13.5163    10.1405
1.3389     13.4876    10.0055
1.3074     13.446     9.8829
1.2876     13.3765    9.739
1.3024     13.3081    9.6473
1.2928     13.206     9.5667
1.2833     13.132     9.505
1.2582     13.0198    9.4167
1.2682     12.9089    9.2969
1.2694     12.8322    9.1739
1.299      12.7766    8.9834



























































































































































































1.4819     12.7165    8.953      NOSE
1.1372     12.8856    9.0372
1.1933     12.8227    8.8025
1.1842     12.8912    8.5928
1.1638     12.8668    8.4431
1.1754     12.8602    8.2575
1.138      12.8438    8.0761
1.1175     12.7747    7.9089
1.1202     12.6934    7.7279
1.0824     12.6142    7.5235
1.1046     12.4998    7.393
1.1775     12.3647    7.2281
1.1866     12.1978    7.1459
1.3163     11.9718    6.9785
1.3414     11.8974    6.9275
1.4055     11.7638    6.8244
1.4871     11.6869    6.7301
1.0917     11.9664    6.6578
1.2049     12.0782    6.7549
1.2791     12.1349    6.8531
1.3634     12.247     6.9425
1.4339     12.3256    7.0414
1.4934     12.4701    7.1123
1.5786     12.5998    7.2666
1.6075     12.7227    7.4827
1.7089     12.7994    7.8096
1.661      12.8894    7.9569
1.6227     12.8978    8.1411
1.6009     12.9183    8.3149
1.6429     12.9126    8.5191
1.6289     12.9212    8.6327
1.5066     12.9003    8.8417
1.626      12.973     9.1197
1.7985     12.7682    8.9198
1.521      12.7335    8.9205





































































































































































1.5112     11.6243    6.7399     NASP-PR
1.4848     11.4853    6.6382
1.5152     11.3936    6.5046
1.5062     11.3694    6.3354
1.483      11.3734    6.1423



































































































































































































0.6209     13.4321    8.3071     R-PM/MAX
0.5855     13.4641    8.1006
0.538      13.4968    7.8913
0.5109     13.3534    7.7096
0.4125     13.2544    7.4892
0.6706     12.7892    7.5551
0.6583     12.6666    7.3961
0.6831     12.4574    7.2269
0.6444     12.3656    7.1224
0.5365     12.2605    7.0121
0.4395     12.2582    6.9592
0.3324     12.2366    6.8689
0.2241     12.1925    6.767
0.1684     12.1469    6.682
-0.263     12.3121    6.0828

























































































































































































2.2931     13.3741    8.7211     L-PM/MAX
2.3464     13.2871    8.5496
2.3771     13.2657    8.4308
2.4053     13.2298    8.2891
2.4944     13.183     8.0617
2.5502     13.155     7.8751
2.5991     13.046     7.7104
2.7146     12.9805    7.505
2.7714     12.7832    7.3355
2.804      12.6844    7.2582
2.898      12.5672    7.1465
2.9001     12.4893    7.0421
3.0052     12.3541    6.876
3.0786     12.181     6.7242
3.1301     12.0595    6.5849
3.0772     11.7422    6.3293



































































