AMNH       99.1/2286  See2stv
-0.5216    13.901     8.608      IN
-0.5045    10.0441    10.8453    BR
-0.0408    4.836      8.3768     GL
-0.0781    4.8011     8.2948     NA
0.0148     4.1521     7.0692     RH
-0.0604    3.4223     4.782      NS
-0.1088    3.1474     4.2357     PR
-0.5929    3.1993     4.2359     R_PR2
-0.4432    4.7287     7.6064     R_PMS
-1.8834    5.7156     6.243      R_ZMI
-3.0199    6.3728     5.0755     R_ZMU
-0.7092    5.4178     7.8105     R_DA
-1.9628    5.1434     8.6395     R_MTI
-1.9657    5.3011     9.053      R_MTS
-3.3536    6.003      7.8009     R_FMO
-3.7241    6.5951     8.225      R_FMT
-3.8497    11.135     6.4832     R_PO
-4.6527    7.3174     5.8895     R_ZTS
0.4007     3.2709     4.2109     L_PR2
0.364      4.8401     7.5712     L_PMS
1.9389     6.0419     6.1467     L_ZMI
2.9777     6.6544     5.0462     L_ZMU
0.5182     5.4878     7.5676     L_DA
1.8545     5.4446     8.5282     L_MTI
1.8158     5.5472     9.0105     L_MTS
3.0099     6.3701     7.6307     L_FMO
3.4154     6.9442     8.1208     L_FMT
2.8678     11.5128    6.4262     L_PO
4.1141     7.799      5.7185     L_ZTS
-1.8282    3.4293     3.9096     O1
-3.3287    6.6057     8.6107     O2
4.2853     9.5952     6.0669     O3
-1.9364    13.5512    8.329      O4







































































































































































-0.0311    4.8544     8.4583     GLRH
-0.0424    4.8215     8.352
-0.0723    4.7668     8.2678
-0.0516    4.7192     8.0785
-0.0348    4.6543     7.9552
-0.0316    4.567      7.7914
-0.024     4.4591     7.6595
0.0119     4.3635     7.536
0.0008     4.2306     7.3407
0          4.1499     7.2111
0.0204     4.1389     7.0994





























































































































































































-0.0083    4.1329     7.0876     NOSE
-0.2546    4.143      7.0396
