AMNH       54521      See3stv
1.3187     18.5432    12.7013    IN
1.3221     14.0747    14.2087    BR
1.2679     8.2112     11.7962    GL
1.2446     8.1949     11.3532    NA
1.1916     7.623      9.7797     RH
1.16       7.2771     7.3824     NS
1.1247     6.7374     6.472      PR
0.5053     6.815      6.4247     R_PR2
0.9087     8.3163     10.9637    R_PMS
-2.0263    10.4834    7.9714     R_ZMI
-0.5854    9.4208     9.5962     R_ZMU
0.6264     9.0496     11.1695    R_DA
-0.8461    8.9379     11.8838    R_MTI
-0.6491    8.8604     12.3906    R_MTS
-2.0439    9.7819     11.084     R_FMO
-2.4794    10.3706    11.5261    R_FMT
-2.4506    15.759     10.2043    R_PO
-3.3268    11.4379    9.0369     R_ZTS
1.6624     6.8466     6.3854     L_PR2
1.5855     8.319      10.9974    L_PMS
4.4506     10.3831    7.8926     L_ZMI
2.8501     9.4418     9.6096     L_ZMU
1.8756     8.9954     11.1304    L_DA
2.9605     8.6896     11.8641    L_MTI
2.9747     8.6888     12.306     L_MTS
4.6437     9.7757     11.0496    L_FMO
5.0555     10.4231    11.3496    L_FMT
4.9018     15.8125    9.9859     L_PO
5.7755     11.5258    8.8961     L_ZTS
1.3924     6.5117     6.234      O1
-2.0567    10.3595    11.9917    O2
6.3032     13.403     9.152      O3
2.2782     18.556     12.5062    O4







































































































































































1.2387     8.2017     11.3628    GLRH
1.2296     8.1712     11.1458
1.229      8.1292     10.9943
1.2343     8.0701     10.8463
1.2181     8.0242     10.6831
1.2349     7.9621     10.5512
1.1988     7.882      10.4363
1.1729     7.8304     10.289
1.1895     7.7578     10.1812
1.1763     7.6875     10.0522
1.1937     7.639      9.9605
1.2        7.6317     9.8665
1.161      7.6169     9.7698



























































































































































































1.2079     7.6317     9.754      NOSE
0.9827     7.5882     9.726
0.8402     7.6191     9.5619
0.8262     7.6567     9.4306
0.7276     7.7128     9.2372
0.6571     7.7483     8.9738
0.6474     7.748      8.7677
0.5892     7.7246     8.5414
0.5678     7.6962     8.3319
0.6263     7.6272     8.1007
0.6882     7.5653     7.9311
0.8168     7.5025     7.6907
0.9968     7.4199     7.5135
1.0962     7.3466     7.4175
1.1814     7.3033     7.4035
1.3125     7.4015     7.514
1.4606     7.4628     7.6526
1.5753     7.5349     7.8237
1.6592     7.6253     8.0135
1.7104     7.676      8.1962
1.7471     7.7297     8.353
1.731      7.7676     8.5333
1.7589     7.7605     8.7009
1.7054     7.7766     8.9056
1.6983     7.7248     9.1412
1.6465     7.6981     9.3498
1.5802     7.6927     9.406
1.5198     7.6309     9.5982
1.4489     7.617      9.6913
1.3566     7.6255     9.7521
1.1979     7.6227     9.7666









































































































































































1.1331     7.2198     7.3774     NASP-PR
1.1194     7.0818     7.2736
1.1644     6.974      7.1472
1.1623     6.8523     6.979
1.1603     6.7825     6.8412
1.126      6.7442     6.7343
1.1329     6.7321     6.5946

































































































































































































0.9189     8.3108     10.9806    R-PM/MAX
0.9192     8.2645     10.7756
0.8685     8.2278     10.5995
0.8376     8.1886     10.3932
0.7994     8.1539     10.2061
0.742      8.1399     10.0257
0.7045     8.1248     9.8511
0.661      8.1        9.6628
0.633      8.0932     9.5072
0.6101     8.0705     9.3536
0.5809     8.0503     9.1443
0.5445     8.0358     8.9996
0.4903     8.0199     8.856
0.3894     7.9737     8.6451
0.2704     7.8384     8.3423
0.225      7.7705     8.1665
0.1787     7.6632     7.9712
0.141      7.5286     7.7698
0.092      7.4479     7.6164
0.0275     7.3439     7.4189
-0.1152    7.2488     7.2493
-0.15      7.1655     7.0435
-0.1301    7.161      6.9029
-0.057     7.2028     6.7209
-0.0192    7.2142     6.6724















































































































































































1.5995     8.3121     10.9924    L-PM/MAX
1.6052     8.2736     10.792
1.6431     8.2573     10.56
1.6712     8.2114     10.4268
1.713      8.1857     10.3001
1.7192     8.1411     10.1458
1.7518     8.1395     9.9763
1.7755     8.0973     9.834
1.803      8.0744     9.692
1.8181     8.09       9.475
1.8336     8.0691     9.282
1.8632     8.0576     9.1126
1.8905     8.036      8.9489
1.9157     8          8.6872
2.0335     8.0102     8.4996
2.0867     7.9305     8.2861
2.1054     7.8165     8.1174
2.1422     7.7527     7.9601
2.1605     7.649      7.7804
2.1951     7.5391     7.5877
2.2261     7.4779     7.4373
2.2413     7.3697     7.2565
2.3035     7.2767     7.0778
2.3877     7.1987     6.8863
2.3832     7.1754     6.7368
2.343      7.2493     6.596














































































































































































-0.946     9.2671     6.8831     ROSTRUM
-0.9211    9.2111     7.0962
-0.8746    9.1541     7.4417
-0.7676    9.1637     7.6842
-0.6626    9.1124     7.8616
-0.5346    9.0694     8.0934
-0.4046    9.0171     8.3123
-0.2796    8.9795     8.4999
-0.1366    8.8734     8.744
-0.0108    8.8265     8.9267
0.0927     8.7704     9.0647
0.2259     8.6998     9.1973
0.3404     8.6612     9.3312
0.4434     8.6227     9.4653
0.5717     8.5278     9.6846
0.6378     8.4677     9.8653
0.6802     8.396      10.0367
0.7388     8.3689     10.1959
0.7469     8.3434     10.3234
0.7822     8.3228     10.4749
0.8198     8.222      10.6401
1.023      8.1366     10.8768
1.1583     8.1101     10.9174
1.2472     8.0913     10.9328
1.4127     8.1427     10.8288
1.5514     8.2158     10.7201
1.6633     8.2859     10.4819
1.7043     8.3734     10.2325
1.7537     8.4945     9.9485
1.8863     8.5968     9.6382
2.0159     8.6922     9.3879
2.1197     8.6998     9.1823
2.3126     8.7767     8.9111
2.4571     8.8777     8.7339
2.6025     8.9392     8.5097
2.7688     9.0195     8.2152
2.8627     9.1065     8.0154
2.9778     9.1496     7.8468
3.0687     9.22       7.6352
3.177      9.2548     7.3915
3.2274     9.2874     7.1677
3.2171     9.3728     6.9233
3.1943     9.4267     6.7698





























































































































































-2.4953    10.3353    11.5173    SUPORB
-2.4415    10.3013    11.6649
-2.3639    10.2239    11.8135
-2.2695    10.0979    11.9322
-2.1715    9.9968     12.009
-2.1022    9.8776     12.0636
-1.9995    9.7732     12.122
-1.8525    9.5962     12.1572
-1.7351    9.4606     12.1766
-1.5981    9.3377     12.2125
-1.5182    9.2217     12.2126
-1.3162    9.0729     12.2717
-0.9299    8.963      12.3316
-0.7839    8.9289     12.3637
-0.5851    8.8625     12.3901
-0.4415    8.8059     12.4045
-0.2381    8.7385     12.3992
-0.0852    8.6889     12.4021
0.0703     8.6293     12.3753
0.2492     8.5556     12.3737
0.4757     8.4735     12.3337
0.6866     8.4153     12.3207
0.8764     8.3845     12.2598
1.0166     8.3579     12.2153
1.2012     8.3203     12.1524
1.3428     8.3515     12.1809
1.5848     8.4105     12.2292
1.8445     8.4332     12.288
2.13       8.4991     12.3359
2.3003     8.5496     12.3308
2.5786     8.6242     12.3458
2.7836     8.6817     12.3188
3.0345     8.7397     12.304
3.2329     8.8441     12.2963
3.5143     8.9266     12.2373
3.8057     9.0606     12.1627
4.0113     9.1461     12.0925
4.1367     9.2713     12.0754
4.3012     9.3978     12.0268
4.4204     9.581      12.0169
4.6003     9.6986     11.9119
4.6584     9.8052     11.8868
4.7523     9.9613     11.8121
4.8797     10.0964    11.6903
4.9358     10.1946    11.5824
5.0019     10.3009    11.5259
5.0656     10.4695    11.2642

























































































































































-0.5219    9.4554     9.5824     RORBIT
-0.7796    9.4815     9.5466
-0.9734    9.5072     9.505
-1.1325    9.5949     9.562
-1.3694    9.656      9.5935
-1.5725    9.7437     9.7074
-1.7347    9.8255     9.9058
-1.8991    9.894      10.1692
-1.965     9.9073     10.3747
-2.0193    9.9188     10.5907
-2.036     9.8988     10.7981
-2.059     9.8596     10.9668
-2.0412    9.7905     11.1266
-1.9905    9.6879     11.2793
-1.8981    9.5848     11.4202
-1.7485    9.4868     11.5808
-1.5617    9.3798     11.7033
-1.3081    9.255      11.7983
-1.1412    9.0837     11.8673
-0.9089    8.95       11.8893
-0.728     8.9056     11.8976
-0.5332    8.8459     11.9004
-0.2833    8.806      11.8852
-0.0243    8.7296     11.8303
0.2359     8.6391     11.8
0.4387     8.5807     11.6825
0.5611     8.5786     11.5257
0.5546     8.7384     11.3882
0.5955     8.8846     11.2263
0.6419     9.0123     11.0682










































































































































































2.8626     9.4112     9.5963     LORBIT
3.078      9.5094     9.5303
3.2908     9.5481     9.4797
3.4885     9.6058     9.4928
3.7121     9.6646     9.5148
3.9124     9.7123     9.5947
4.0512     9.7957     9.7178
4.2071     9.8592     9.8527
4.3912     9.8961     10.0914
4.4901     9.9449     10.3367
4.5023     9.9711     10.5515
4.59       9.9122     10.7022
4.5963     9.8948     10.8659
4.5636     9.8214     11.0687
4.4764     9.7241     11.2262
4.3276     9.5114     11.4742
4.156      9.3332     11.6314
3.925      9.1864     11.7252
3.6642     9.0087     11.8086
3.4546     8.8803     11.8526
3.2666     8.7882     11.8795
3.0951     8.7263     11.8787
2.9554     8.6653     11.8753
2.6085     8.5617     11.8591
2.3464     8.5061     11.7952
2.1009     8.4972     11.7057
1.9993     8.6366     11.5394
1.9691     8.7572     11.415
1.9499     8.8249     11.3251
1.9187     8.9108     11.2858
1.8545     8.9888     11.1123









































































































































































-2.5069    10.3743    11.4822    RTEMFOS
-2.5468    10.4053    11.2704
-2.6153    10.369     11.034
-2.6612    10.3353    10.8386
-2.6834    10.3023    10.5957
-2.6971    10.2731    10.3803
-2.6632    10.2689    10.0834
-2.6982    10.3009    9.817
-2.7364    10.338     9.5054
-2.8144    10.4439    9.2488
-2.902     10.5435    9.0397
-3.0236    10.6764    8.9108
-3.1413    10.8689    8.8423
-3.1978    11.1024    8.8367
-3.3146    11.2121    8.8788
-3.3498    11.4001    8.9879
-3.4016    11.5264    9.0486
















































































