NMNH       290065     See6stv
9999       9999       9999       IN
9999       9999       9999       BR
-0.4866    10.0376    7.7268     GL
-0.5018    10.0463    7.7341     NA
-0.695     8.5536     6.2511     RH
-0.878     6.6475     3.6327     NS
-0.8912    5.843      2.8717     PR
-1.5661    5.9495     2.8586     R_PR2
-1.1499    9.1347     6.479      R_PMS
-4.0714    10.8404    3.942      R_ZMI
-2.5164    10.3082    5.3169     R_ZMU
-1.3058    10.4384    6.8721     R_DA
-2.4469    10.879     8.0616     R_MTI
-2.3395    11.0717    8.429      R_MTS
-3.8767    11.4654    7.059      R_FMO
-4.4566    12.0852    7.267      R_FMT
-4.3395    17.1009    5.0801     R_PO
-5.3746    12.07      4.5964     R_ZTS
-0.2795    5.8992     2.8845     L_PR2
-0.2731    9.4493     6.9089     L_PMS
3.0384     10.5946    3.9749     L_ZMI
1.195      10.1796    5.3644     L_ZMU
0.2258     10.4742    6.661      L_DA
1.158      10.6777    7.9025     L_MTI
1.0048     10.8735    8.4155     L_MTS
2.9002     11.4318    6.8489     L_FMO
3.433      11.824     7.072      L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
-0.4365    5.593      2.761      O1
1.5848     9.3651     3.3236     O2
3.0613     12.0552    7.6292     O3
-5.7022    13.0856    4.0598     O4







































































































































































-0.561     10.0029    7.7164     GLRH
-0.5559    9.8976     7.6124
-0.5221    9.8024     7.4567
-0.5776    9.6979     7.3508
-0.6266    9.5706     7.1765
-0.6414    9.4518     7.08
-0.6182    9.2995     6.961
-0.6573    9.1589     6.8173
-0.6589    8.981      6.6846
-0.6836    8.8181     6.5716
-0.6699    8.7053     6.4678
-0.7019    8.5713     6.3297
-0.7124    8.5325     6.2268



























































































































































































-0.7395    8.5436     6.2142     NOSE
-1.0315    8.6102     6.2131
-1.1682    8.5694     6.0471
-1.2329    8.4977     5.8454
-1.2843    8.4464     5.6989
-1.3077    8.4149     5.5815
-1.3383    8.3625     5.4704
-1.4086    8.2912     5.3398
-1.3898    8.2162     5.196
-1.4556    8.1741     5.0325
-1.4753    8.0747     4.8913
-1.5073    8.022      4.7319
-1.482     7.8581     4.5072
-1.4116    7.6438     4.2951
-1.3702    7.4114     4.1379
-1.306     7.269      4.0144
-1.2243    7.0685     3.8989
-1.1607    6.9161     3.7911
-1.031     6.7718     3.7126
-0.8445    6.6225     3.6658
-0.6942    6.711      3.6958
-0.5968    6.8632     3.8124
-0.4932    6.9949     3.9364
-0.3683    7.1306     4.0336
-0.2384    7.2908     4.1646
-0.1596    7.4847     4.2916
-0.1363    7.6614     4.4267
-0.0858    7.7977     4.5699
-0.0553    7.9526     4.7592
-0.0691    8.0831     4.9855
-0.1027    8.1347     5.1768
-0.1504    8.211      5.384
-0.172     8.349      5.5992
-0.2024    8.4338     5.8006
-0.243     8.5003     5.9125
-0.2631    8.5343     6.1204
-0.374     8.5422     6.14
-0.4992    8.526      6.1448
