NMNH       38170      See9stv
0.1058     13.7952    5.4006     IN
0.3235     10.1023    8.3606     BR
0.6376     4.4291     6.4347     GL
0.636      4.3586     6.2387     NA
0.6767     3.4321     4.9422     RH
0.7383     2.1165     2.775      NS
0.8164     1.8232     2.2094     PR
0.2066     1.8401     2.2905     R_PR2
0.3076     4.0042     5.5423     R_PMS
-2.8132    5.2088     2.7856     R_ZMI
-1.0227    4.6497     4.2517     R_ZMU
-0.0864    4.9225     5.5547     R_DA
-0.9548    4.8694     6.6675     R_MTI
-0.9206    4.969      6.919      R_MTS
-2.5155    5.4639     5.8931     R_FMO
-2.9143    6.0846     6.2514     R_FMT
-3.443     10.9988    3.9419     R_PO
-3.7773    6.5444     3.4181     R_ZTS
1.4975     1.9984     2.2501     L_PR2
1.0495     4.1683     5.6787     L_PMS
4.2081     5.531      3.1834     L_ZMI
2.4432     4.9279     4.4116     L_ZMU
1.3809     5.0636     5.5332     L_DA
2.1712     5.052      6.6766     L_MTI
2.0127     5.1152     7.0055     L_MTS
3.7819     5.8841     6.1054     L_FMO
3.9974     6.5666     6.5813     L_FMT
3.9679     11.4953    4.0301     L_PO
5.0021     7.1412     3.8378     L_ZTS
0.1055     2.167      2.7723     O1
3.3249     6.7991     7.1058     O2
-4.2846    8.6108     3.745      O3
0.9368     13.7252    5.6658     O4







































































































































































0.6238     4.364      6.2384     GLRH
0.6399     4.2326     6.0288
0.6569     4.0916     5.8474
0.6869     3.9489     5.6732
0.6779     3.8525     5.544
0.6718     3.7194     5.4156
0.6791     3.6197     5.2935
0.6657     3.5001     5.187
0.6665     3.4448     5.1246
0.6647     3.4312     5.0317
0.6725     3.4063     4.9719





























































































































































































0.6637     3.4275     4.9835     NOSE
0.336      3.4608     4.9479
0.2571     3.3771     4.7561
0.2125     3.3132     4.5193
0.1592     3.255      4.3359
0.1515     3.1545     4.0652
0.1119     3.0486     3.8419
0.1465     2.8706     3.6206
0.1806     2.6925     3.437
0.3075     2.4974     3.2417
0.4125     2.3125     3.0322
0.5706     2.1585     2.8478
0.7278     2.136      2.785
0.8745     2.2317     2.8954
1.0132     2.3302     3.0647
1.1623     2.4762     3.2681
1.171      2.66       3.4388
1.2276     2.8345     3.6103
1.2429     2.9979     3.8048
1.2215     3.1106     3.953
1.1708     3.2204     4.1844
1.1235     3.272      4.3684
1.0724     3.3634     4.5935
1.0715     3.3854     4.7258
1.0853     3.4114     4.8198
1.0382     3.4393     4.9209
0.9579     3.4516     4.9991
0.8219     3.4464     5.048
0.6295     3.4322     4.9926











































































































































































0.7328     2.2107     2.8042     NASP-PR
0.7559     2.0056     2.7189
0.7986     1.8644     2.587
0.8247     1.8369     2.4476
0.8237     1.8101     2.3604
0.8372     1.8188     2.1459


































































































































































































0.2607     3.9887     5.4856     R-PM/MAX
0.1885     3.8553     5.3124
0.1107     3.7551     5.0397
0.0554     3.6311     4.808
0.019      3.5655     4.5955
-0.0346    3.4873     4.3269
-0.0896    3.4203     4.1287
-0.1504    3.2785     3.8641
-0.1872    3.1089     3.6575
-0.2261    2.9437     3.4512
-0.2697    2.7973     3.2589
-0.3348    2.6744     3.035
-0.3494    2.5444     2.8519
-0.385     2.4469     2.6482
-0.4519    2.3646     2.5032
-0.4734    2.2668     2.3666
-0.3651    2.1661     2.2102























































































































































































1.0747     4.1456     5.6754     L-PM/MAX
1.1301     4.0348     5.4645
1.1998     3.9046     5.2088
1.2538     3.7978     4.9784
1.3066     3.72       4.8163
1.3487     3.6394     4.5969
1.3971     3.5592     4.3792
1.4386     3.487      4.255
1.4967     3.4009     4.112
1.5569     3.2887     3.9165
1.5818     3.1313     3.7147
1.6571     3.036      3.5799
1.7014     2.8836     3.4152
1.7354     2.7683     3.2659
1.8075     2.6711     3.1157
1.8844     2.5887     2.9308
2.0046     2.5366     2.7631
2.0697     2.4135     2.5682
1.9796     2.3757     2.2532





















































































































































































-1.4103    4.1978     1.9576     ROSTRUM
-1.4075    4.2019     2.2514
-1.3485    4.1696     2.4688
-1.3013    4.1615     2.7909
-1.2273    4.1696     3.038
-1.125     4.1696     3.2537
-0.9878    4.1502     3.4671
-0.8846    4.1379     3.6226
-0.8037    4.1461     3.7757
-0.6321    4.0849     4.0066
-0.5078    4.0966     4.2487
-0.4229    4.1017     4.4113
-0.3084    4.0841     4.5479
-0.1857    4.1075     4.8144
-0.0833    4.0694     5.0055
0.0162     4.0867     5.2116
0.0973     4.0662     5.3654
0.2128     4.0192     5.4972
0.334      4.0305     5.6405
0.5006     3.998      5.7187
0.6332     3.9972     5.744
1.0393     4.0067     5.5268
1.1937     4.0527     5.3512
1.293      4.0496     5.1159
1.4275     4.0684     4.734
1.6142     4.0437     4.4641
1.7973     4.0726     4.2632
1.9544     4.1101     4.1171
2.1083     4.1323     3.9117
2.2618     4.1689     3.7006
2.3505     4.2019     3.4978
2.4287     4.2151     3.2804
2.5833     4.2495     3.0769
2.6991     4.3138     2.8635
2.7626     4.3494     2.6386
2.8321     4.3966     2.4796
2.8827     4.4363     2.2038



































































































































































-2.8264    6.1062     6.3652     SUPORB
-2.6251    6.0253     6.6264
-2.4726    5.9659     6.7237
-2.2787    5.8743     6.8086
-2.1269    5.7205     6.8465
-1.9764    5.5806     6.869
-1.827     5.4579     6.9138
-1.6513    5.3314     6.9237
-1.4307    5.1881     6.9318
-1.2171    5.0794     6.9279
-1.0252    5.0128     6.9291
-0.8099    4.9438     6.9135
-0.6485    4.8603     6.8895
-0.4825    4.7874     6.8486
-0.2381    4.7354     6.7908
-0.1064    4.716      6.7718
0.0753     4.6861     6.7356
0.2265     4.6527     6.7115
0.3733     4.5915     6.6649
0.55       4.5649     6.6053
0.8242     4.6874     6.6892
1.2139     4.7748     6.7757
1.4412     4.8599     6.8532
1.6833     4.9451     6.8997
1.8873     5.0657     6.9727
2.1        5.1254     7.0255
2.2727     5.2536     7.0742
2.4176     5.3328     7.0894
2.5909     5.4675     7.121
2.7825     5.5719     7.1169
2.9279     5.7644     7.1181
3.0848     5.8839     7.1101
3.2357     6.0293     7.0751
3.3378     6.1673     7.0473
3.4955     6.2696     7.0154
3.7071     6.3496     6.896
3.8315     6.4858     6.8155
3.9035     6.4994     6.7178
3.9964     6.5563     6.5875

































































































































































-1.0676    4.7238     4.2557     RORBIT
-1.348     4.7156     4.2074
-1.5589    4.7667     4.2089
-1.7566    4.8505     4.2354
-1.97      4.9452     4.3025
-2.1339    5.0593     4.3966
-2.3486    5.1839     4.5804
-2.4131    5.296      4.7588
-2.5029    5.4085     5.0111
-2.5602    5.4364     5.202
-2.5571    5.4738     5.4019
-2.5321    5.5428     5.5848
-2.4519    5.4956     5.8803
-2.2852    5.4386     6.0742
-2.0678    5.4091     6.253
-1.8838    5.3907     6.3779
-1.6867    5.318      6.5195
-1.4806    5.2203     6.5727
-1.175     4.9815     6.6526
-0.949     4.9635     6.549
-0.6922    4.8703     6.5027
-0.4592    4.7685     6.495
-0.2455    4.734      6.3792
-0.0472    4.7319     6.1548
-0.0518    4.8411     5.8216
-0.0654    4.929      5.5236














































































































































































2.4393     4.9276     4.4219     LORBIT
2.7026     4.9811     4.4098
2.908      5.0943     4.4205
3.1391     5.2108     4.4735
3.3219     5.3417     4.5654
3.4548     5.4458     4.6634
3.63       5.5199     4.8312
3.6519     5.7237     5.0041
3.7628     5.79       5.3035
3.8592     5.8019     5.5121
3.8012     5.9119     5.8409
3.8039     5.9092     6.065
3.6915     5.8537     6.157
