NME        L122-34    Tb3sf
15.9184    19.0018    -10.6413   IN
13.725     15.6898    -13.882    BR
10.1408    9.9555     -11.5321   GL
10.0553    10.0272    -11.5226   NA
9999       9999       9999       RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
13.7085    7.5065     -6.7587    R_ZMI
11.9331    8.9448     -9.9867    R_ZMU
10.6885    9.9176     -10.2075   R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
13.7855    8.8914     -11.812    R_FMO
14.524     9.097      -11.6273   R_FMT
17.2686    13.8588    -10.0054   R_PO
15.9548    8.4361     -8.8811    R_ZTS
9999       9999       9999       L_PR2
9999       9999       9999       L_PMS
7.0273     12.0542    -6.0588    L_ZMI
8.9672     11.1287    -9.7175    L_ZMU
9.9834     10.4944    -10.2617   L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
8.851      5.4457     -3.972     O1
14.8363    6.4073     -8.1209    O2
10.0427    13.9321    -12.4509   O3
16.7378    18.3844    -10.6402   O4







































































































































































10.06      10.0401    -11.5093   GLRH
10.1043    10.0565    -11.3633
10.1187    10.0719    -11.2491
10.1265    10.0974    -11.0886
10.1362    10.107     -10.9813
10.1833    10.0971    -10.8056
10.196     10.0552    -10.648
10.2233    10.0223    -10.4716
10.2575    10.0175    -10.3139
10.2266    9.8861     -10.1014
10.1043    9.781      -9.9255
10.064     9.6884     -9.7313
10.0218    9.6338     -9.5748
10.0089    9.5345     -9.415
9.9043     9.4254     -9.197
9.882      9.342      -9.0395
9.8458     9.3058     -8.9262
9.7426     9.2378     -8.8386
9.7002     9.1796     -8.7019
9.6912     9.1209     -8.5523
9.5846     9.015      -8.4577
9.5471     8.8802     -8.3578
9.5294     8.759      -8.2701
9.4273     8.6398     -8.1951
9.4639     8.5189     -8.0373















































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































12.8019    7.3591     -4.4519    ROSTRUM
12.7422    7.3534     -4.6638
12.696     7.3318     -4.896
12.6507    7.2998     -5.0371
12.6173    7.2853     -5.2063
12.5392    7.2284     -5.355
12.4378    7.2201     -5.5456
12.3109    7.2367     -5.7564
12.1493    7.2621     -5.9352
