NME        L345-3     Tb6stv
9999       9999       9999       IN
11.2998    10.8633    12.8961    BR
6.2527     6.9639     10.9122    GL
6.2334     6.8146     10.3035    NA
3.6204     4.2571     6.5335     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
3.6053     5.1367     6.6637     R_PMS
2.9262     9.459      4.6376     R_ZMI
5.0639     8.5953     8.4139     R_ZMU
6.2245     7.3987     9.9253     R_DA
5.3944     9.4929     10.548     R_MTI
5.6065     9.4237     11.5093    R_MTS
5.3804     10.4546    10.0754    R_FMO
6.0828     11.7591    10.2865    R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
4.1911     4.0823     6.9076     L_PMS
8.0464     1.9909     6.8777     L_ZMI
7.5106     4.6472     9.5026     L_ZMU
6.9853     6.3298     9.9839     L_DA
8.0047     5.1159     12.0506    L_MTI
8.0485     5.5571     12.7851    L_MTS
9.4853     4.3196     11.0655    L_FMO
10.6327    4.8448     11.4491    L_FMT
9999       9999       9999       L_PO
10.7429    2.4939     9.2805     L_ZTS
1.3376     5.1819     3.4755     O1
7.5089     3.3593     4.5288     O2
1.5555     10.883     5.0551     O3
13.9177    6.4133     9.6282     O4







































































































































































6.2354     6.9752     10.8852    GLRH
6.2378     6.8504     10.6611
6.1601     6.8076     10.3944
6.2317     6.7694     9.83
6.1905     6.6489     9.5899
6.1234     6.5036     9.3653
6.0286     6.3572     9.1484
5.9358     6.2385     8.9794
5.8568     6.1097     8.8118
5.7999     5.9793     8.6786
5.6302     5.8987     8.4075
5.4958     5.7663     8.2211
5.3147     5.5985     7.9811
5.0949     5.4229     7.7397
4.9549     5.2862     7.5403
4.7871     5.1766     7.3799
4.5587     4.9303     7.2282
4.3208     4.7243     7.076
4.1212     4.6389     6.9572
3.91       4.4449     6.812
3.7665     4.3449     6.7422
3.6702     4.2761     6.6814
3.6029     4.2267     6.563

















































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































2.0395     6.5522     3.1183     ROSTRUM
2.0854     6.4619     3.4723
2.2231     6.3193     3.7356
2.3193     6.2371     3.9271
2.4427     6.1667     4.0748
2.5596     6.0251     4.1949
2.6683     5.8503     4.3502
2.6557     5.613      4.5267
2.4774     5.6883     5.2641
2.3419     5.8713     5.4436
2.2453     5.9131     5.5861
2.1838     5.8827     5.8447
2.2622     5.7694     6.1242
2.4488     5.5135     6.2383
2.6378     5.3084     6.2152
2.8158     5.0735     6.2403
2.9754     4.9555     6.2958
3.1294     4.764      6.3329
3.249      4.661      6.3562
3.3838     4.4875     6.3928
3.5021     4.4501     6.4789
3.616      4.2923     6.6565
9999       9999       9999

















































































































































































6.1303     11.7714    10.4633    SUPORB
5.9877     11.6482    10.5595
5.9723     11.525     10.5523
5.7678     11.3929    10.6179
5.6419     11.3717    10.7651
5.4614     11.2783    10.7749
5.3632     10.9743    10.9727
5.3659     10.803     11.0784
5.338      10.6056    11.1403
5.4154     10.4826    11.2511
5.4255     10.3126    11.3077
5.4038     10.1223    11.3589
5.4669     10.0088    11.4038
5.5341     9.7936     11.4534
5.6153     9.5969     11.503
5.6318     9.3941     11.5302
5.7672     9.1933     11.5596
5.8253     9.0216     11.5601
5.8641     8.8346     11.5705
5.9119     8.6238     11.5708
6.0949     8.5253     11.5748
6.1771     8.3408     11.5783
6.2174     8.1823     11.5741
6.3422     8.0335     11.558
6.4169     7.8559     11.5597
6.4074     7.7143     11.5455
6.5043     7.5267     11.5898
6.5705     7.3897     11.619
6.7263     7.2533     11.7146
6.9185     7.0451     11.8803
7.0471     6.9014     12.0031
7.1539     6.7467     12.1398
7.2615     6.6716     12.2092
7.469      6.5722     12.3264
7.5449     6.4552     12.4199
7.6455     6.312      12.4682
7.7627     6.1861     12.5373
7.9056     5.9141     12.7162
7.9495     5.6946     12.7684
8.3549     5.4239     12.7725
8.6152     5.1954     12.7544
8.8959     5.1076     12.6588
9.0994     4.9785     12.6038
9.2672     4.9459     12.5187
9.5018     4.8973     12.4185
9.6863     4.8652     12.3288
9.9257     4.8177     12.1933
10.1116    4.8019     12.1003
10.3264    4.8494     12.0227
10.4444    4.6844     11.846
10.5896    4.6431     11.5879
10.5933    4.649      11.3331


























































































