KNM        WT 16828   Tb7stv
20.1788    22.4242    6.5128     IN
17.8208    18.7739    10.4048    BR
11.2766    13.1038    11.2735    GL
11.1203    13.0189    10.6536    NA
6.5162     7.9307     6.1019     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
7.3016     9.3797     6.5028     R_PMS
9999       9999       9999       R_ZMI
9.2962     14.2744    7.9972     R_ZMU
10.489     13.2358    9.3647     R_DA 
9.8586     15.3359    11.045     R_MTI
10.3732    15.6487    12.0581    R_MTS
9.3943     16.8529    9.6817     R_FMO
9.8572     18.1955    9.5692     R_FMT
12.3972    21.1974    5.7064     R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
8.4196     9.3691     6.7859     L_PMS
13.2682    7.9769     3.6237     L_ZMI
12.9659    10.8868    8.2731     L_ZMU
11.7348    12.1611    9.3212     L_DA 
13.7112    11.8717    11.4443    L_MTI
14.0818    12.5247    12.3381    L_MTS
15.2351    11.576     10.0854    L_FMO
16.5558    12.0771    9.6425     L_FMT
20.1422    15.3628    5.3858     L_PO 
16.7436    9.3123     6.0029     L_ZTS
3.7994     7.0874     5.4826     O1   
16.5115    6.2807     4.9228     O2   
10.8768    17.8518    10.1262    O3   
21.4184    19.9652    5.5047     O4   
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                                                                                  17.4203  7.8205  8.1734
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                      
                                     














































































































































11.2173    13.1303    11.2096    GLRH
11.1751    13.0732    10.9903
11.1626    13.0342    10.7782
11.148     12.8984    10.5643
11.1242    12.8368    10.3541
11.0408    12.78      10.1616
10.9867    12.6962    9.9713
10.8981    12.5995    9.7475
10.8329    12.5149    9.6047
10.7303    12.3956    9.4112
10.6636    12.271     9.2448
10.588     12.1836    9.1202
10.3196    11.9502    8.7493
10.2172    11.8425    8.6051
10.1043    11.7341    8.4977
10.0178    11.6046    8.3601
9.8566     11.4599    8.2004
9.675      11.2842    8.0113
9.4869     11.0719    7.825
9.3721     10.9593    7.7554
9.2621     10.8383    7.6227
9.0935     10.6454    7.486
8.8994     10.4396    7.3457
8.7651     10.311     7.2647
8.6217     10.1545    7.2093
8.4815     10.0146    7.1293
8.2959     9.7735     7.056
8.1299     9.622      7.0113
7.948      9.4186     6.9553
7.7943     9.2469     6.9007
7.6492     9.0496     6.8269
7.4379     8.9205     6.7523
7.2859     8.7752     6.6759
7.181      8.5711     6.6121
7.0679     8.4077     6.5367
6.8609     8.1813     6.3976
6.6868     7.9986     6.2418
6.5663     7.8938     6.2037


































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX























































