KNM        BC 2a      Tbg1stv
9999       9999       9999       IN
15.8903    18.0509    14.0571    BR
11.162     13.8544    12.7411    GL
11.0589    13.6717    12.2369    NA
7.9441     10.2549    8.3841     RH
6.129      7.9651     5.4872     NS
5.9933     7.666      4.1115     PR
5.4069     8.2745     4.1733     R_PR2
8.2375     11.4933    8.7923     R_PMS
9.0934     16.6023    6.8192     R_ZMI
9.4169     15.3138    10.6428    R_ZMU
10.7715    14.2266    11.6215    R_DA
10.0786    15.5117    12.862     R_MTI
10.4041    15.874     13.6149    R_MTS
9.7514     16.8409    11.3924    R_FMO
10.0152    18.3591    11.7671    R_FMT
13.2034    21.5796    8.7602     R_PO
9.9453     19.3035    8.7995     R_ZTS
6.5326     7.0803     4.1561     L_PR2
9.2878     10.69      8.7472     L_PMS
14.5263    10.9032    7.2054     L_ZMI
12.5887    12.3943    10.5472    L_ZMU
11.6498    13.3421    11.5437    L_DA
12.9427    12.5886    13.0056    L_MTI
13.2844    12.7867    13.8025    L_MTS
14.3009    12.2881    12.0731    L_FMO
15.8228    12.6515    12.1969    L_FMT
19.8901    16.4186    9.1589     L_PO
17.1656    11.7225    9.1494     L_ZTS
6.2013     7.1394     4.1752     O1
15.2384    13.1197    13.1651    O2
11.9725    21.3389    7.9576     O3
20.0403    16.8673    9.1321     O4







































































































































































11.2496    13.8616    12.9203    GLRH
11.1716    13.8332    12.7518
11.1597    13.7627    12.6184
11.139     13.7201    12.4965
11.1285    13.6736    12.3398
11.0567    13.6429    12.1476
11.0028    13.5916    11.9426
10.9489    13.5578    11.8051
10.9079    13.5035    11.6639
10.8847    13.4245    11.4961
10.796     13.3349    11.2876
10.7214    13.2505    11.1473
10.655     13.1966    10.985
10.5396    13.0771    10.8201
10.4029    12.9602    10.5849
10.2982    12.8122    10.4332
10.1937    12.6999    10.2737
10.0964    12.5925    10.1613
9.9698     12.5039    10.018
9.8159     12.273     9.8615
9.7064     12.108     9.7556
9.5271     11.8524    9.6007
9.3537     11.6595    9.4473
9.1602     11.4641    9.3266
8.9405     11.2654    9.1903
8.7485     11.0778    9.0726
8.5242     10.8417    8.9132
8.3941     10.6519    8.7915
8.2731     10.5049    8.6776
8.1364     10.4108    8.5823
7.9978     10.2742    8.477
7.9187     10.2418    8.3159








































































































































































7.8929     10.2885    8.3106     NOSE
7.6882     10.3956    8.3255
7.4502     10.5066    8.2788
7.3109     10.6044    8.185
7.0063     10.4727    7.9834
6.8896     10.3762    7.7944
6.7438     10.2905    7.6496
6.5643     10.1942    7.4603
6.4419     10.0523    7.3501
6.2703     9.8667     7.235
6.161      9.6913     7.0327
6.0624     9.5509     6.8554
6.052      9.4219     6.7381
5.9588     9.3236     6.542
5.8935     9.1698     6.2937
5.7834     9.0505     6.1397
5.6697     8.8503     5.9593
5.7026     8.7167     5.8448
5.9242     8.5767     5.825
5.9609     8.3842     5.7073
6.0257     8.1823     5.5666
6.1508     8.081      5.5577
6.2813     7.9775     5.5956
6.4361     7.8446     5.6957
6.5746     7.7803     5.8013
6.7044     7.6988     5.8939
6.8928     7.6336     5.9881
7.0648     7.6151     6.1268
7.2292     7.649      6.3125
7.3068     7.7358     6.4344
7.4167     7.8388     6.5862
7.5161     7.9943     6.7212
7.6127     8.0552     6.8415
7.6967     8.2178     6.9363
7.7611     8.3551     7.0545
7.8294     8.5904     7.182
7.8846     8.7024     7.3826
7.963      8.8939     7.4944
8.0093     9.0099     7.6396
8.0402     9.1978     7.7808
8.1084     9.5        7.8739
8.1631     9.6185     7.8832
8.1218     9.8196     7.9396
8.0497     10.0261    8.1113
8.0294     10.076     8.2694
7.9944     10.2059    8.3011
7.9797     10.2253    8.2782


















