NMNH       354990     Tg10stv
17.9843    18.0096    14.1121    IN
14.7615    14.6161    16.3461    BR
11.4933    10.7892    13.4034    GL
11.7977    11.0243    12.8331    NA
11.3004    10.5265    9.3738     RH
10.0318    9.4322     7.4404     NS
9.769      9.0138     6.0793     PR
9.3994     9.6001     6.4523     R_PR2
11.2767    11.1655    9.7066     R_PMS
10.6169    14.4554    9.1445     R_ZMI
11.0248    12.6308    11.3274    R_ZMU
11.8446    11.5079    12.2582    R_DA
10.6145    11.7358    12.9775    R_MTI
10.5134    11.9681    13.7885    R_MTS
10.4735    13.5169    12.6196    R_FMO
10.3926    14.0281    13.2815    R_FMT
13.7919    18.2139    12.0706    R_PO
10.4625    15.9186    10.6012    R_ZTS
10.2314    8.8136     6.0005     L_PR2
11.8743    10.3968    9.7188     L_PMS
15.6939    10.1222    9.3298     L_ZMI
13.5155    10.4863    11.471     L_ZMU
12.291     11.1154    12.286     L_DA
12.928     9.7416     13.1835    L_MTI
13.0805    9.946      13.9173    L_MTS
14.4796    9.8854     13.0474    L_FMO
15.0092    10.1602    13.4292    L_FMT
18.7672    13.851     12.2751    L_PO
16.9222    10.2437    10.8056    L_ZTS
10.4802    8.8191     7.0482     O1
10.8053    13.4911    13.9039    O2
18.4695    11.2728    11.4495    O3
18.6548    16.9019    13.8084    O4







































































































































































11.5354    10.7335    13.2848    GLRH
11.6177    10.8547    13.1494
11.7164    10.9397    13.0284
11.7954    10.9759    12.8864
11.8231    11.0331    12.732
11.8376    11.0606    12.5638
11.9168    11.115     12.3682
11.9471    11.1386    12.2167
11.9656    11.1593    12.0789
11.9876    11.1744    11.9175
11.9937    11.1848    11.7636
12.0062    11.1775    11.6233
11.9763    11.1866    11.457
11.9545    11.1576    11.2658
11.9188    11.1271    11.1378
11.8397    11.0858    10.9001
11.7853    11.0025    10.7707
11.7449    10.9535    10.6301
11.7175    10.902     10.5215
11.6732    10.8483    10.3781
11.6157    10.7891    10.2344
11.5935    10.707     10.1206
11.475     10.6553    9.878
11.4129    10.5792    9.7435
11.3404    10.4813    9.5868
11.2594    10.4428    9.4315














































































































































































9999       9999       9999       NOSE
10.0213    9.4053     7.4409
10.2353    9.2999     7.4962
10.4797    9.2711     7.6111
10.7066    9.2595     7.7095
10.8965    9.2711     7.8874
11.1516    9.3052     8.1273
11.2242    9.4591     8.3632
11.3261    9.5693     8.5372
11.5086    9.6362     8.7175
11.5617    9.8274     8.981
11.5633    9.9815     9.1157
11.6131    10.0646    9.2836
11.6433    10.1423    9.4344
11.5228    10.2139    9.4944
11.4235    10.323     9.5536
11.2886    10.4149    9.4831























































































































































































9.9502     9.4103     7.391      NASP-PR
9.8767     9.2499     7.1986
9.8238     9.1573     7.0711
9.7475     9.0551     6.9011
9.7023     8.9962     6.6667
9.679      9.0144     6.3737
9.7199     9.0561     6.0961

































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































11.8518    10.3015    9.6543     L-PM/MAX
11.7245    10.143     9.423
11.6758    10.0163    9.2377
11.6169    9.9009     9.0743
11.5677    9.7996     8.9425
11.4982    9.6722     8.7581
11.4176    9.5857     8.6373
11.3897    9.4907     8.5084
11.2945    9.4076     8.3632
11.2398    9.3162     8.2113
11.3075    9.3164     8.1084
11.3951    9.273      7.9585
11.4241    9.2298     7.8108
11.3981    9.1278     7.5631
11.3971    9.0628     7.439
11.3305    8.9822     7.2817
11.3289    8.9183     7.1704
11.3184    8.8692     7.0528
11.3343    8.8068     6.966
11.2839    8.7416     6.8495
11.2765    8.7215     6.7648
11.2355    8.7263     6.6258
11.2188    8.8395     6.4091

















































































































































































10.5324    12.8127    7.2052     ROSTRUM
10.4945    12.7928    7.4532
10.5791    12.5845    7.7061
10.7238    12.4186    7.823
10.8591    12.3137    7.9732
10.8864    12.2381    8.0409
10.9418    12.189     8.1786
10.9527    12.1129    8.3944
10.9493    12.0629    8.6222
10.9185    12.0033    8.8123
10.8694    11.8901    8.9788
10.87      11.7944    9.1845
10.9446    11.6464    9.3667
11.0013    11.5544    9.4579
11.0874    11.3881    9.6013
11.1785    11.2339    9.6918
11.2504    11.1308    9.8343
11.3153    10.9595    9.9447
11.4436    10.7926    10.0485
11.533     10.724     10.1242
11.6116    10.7075    10.0952
11.7641    10.5956    10.0654
11.9004    10.5273    9.9882
12.0405    10.4656    9.8887
12.1322    10.4213    9.8024
12.3037    10.3912    9.6436
12.4196    10.34      9.4632
12.5616    10.2721    9.2606
12.6397    10.2459    9.0276
12.7672    10.3287    8.8712
12.814     10.361     8.6525
12.9336    10.3918    8.443
13.0037    10.4084    8.223
13.0527    10.3978    8.0989
13.1591    10.3581    7.9511
13.3417    10.2914    7.8416
13.429     10.1672    7.6905
13.5889    10.1047    7.6243
13.6854    10.0382    7.4608
13.7052    10.0509    7.2553
13.6994    10.1042    7.1229































































































































































10.4049    14.1039    13.202     SUPORB
10.4063    13.9189    13.4876
10.3517    13.6576    13.6823
10.3818    13.448     13.8187
10.3834    13.2584    13.8708
10.39      13.1683    13.876
10.3427    13.0019    13.8777
10.3123    12.7814    13.8648
10.3064    12.631     13.8397
10.3668    12.4215    13.8378
10.4159    12.1924    13.8372
10.4731    12.0134    13.8108
10.5588    11.827     13.7863
10.6512    11.664     13.7504
10.7567    11.5193    13.727
10.8695    11.3632    13.7045
11.0465    11.2408    13.6781
11.1899    11.1606    13.6676
11.3957    11.049     13.6507
11.6229    10.9535    13.675
11.7336    10.7722    13.6593
11.8886    10.6148    13.6558
12.0201    10.5109    13.6988
12.1703    10.3715    13.7457
12.3185    10.2624    13.7979
12.5598    10.1775    13.8625
12.6852    10.1584    13.895
12.8848    10.014     13.924
13.0569    9.9098     13.9597
13.3277    9.8541     13.9715
13.5273    9.8692     13.9849
13.738     9.8684     14.0057
13.9545    9.8684     14.0147
14.1703    9.9985     14.0037
14.4122    9.9969     13.9399
14.5823    10.0112    13.8628
14.756     10.0161    13.7179
14.85      10.0673    13.6176
14.9265    10.097     13.492
15.0577    10.164     13.4065
































































































































































10.9857    12.6542    11.3032    RORBIT
10.8939    12.8763    11.3435
10.7852    13.101     11.3953
10.7579    13.1892    11.4648
10.7129    13.2873    11.5912
10.6654    13.3732    11.7283
10.6084    13.4424    11.8709
10.5366    13.5368    12.0931
10.5274    13.5711    12.2418
10.5041    13.5745    12.3799
10.4534    13.5162    12.635
10.4119    13.3393    12.9092
10.3028    13.1748    13.1162
10.2449    12.9841    13.156
10.1611    12.7612    13.2031
10.1248    12.5317    13.2073
10.1521    12.3772    13.189
10.1999    12.1836    13.1654
10.2978    11.8971    13.1473
10.471     11.7079    13.0535
10.6588    11.6138    13.0251
10.8758    11.6464    13.0254
11.111     11.5754    13.0753
11.3015    11.4887    13.0872
11.5436    11.3834    12.9886
11.5973    11.3564    12.9083
11.6693    11.4212    12.7633
11.753     11.5017    12.6358
11.8178    11.5326    12.3816
11.8535    11.523     12.2518










































































































































































13.5497    10.4414    11.4964    LORBIT
13.7784    10.2921    11.5295
13.9298    10.2813    11.5909
14.0351    10.26      11.6289
14.149     10.2102    11.7346
14.2292    10.154     11.8467
14.2845    10.1284    11.9434
14.3694    10.1377    12.0213
14.4252    10.1037    12.1529
14.4883    10.0596    12.3033
14.5227    10.0154    12.4308
14.5326    10.0225    12.5693
14.5365    10.0138    12.6982
14.5671    9.9232     12.8379
14.4589    9.9505     13.0154
14.4315    9.7773     13.2091
14.2854    9.7349     13.2693
14.1284    9.7026     13.2902
13.9677    9.7101     13.2761
13.8158    9.7304     13.252
13.6173    9.7571     13.2332
13.2287    9.7846     13.1671
12.9746    9.7753     13.1549
12.8276    9.7426     13.2237
12.6537    9.8249     13.2119
12.5971    9.9        13.1477
12.4844    10.1993    13.0534
12.3673    10.4261    13.095
12.1849    10.5276    13.0665
12.1928    10.7264    12.9795
12.1322    10.8304    12.9072
12.1223    10.8843    12.8196
12.1722    10.9782    12.6416
12.2009    11.0058    12.5514
12.2748    11.0564    12.4289
12.3065    11.0897    12.3126
12.3571    11.0846    12.2249



































































































































































10.3414    14.0957    13.1039    RTEMFOS
10.3045    14.1498    12.8597
10.358     14.3298    12.6472
10.3114    14.3786    12.3646
10.3639    14.49      12.1065
10.3005    14.5114    11.876
10.3023    14.5347    11.6995
10.2807    14.5789    11.5588
10.2897    14.6475    11.3816
10.3111    14.7091    11.2101
