FMNH       27233      Tg16stv
16.0159    16.2881    16.3391    IN
12.668     13.049     17.4124    BR
8.7833     8.7099     14.6119    GL
9.0461     8.9674     13.8824    NA
8.4689     8.377      9.5662     RH
6.7577     6.5012     6.9562     NS
6.3167     5.8708     5.0715     PR
5.9313     6.404      5.0734     R_PR2
7.8187     8.5488     9.0307     R_PMS
7.6417     12.8359    9.3475     R_ZMI
8.4777     10.8887    12.234     R_ZMU
9.0953     9.6604     13.0312    R_DA
7.7331     9.914      13.9108    R_MTI
8.0384     10.1105    14.9089    R_MTS
7.6857     12.0125    13.6951    R_FMO
7.7004     12.7606    14.3147    R_FMT
11.8329    17.3861    12.9608    R_PO
7.4539     14.9193    11.1833    R_ZTS
6.9494     5.4636     5.1267     L_PR2
8.8053     7.7268     9.0369     L_PMS
13.2077    7.3506     9.7104     L_ZMI
10.8922    8.4595     12.3751    L_ZMU
9.6985     9.1231     13.2562    L_DA
10.35      7.4777     14.2372    L_MTI
10.6567    7.9943     15.1737    L_MTS
12.101     7.7557     13.9534    L_FMO
12.7075    7.772      14.5183    L_FMT
17.5295    11.9246    13.4465    L_PO
15.1757    7.4063     11.7268    L_ZTS
5.8703     5.9037     4.863      O1
8.4744     11.8784    14.9481    O2
17.1556    9.1515     12.4646    O3
16.5897    15.4992    15.8104    O4







































































































































































8.7681     8.708      14.5223    GLRH
8.8741     8.8655     14.1998
8.994      8.9325     14.0027
9.0569     8.9793     13.8603
9.0804     9.0195     13.7259
9.1234     9.0979     13.5502
9.2005     9.166      13.3349
9.2738     9.1845     13.166
9.3154     9.2269     12.9995
9.3174     9.2891     12.8164
9.3535     9.2858     12.6006
9.3276     9.296      12.3206
9.3229     9.2599     12.092
9.3025     9.238      11.9369
9.2977     9.1945     11.7516
9.2334     9.1546     11.4891
9.1823     9.1402     11.3286
9.1428     9.0648     11.12
9.1215     9.0134     11.0171
9.1052     8.9545     10.9072
9.0188     8.9374     10.7798
8.9239     8.8631     10.578
8.8752     8.797      10.4357
8.8228     8.6754     10.2574
8.7749     8.6073     10.1517
8.7176     8.547      10.0394
8.6676     8.5125     9.9399
8.584      8.4354     9.7761
8.4997     8.401      9.6579
8.4903     8.3807     9.5904
