AMNH       60568      Tg1stv
17.9391    17.9472    10.2149    IN
16.2613    15.425     13.5383    BR
11.907     10.1826    13.7576    GL
11.824     10.3098    13.1295    NA
10.0591    8.3197     9.5416     RH
8.2617     6.0817     8.0155     NS
7.6379     5.3883     6.2349     PR
7.2011     5.9875     6.1808     R_PR2
9.6917     8.6501     9.4582     R_PMS
8.9336     12.2173    8.592      R_ZMI
10.3765    11.3505    11.2592    R_ZMU
11.3601    10.5284    12.0761    R_DA
10.4609    11.6366    13.3434    R_MTI
10.7686    12.1338    13.9652    R_MTS
10.067     12.9462    12.518     R_FMO
10.1152    13.7435    12.6748    R_FMT
12.9517    17.871     8.814      R_PO
9.0488     14.6436    9.4145     R_ZTS
8.3905     5.0787     6.3922     L_PR2
10.4569    7.8248     9.2729     L_PMS
14.2635    7.9592     8.4613     L_ZMI
12.8163    9.2617     11.2385    L_ZMU
12.1512    10.0747    12.4153    L_DA
13.1311    9.3269     13.317     L_MTI
13.3365    9.4872     14.0452    L_MTS
14.6331    9.0957     12.4154    L_FMO
15.3646    9.3333     12.5532    L_FMT
19.0281    13.0016    8.8623     L_PO
16.4947    8.5631     9.303      L_ZTS
6.7223     6.1231     6.0947     O1
10.8493    13.3239    13.1018    O2
18.455     9.9839     8.6731     O3
15.5941    18.8089    9.4697     O4







































































































































































11.828     10.2342    13.6443    GLRH
11.8874    10.3216    13.4854
11.8651    10.3265    13.366
11.8276    10.3191    13.1817
11.7909    10.2561    12.9988
11.7574    10.1839    12.7866
11.6833    10.2042    12.6545
11.658     10.1796    12.5668
11.6335    10.1537    12.4366
11.6397    10.11      12.2993
11.6011    10.061     12.1532
11.5684    10.0078    12.0311
11.5365    9.9607     11.9282
11.4817    9.9201     11.8168
11.4115    9.8389     11.6616
11.3776    9.7739     11.5256
11.3033    9.7084     11.3729
