MNHN       1904.161   Tg25stv
0.5675     16.4458    11.8794    IN
0.4901     12.6898    14.5865    BR
0.2599     6.7588     12.6418    GL
0.1944     7.0225     11.763     NA
0.0191     5.562      8.9506     RH
-0.2758    3.6002     7.1119     NS
-0.3413    3.0792     5.6888     PR
-1.0213    3.3695     5.8377     R_PR2
-0.5361    5.5456     8.7977     R_PMS
-2.9793    8.2688     8.0429     R_ZMI
-1.3048    7.4409     10.5042    R_ZMU
-0.103     7.2493     11.4485    R_DA
-1.1939    6.9891     12.2585    R_MTI
-1.3558    7.2138     12.8561    R_MTS
-2.4213    8.1625     11.6776    R_FMO
-2.767     8.6719     12.0918    R_FMT
-3.3085    13.3874    10.1164    R_PO
-3.6627    9.249      9.1267     R_ZTS
0.3953     3.2476     5.8219     L_PR2
0.5634     5.3574     8.698      L_PMS
3.3229     7.7051     7.7898     L_ZMI
1.6921     7.1914     10.2921    L_ZMU
0.6567     7.2259     11.4844    L_DA
2.0288     6.8234     12.2871    L_MTI
1.9383     7.099      12.867     L_MTS
2.9996     7.7684     11.5892    L_FMO
3.2861     8.3458     12.0661    L_FMT
4.3313     13.0644    10.0525    L_PO
4.2076     8.7762     8.9021     L_ZTS
0.1526     2.9066     5.8349     O1
-2.2363    8.4745     12.6711    O2
4.9545     10.8609    9.3724     O3
1.2255     16.2391    11.8824    O4







































































































































































0.2692     6.7758     12.5804    GLRH
0.3078     6.8999     12.2413
0.264      6.9384     11.9869
0.2743     6.9435     11.6298
0.2486     6.9395     11.4036
0.2729     6.9066     11.1685
0.2265     6.8712     10.9913
0.2246     6.8101     10.8336
0.2315     6.7522     10.7003
0.186      6.6909     10.5073
0.1909     6.6101     10.2929
0.139      6.5127     10.1192
0.1248     6.407      9.9132
0.1059     6.2939     9.7401
0.1141     6.1814     9.5899
0.1077     6.048      9.4738
0.0713     5.9199     9.3318
0.0416     5.7782     9.1991
0.0227     5.666      9.1331
0.0084     5.6282     9.0834
0.0248     5.5696     8.9973



















































































































































































0.0357     5.5692     9.0255     NOSE
-0.1571    5.568      9.0086
-0.3398    5.6251     8.9948
-0.531     5.5447     8.8227
-0.6817    5.3499     8.6034
-0.7762    5.1738     8.3962
-0.7937    4.9193     8.1507
-0.9066    4.6633     7.8763
-0.8682    4.4073     7.6715
-0.775     4.124      7.4667
-0.7009    3.9456     7.3689
-0.6223    3.827      7.3245
-0.5017    3.6869     7.321
-0.4251    3.6192     7.2806
-0.3004    3.6277     7.142
-0.1879    3.5862     7.1146
