MNHN       A-1440     Tg26stv
0.6175     17.0334    11.6152    IN
0.0293     13.0362    14.7901    BR
-0.6182    7.0295     13.4967    GL
-0.5607    7.1443     13.0748    NA
-0.697     4.8009     9.4342     RH
-0.7433    2.0942     7.5105     NS
-0.7337    1.2739     6.0628     PR
-1.2963    1.3225     5.7552     R_PR2
-0.9922    5.4386     9.6654     R_PMS
-3.7615    8.0775     8.0161     R_ZMI
-2.1102    7.4549     11.043     R_ZMU
-0.9161    7.4247     12.4358    R_DA
-2.3637    7.2793     13.2716    R_MTI
-2.2164    7.7132     13.8142    R_MTS
-3.2916    8.5098     12.5384    R_FMO
-3.5009    9.0544     13.1152    R_FMT
-3.6307    14.6248    9.9648     R_PO
-5.1327    9.6949     9.3031     R_ZTS
-0.1475    1.2213     5.817      L_PR2
-0.1022    5.1141     9.4483     L_PMS
3.2307     7.2946     8.2256     L_ZMI
1.161      7.1622     11.2379    L_ZMU
-0.119     7.3616     12.4109    L_DA
1.1188     6.8439     13.3342    L_MTI
1.1745     7.2553     13.8871    L_MTS
2.5159     7.8391     12.714     L_FMO
2.8743     8.3871     13.2896    L_FMT
4.1565     13.7768    10.3574    L_PO
4.8069     8.6294     9.8526     L_ZTS
0.2862     1.1242     5.7268     O1
-3.1325    9.0251     13.3264    O2
5.5277     10.9825    10.082     O3
-1.1535    16.6844    11.0128    O4







































































































































































-0.6106    7.0031     13.4777    GLRH
-0.6109    7.13       13.303
-0.578     7.1279     13.104
-0.5798    7.09       12.9117
-0.5614    7.0619     12.7044
-0.5515    7.0785     12.5323
-0.5555    7.0514     12.3256
-0.569     7.0399     12.1628
-0.5631    6.983      11.9458
-0.5584    6.9434     11.7846
-0.5672    6.8414     11.562
-0.5807    6.5229     10.9613
-0.5895    6.3972     10.7576
-0.588     6.2526     10.5889
-0.6116    6.1002     10.4558
-0.6142    5.9634     10.2887
-0.6193    5.8337     10.1672
-0.679     5.6472     10.0088
-0.665     5.5511     9.9446
-0.6717    5.4781     9.8769
-0.6732    5.3228     9.7708
-0.6746    5.1509     9.6744
-0.6566    4.9944     9.5708
-0.6843    4.9083     9.4937
-0.6813    4.8464     9.4345















































































































































































-0.6785    4.8303     9.4326     NOSE
-0.9352    4.7737     9.3551
-1.0888    4.6336     9.1801
-1.2281    4.4979     9.0057
-1.2905    4.2624     8.818
-1.3864    4.0927     8.6852
-1.4651    3.871      8.5419
-1.515     3.5811     8.3533
-1.584     3.2674     8.1758
-1.6243    3.0707     8.0128
-1.6448    2.7781     7.8413
-1.6059    2.5748     7.758
-1.3743    2.2525     7.7282
-1.2375    2.1546     7.7458
-1.113     2.069      7.7148
-1.0054    2.033      7.6909
-0.9417    2.0621     7.5743
-0.8827    2.0418     7.4495
-0.739     2.0266     7.502
-0.5928    2.0064     7.5973
-0.5413    2.0732     7.7173
-0.3227    2.1232     7.6989
-0.0414    2.2299     7.7435
0.1356     2.3872     7.7785
0.2075     2.5977     7.8776
0.2284     2.7711     7.96
0.2468     2.983      8.1194
0.2637     3.1967     8.2091
0.2602     3.4019     8.33
0.2182     3.6477     8.4548
0.2005     3.8465     8.5763
0.1711     4.022      8.664
0.0264     4.2668     8.7856
0.0544     4.429      8.9637
-0.0304    4.5036     9.0539
-0.1601    4.6316     9.1282
-0.1662    4.7122     9.2577
-0.2774    4.7912     9.3428
-0.4177    4.8306     9.3968
-0.4872    4.8344     9.4056
-0.6727    4.8369     9.429































































































































































-0.721     1.9481     7.4745     NASP-PR
-0.7646    1.8179     7.3485
-0.7705    1.6842     7.2178
-0.7653    1.5859     7.0748
-0.7735    1.5031     6.952
-0.7825    1.4137     6.777
-0.8027    1.3563     6.5988
-0.7952    1.3133     6.4783
-0.7915    1.2665     6.1923
-0.7464    1.2856     6.0621






























































































































































































-1.0357    5.3213     9.5601     R-PM/MAX
-1.1121    5.0996     9.363
-1.1725    4.912      9.2656
-1.2348    4.6988     9.1059
-1.3052    4.4669     8.9476
-1.3918    4.2612     8.769
-1.4253    4.0995     8.6473
-1.446     3.9061     8.5432
-1.5203    3.7688     8.462
-1.5232    3.6669     8.3906
-1.5496    3.4783     8.2991
-1.6146    3.288      8.1797
-1.6414    3.1807     8.1107
-1.7751    3.2273     8.0099
-1.8502    3.1767     7.8077
-1.9385    2.9667     7.5811
-2.0797    2.7915     7.3639
-2.1783    2.5615     7.116
-2.2715    2.4352     6.878
-2.2846    2.3047     6.7099
-2.2701    2.2383     6.5515
-2.2665    2.1299     6.3986
-2.1579    2.0475     6.2823
-2.1272    2.0634     6.0795
-2.0278    1.9721     5.9371
-1.8696    1.9714     5.7375














































































































































































-0.0388    4.9112     9.3135     L-PM/MAX
0.0249     4.6038     9.1124
0.0655     4.4246     8.9882
0.1303     4.1884     8.7944
0.22       3.7893     8.556
0.2529     3.4738     8.3844
0.2521     3.2004     8.2206
0.2102     2.9639     8.1057
0.3148     2.8803     8.0128
0.3971     2.7452     7.8371
0.4639     2.6244     7.6529
0.5725     2.4428     7.4805
0.6991     2.1486     7.2017
0.7405     2.023      6.9458
0.7545     1.9329     6.7768
0.7338     1.8848     6.6304
0.7302     1.8574     6.4935
0.7105     1.8339     6.3591
0.6954     1.8141     6.2118
0.6666     1.7943     6.0682
0.565      1.7465     5.8889



















































































































































































-2.4433    5.85       5.9149     ROSTRUM
-2.4778    5.8565     6.2508
-2.4391    5.8251     6.4167
-2.3238    5.8145     6.537
-2.1411    5.7967     6.6143
-1.9672    5.7583     6.6847
-1.8545    5.7636     6.7527
-1.7468    5.7468     6.865
-1.663     5.7149     7.0268
-1.6072    5.6936     7.2039
-1.5468    5.6603     7.4435
-1.552     5.6174     7.7074
-1.5354    5.6006     7.9901
-1.5114    5.5844     8.2417
-1.5116    5.5794     8.4938
-1.5285    5.5525     8.7092
-1.5294    5.5458     8.8785
-1.5333    5.4904     9.0413
-1.4615    5.4467     9.2362
-1.3441    5.4112     9.3539
-1.2241    5.3953     9.4385
-1.1283    5.3867     9.4889
-1.0265    5.362      9.5706
-0.9638    5.3556     9.659
-0.8548    5.3384     9.7213
-0.6936    5.3844     9.7937
-0.5067    5.3652     9.7708
-0.3582    5.3679     9.7252
-0.2735    5.3455     9.6797
-0.1241    5.3759     9.5946
0.0206     5.4327     9.5519
0.1965     5.4539     9.48
0.3433     5.4664     9.403
0.4512     5.483      9.3065
0.5419     5.4831     9.1739
0.5386     5.449      8.8447
0.5469     5.4711     8.6596
0.5579     5.4806     8.3761
0.576      5.534      8.1501
0.629      5.5769     7.9161
0.6877     5.6135     7.6636
0.7113     5.5868     7.4655
0.7786     5.6019     7.2778
0.8738     5.5912     7.1118
1.0196     5.5763     6.9455
1.1933     5.5623     6.8176
1.3441     5.5591     6.7869
1.4785     5.4927     6.7504
1.6133     5.4312     6.6775
1.7536     5.4194     6.6049
1.8226     5.3962     6.471
1.8569     5.432      6.3161
1.8709     5.4385     6.1584
1.8542     5.4747     6.0775
1.8418     5.4403     5.9288

















































































































































-3.5038    9.0363     13.1572    SUPORB
-3.4754    8.9504     13.3441
-3.3924    8.8103     13.4408
-3.3348    8.6142     13.5057
-3.247     8.2683     13.5794
-3.0895    8.1135     13.6549
-2.8709    7.9425     13.7283
-2.6607    7.7869     13.7724
-2.4582    7.7842     13.817
-2.2718    7.6565     13.8292
-2.0667    7.5821     13.8164
-1.8791    7.4608     13.8113
-1.6391    7.385      13.7747
-1.4095    7.2878     13.7302
-1.2284    7.2674     13.7198
-1.0632    7.2321     13.6764
-0.8785    7.1624     13.6397
-0.7539    7.1473     13.6333
-0.6132    7.1156     13.6334
-0.4358    7.1507     13.6569
-0.2667    7.1313     13.6856
-0.1283    7.132      13.7223
0.0779     7.0825     13.7406
0.28       7.0629     13.7838
0.4723     7.0968     13.8173
0.8384     7.1299     13.8378
1.1926     7.2806     13.8959
1.4626     7.2599     13.8776
1.7759     7.3495     13.8465
2.0441     7.392      13.7793
2.2374     7.5798     13.7536
2.4254     7.7885     13.7122
2.5741     8.0078     13.6437
2.6844     8.2323     13.5895
2.7429     8.2935     13.5103
2.8369     8.3562     13.3841
2.8976     8.3845     13.3035



































































































































































-2.1155    7.4687     11.0401    RORBIT
-2.3633    7.5745     10.9836
-2.6477    7.737      11.007
-2.84      7.956      11.1156
-2.9683    8.074      11.2261
-3.0464    8.19       11.3762
-3.1648    8.3032     11.5473
-3.2229    8.4224     11.7696
-3.2059    8.4625     11.9202
-3.2419    8.544      12.2332
-3.2732    8.5421     12.4188
-3.2948    8.5145     12.625
-3.3164    8.358      12.8821
-3.2654    8.1626     13.0378
-3.1836    7.9567     13.1504
-3.0673    7.6711     13.2941
-2.9497    7.5551     13.3366
-2.6841    7.4434     13.2785
-2.4259    7.3007     13.2743
-2.0871    7.1786     13.3058
-1.8015    7.2031     13.2731
-1.5075    7.2392     13.2699
-1.202     7.2438     13.1827
-1.0072    7.2998     12.9275
-0.9133    7.3276     12.7104
-0.9053    7.4116     12.4027














































































































































































1.1918     7.2008     11.2361    LORBIT
1.4507     7.1547     11.1396
1.7291     7.2193     11.1656
1.9804     7.3082     11.2634
2.1108     7.4137     11.3943
2.2021     7.5292     11.5503
2.2907     7.6063     11.6739
2.2923     7.7559     11.8541
2.4987     7.7494     12.0426
2.4539     7.8327     12.2602
2.4895     7.8458     12.454
2.5057     7.8587     12.6594
2.4882     7.7888     12.9026
2.4656     7.6952     13.0267
2.3124     7.5954     13.1164
2.225      7.3322     13.2711
2.0925     7.1606     13.4025
1.8034     7.063      13.3527
1.5199     6.9701     13.3313
1.1139     6.8167     13.3519
0.7401     6.8652     13.3181
0.3089     7.0239     13.3059
-0.0462    7.1183     13.1946
-0.2035    7.1665     13.0077
-0.1476    7.2311     12.7875
-0.1465    7.3258     12.4642
-0.1159    7.3304     12.3448
-0.061     7.3585     12.3009
































































