MNHN       1962.1468  Tg29stv
0.8509     18.1986    12.232     IN
0.583      14.5574    14.8741    BR
-0.1059    7.9123     14.0013    GL
-0.0715    8.0666     13.3137    NA
0.1442     6.1521     9.4216     RH
0.0389     3.5184     7.6133     NS
0.0929     2.456      5.9308     PR
-0.677     2.6783     5.8072     R_PR2
-0.5378    6.1965     9.2007     R_PMS
-3.1259    8.8548     8.2414     R_ZMI
-1.8833    8.5461     11.3065    R_ZMU
-0.4318    8.3293     12.7149    R_DA
-2.05      8.3836     13.2797    R_MTI
-2.0279    8.7715     14.1011    R_MTS
-2.8992    9.4848     12.3782    R_FMO
-3.4248    10.1947    13.0375    R_FMT
-3.3309    15.576     9.9006     R_PO
-4.5826    10.7046    9.6216     R_ZTS
0.8581     2.6131     5.8325     L_PR2
0.8537     6.1553     9.4026     L_PMS
4.1367     8.2345     8.5811     L_ZMI
1.9899     8.0557     11.5174    L_ZMU
0.5607     8.2539     12.7327    L_DA
1.94       7.8149     13.5336    L_MTI
1.9202     8.2591     14.322     L_MTS
3.3677     8.8561     12.8752    L_FMO
3.844      9.4742     13.3363    L_FMT
5.0739     14.9897    10.2539    L_PO
5.5639     9.8025     10.1417    L_ZTS
-0.3257    2.2493     5.5286     O1
3.2306     9.6095     13.8835    O2
-4.7658    13.1707    9.618      O3
2.7582     17.7697    11.616     O4







































































































































































-0.1032    7.9349     14.0287    GLRH
-0.0955    8.007      13.7922
-0.0621    7.9909     13.5953
-0.0439    8.0358     13.3861
-0.0268    8.0148     13.1877
-0.0098    7.9892     13.0322
-0.0153    8.0167     12.7269
0.0495     8.0065     12.46
0.0631     7.9637     12.1981
0.067      7.914      11.9982
0.1211     7.8291     11.7658
0.1148     7.7598     11.612
0.1599     7.6596     11.3724
0.1444     7.5713     11.1922
0.2042     7.456      10.9883
0.1696     7.3482     10.8133
0.1621     7.2751     10.6982
0.155      7.196      10.5942
0.1615     7.0697     10.4402
0.1301     6.9741     10.2965
0.1432     6.8562     10.1813
0.1607     6.7276     10.0718
0.1658     6.5967     9.9173
0.1797     6.4948     9.8122
0.1461     6.4098     9.7091
0.1263     6.3308     9.6126
0.1538     6.2712     9.5353
0.1529     6.1673     9.4326












































































































































































0.1348     6.1908     9.4605     NOSE
-0.0413    6.1955     9.4336
-0.2537    6.0726     9.3083
-0.4404    6.0221     9.1258
-0.5604    5.8466     8.9706
-0.7222    5.5679     8.7381
-0.7945    5.4144     8.6195
-0.8476    5.203      8.4728
-0.8891    4.9541     8.3495
-0.9283    4.7082     8.1749
-0.9415    4.4801     8.0273
-0.927     4.2337     7.8827
-0.787     3.8812     7.7553
-0.7101    3.7209     7.7436
-0.5355    3.6053     7.7716
-0.3279    3.5668     7.8219
-0.1384    3.5188     7.8686
-0.0807    3.5207     7.7342
-0.0279    3.4615     7.6251
0.1298     3.4127     7.6106
0.1799     3.4218     7.7004
0.1675     3.4665     7.7998
0.3387     3.4395     7.816
0.568      3.4663     7.8068
0.7594     3.5441     7.7841
1.0033     3.6861     7.8369
1.0882     3.9744     7.9099
1.1384     4.1797     8.0139
1.1918     4.3543     8.1567
1.1449     4.5567     8.3041
1.1171     4.704      8.4091
1.0594     4.9811     8.5099
1.0696     5.1754     8.6603
0.9989     5.4045     8.7909
0.9238     5.6867     9.0463
0.8586     5.815      9.1164
0.7402     5.9064     9.2349
0.6971     6.0062     9.297
0.5563     6.0726     9.3944
0.3981     6.1004     9.4503
0.1767     6.1585     9.3927































































































































































0.0199     3.419      7.6007     NASP-PR
0.0516     3.2029     7.5083
0.0438     2.9796     7.3356
0.007      2.8239     7.1079
0.0081     2.7454     6.9469
0.0169     2.6569     6.7214
0.0267     2.5786     6.5113
0.0479     2.5312     6.3683
0.0462     2.4604     6.2
0.0777     2.4676     6.0914
0.097      2.46       5.9415





























































































































































































-0.5441    6.1412     9.186      R-PM/MAX
-0.6003    5.9736     9.0607
-0.6197    5.7911     8.9364
-0.7573    5.5705     8.7362
-0.8497    5.4196     8.6232
-0.8946    5.2419     8.4932
-0.9525    4.983      8.3499
-1.0747    4.8542     8.2135
-1.1758    4.8577     8.0859
-1.2717    4.8426     7.9173
-1.2933    4.7604     7.81
-1.3378    4.6158     7.6047
-1.3864    4.4908     7.4693
-1.4551    4.3715     7.292
-1.5564    4.1905     7.0899
-1.602     4.0472     6.9051
-1.6094    3.8454     6.6753
-1.5486    3.7337     6.4723
-1.4969    3.6816     6.3618
-1.4155    3.6165     6.2471
-1.3744    3.5941     6.0362
-1.2804    3.5119     5.9586


















































































































































































0.858      6.1308     9.3912     L-PM/MAX
0.8748     5.829      9.1772
1.0051     5.6001     8.987
1.0998     5.382      8.8016
1.1057     5.1592     8.6417
1.1493     4.898      8.5123
1.1998     4.6724     8.3924
1.2734     4.5754     8.304
1.4141     4.531      8.1697
1.5459     4.5612     8.0759
1.5908     4.373      7.8545
1.6012     4.245      7.6982
1.6983     4.1        7.4525
1.7669     3.9824     7.2955
1.7961     3.7248     6.9933
1.7974     3.5506     6.7794
1.7513     3.4641     6.5754
1.6997     3.4267     6.4451
1.5691     3.3603     6.3083
1.535      3.3732     6.16
1.3979     3.3799     6.0581



















































































































































































-1.93      7.5157     5.9994     ROSTRUM
-1.9319    7.4551     6.3535
-1.8647    7.474      6.588
-1.6341    7.4592     6.8845
-1.5062    7.4396     7.056
-1.351     7.3718     7.2861
-1.3211    7.4903     7.5739
-1.2855    7.4826     7.8256
-1.2252    7.4678     8.162
-1.1637    7.4023     8.5073
-1.1438    7.4428     8.7197
-1.2041    7.4181     8.9849
-1.2557    7.3825     9.2685
-1.2629    7.4012     9.545
-1.135     7.3457     9.7628
-0.889     7.2986     9.9616
-0.7489    7.2879     10.0622
-0.6204    7.2839     10.1651
-0.5164    7.2606     10.2697
-0.4259    7.2632     10.33
-0.2564    7.2457     10.4272
-0.1386    7.3309     10.6215
0.092      7.3132     10.7009
0.236      7.2915     10.7022
0.5312     7.2666     10.5648
0.6524     7.2775     10.5199
0.813      7.2626     10.5185
1.0339     7.2185     10.376
1.1708     7.2181     10.2787
1.3874     7.1876     10.1361
1.6186     7.1593     9.9727
1.7523     7.1666     9.8129
1.8129     7.1849     9.6071
1.8146     7.1809     9.4688
1.8005     7.2845     9.1899
1.8019     7.3319     8.9021
1.8641     7.2988     8.5633
1.9757     7.3997     8.2238
1.995      7.3913     8.0242
1.9902     7.399      7.7817
2.0693     7.4221     7.5364
2.1553     7.4125     7.4045
2.2957     7.3795     7.2292
2.4559     7.339      7.1212
2.6275     7.3273     6.9683
2.7869     7.3467     6.7262
2.7946     7.3506     6.5789
2.8098     7.3158     6.3983
2.8372     7.3347     6.2493
2.8439     7.3008     6.1174






















































































































































-3.408     10.1123    13.0991    SUPORB
-3.3479    10.101     13.3289
-3.2445    9.9045     13.5366
-3.0669    9.7605     13.7039
-2.9512    9.5611     13.7581
-2.7143    9.3683     13.8648
