FSM        1012       Tg37stv
0.0171     17.5664    11.5138    IN
0.1044     13.5911    14.7355    BR
0.3055     8.1205     12.935     GL
0.2814     8.2806     12.4756    NA
0.3397     7.0964     9.4801     RH
0.2626     5.3047     7.8062     NS
0.3865     4.573      6.5145     PR
-0.1821    4.6965     6.4124     R_PR2
-0.2793    7.0793     9.2812     R_PMS
-2.8815    9.3728     8.4234     R_ZMI
-1.2724    8.6892     10.774     R_ZMU
0.0141     8.5556     11.6808    R_DA
-1.0694    8.2        12.6124    R_MTI
-0.8332    8.3582     13.2089    R_MTS
-2.2296    9.1373     11.9977    R_FMO
-2.5601    9.6506     12.624     R_FMT
-3.4021    14.8616    10.3709    R_PO
-4.1645    10.7468    9.5351     R_ZTS
0.9005     4.7514     6.432      L_PR2
0.9398     7.2322     9.3283     L_PMS
3.2558     9.6021     8.4018     L_ZMI
1.8002     8.7408     10.8164    L_ZMU
0.6371     8.5508     11.5905    L_DA
1.9299     8.2703     12.6661    L_MTI
1.7079     8.5438     13.2205    L_MTS
2.8342     9.3441     12.1475    L_FMO
3.0806     9.8298     12.6507    L_FMT
3.4794     14.8026    10.3466    L_PO
4.5838     10.9635    9.5305     L_ZTS
0.0612     4.2971     6.5163     O1
2.6209     9.8922     12.948     O2
-4.5817    12.0534    9.88       O3
1.6755     17.173     11.2708    O4







































































































































































0.2975     8.1455     12.9539    GLRH
0.2873     8.2165     12.7267
0.2861     8.2764     12.551
0.3045     8.2711     12.3351
0.292      8.2654     12.1996
0.2896     8.2734     12.0282
0.294      8.3195     11.8268
0.2963     8.3246     11.6628
0.32       8.301      11.3932
0.2966     8.2361     11.1378
0.306      8.1666     10.9239
0.3048     8.0729     10.6887
0.3059     7.9569     10.4938
0.3516     7.8092     10.2414
0.3471     7.6725     10.0983
0.3243     7.5288     9.9508
0.3509     7.3761     9.7738
0.3329     7.2404     9.6384
0.346      7.1565     9.5528
0.3539     7.0604     9.4405




















































































































































































0.3595     7.0981     9.4823     NOSE
0.1915     7.0942     9.4641
0.012      7.1424     9.4436
-0.2017    7.0452     9.244
-0.3098    6.9491     9.0734
-0.4384    6.7978     8.9025
-0.4851    6.6754     8.7531
-0.4806    6.4832     8.6213
-0.4972    6.2439     8.4611
-0.4724    6.022      8.2573
-0.422     5.7562     8.1
-0.2932    5.5638     8.0089
