FSM        16665      Tg41stv
0.4278     17.4625    12.7898    IN
0.5392     13.43      15.29      BR
0.4423     7.8972     13.7544    GL
0.4532     8.0214     13.1937    NA
0.4283     6.6878     9.7968     RH
0.4264     4.2753     8.2485     NS
0.4895     3.474      7.0175     PR
-0.1693    3.6247     7.0081     R_PR2
-0.0427    6.8658     9.8669     R_PMS
-2.9241    8.9243     8.8532     R_ZMI
-1.2219    8.4323     11.4655    R_ZMU
0.1016     8.2873     12.6585    R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
-2.2722    8.9534     12.8715    R_FMO
-2.434     9.5357     13.5575    R_FMT
-3.4223    15.1796    11.0666    R_PO
-4.2113    10.5042    10.1814    R_ZTS
1.1572     3.575      7.1684     L_PR2
0.9755     6.7613     9.7676     L_PMS
3.9382     8.9245     8.9785     L_ZMI
2.0483     8.5064     11.5167    L_ZMU
0.8147     8.3069     12.6335    L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
3.0994     8.9659     12.8941    L_FMO
3.3695     9.5425     13.4039    L_FMT
4.0507     14.9688    10.6787    L_PO
5.0766     10.4035    10.1155    L_ZTS
1.5053     3.4785     7.0185     O1
-2.1886    9.6789     13.5114    O2
5.443      12.7332    10.2284    O3
-1.019     17.3813    12.4032    O4







































































































































































0.4406     7.9035     13.7815    GLRH
0.426      7.9933     13.5322
0.3804     7.9979     13.3485
0.4178     8.031      13.1935
0.456      7.9913     13.0161
0.417      8.0264     12.7565
0.419      8.0519     12.4891
0.4486     8.072      12.1912
0.4719     8.0643     11.9809
0.4557     8.0647     11.7966
0.4957     8.0207     11.5888
0.4745     7.9569     11.3333
0.4705     7.8404     11.0498
0.4901     7.729      10.8766
0.4079     7.5853     10.679
0.4363     7.418      10.4861
0.4584     7.2833     10.3469
0.4293     7.1254     10.2231
0.4075     6.9461     10.0448
0.4535     6.7819     9.9087
0.4445     6.6995     9.82










































































