UCB LHES   114        Tg6stv
12.82971   13.56628   14.13256   IN
10.44539   10.88404   16.19206   BR
6.24056    5.88068    14.16534   GL
6.39739    6.10225    13.61567   NA
5.56341    5.39574    9.6765     RH
3.98045    3.73832    7.61765    NS
3.50453    3.41278    5.8119     PR
3.1629     4.03532    5.77001    R_PR2
5.58194    5.96762    10.04414   R_PMS
4.89095    9.75881    9.04481    R_ZMI
5.58469    7.7793     11.65086   R_ZMU
6.3835     6.52817    13.0202    R_DA
5.22552    7.12453    13.67956   R_MTI
5.3734     7.15582    14.46198   R_MTS
4.88873    8.80149    13.43315   R_FMO
5.01709    9.43485    13.72686   R_FMT
8.00534    14.15272   11.72086   R_PO
4.60477    10.96689   10.67973   R_ZTS
4.14757    3.03155    5.83271    L_PR2
9999       9999       9999       L_PMS
10.04894   5.23442    8.86365    L_ZMI
8.19884    5.52143    11.51018   L_ZMU
6.95729    6.12646    12.94777   L_DA
7.69031    4.95028    13.60223   L_MTI
7.8774     5.13514    14.39613   L_MTS
9.43259    5.05136    13.30485   L_FMO
10.08397   5.31838    13.62087   L_FMT
14.04573   9.15653    11.57504   L_PO
11.69253   5.32552    10.36707   L_ZTS
3.17096    3.91268    6.89811    O1
9.54497    5.61049    14.08525   O2
5.93832    13.70294   11.11104   O3
13.55061   12.68107   13.75      O4







































































































































































6.31941    5.84472    14.20912   GLRH
6.34091    5.96791    13.98015
6.42299    6.01488    13.82124
6.41977    6.08275    13.66209
6.44152    6.10184    13.52691
6.45842    6.10924    13.2998
6.49949    6.13784    13.14681
6.53344    6.21534    12.96506
6.57437    6.21534    12.82967
6.5981     6.21077    12.64657
6.60122    6.21915    12.47998
6.58445    6.24048    12.24659
6.58551    6.2211     12.07117
6.56561    6.18812    11.87862
6.53429    6.16568    11.71877
6.49523    6.12773    11.55708
6.46586    6.11456    11.40737
6.43393    6.06547    11.28646
6.37784    6.03503    11.15455
6.32184    5.99798    11.02726
6.25099    5.9927     10.90333
6.21078    5.93518    10.78733
6.16038    5.88958    10.66626
6.08107    5.77365    10.51642
6.00415    5.69923    10.40244
5.87916    5.62862    10.23646
5.83917    5.56027    10.12142
5.77765    5.50266    10.03588
5.70976    5.43233    9.91611
5.66735    5.39748    9.83076
5.60359    5.35046    9.7194









































































































































































5.59591    5.42017    9.69936    NOSE
5.43066    5.47378    9.7022
5.31762    5.54987    9.63476
5.22695    5.58135    9.58492
5.12595    5.59485    9.49512
5.04543    5.59237    9.39766
4.91452    5.55956    9.25996
4.80975    5.5506     9.16157
4.70714    5.51585    9.08384
4.63687    5.42061    8.93484
4.53352    5.35915    8.81869
4.4068     5.29291    8.71164
4.31771    5.21019    8.63672
4.22116    5.11102    8.53343
4.1416     5.035      8.45312
4.03809    4.95195    8.3394
3.91592    4.88926    8.24356
3.8823     4.77511    8.13757
3.7855     4.63662    8.04561
3.80566    4.46927    7.99592
3.73327    4.32905    7.94877
3.72508    4.17322    7.92518
3.74026    4.01995    7.92972
3.77748    3.89944    7.93475
3.8397     3.719      7.83843
3.92178    3.76668    7.63602
3.98248    3.70964    7.60388
4.08864    3.5939     7.68549
4.07746    3.55821    7.87958
4.19895    3.55327    7.90314
4.40474    3.5136     7.89373
4.53485    3.56924    7.8965
4.71247    3.60051    7.92056
4.85701    3.61021    7.96256
4.97481    3.64052    8.01443
5.11551    3.71938    8.12187
5.20367    3.80824    8.20647
5.2907     3.87827    8.28158
5.39157    3.97187    8.41897
5.50334    4.09094    8.51972
5.61271    4.28541    8.67212
5.69992    4.41078    8.79718
5.74284    4.50179    8.9293
5.77627    4.61315    9.02416
5.81848    4.65608    9.1159
5.8728     4.71911    9.20757
5.8877     4.76312    9.27667
5.88039    4.86464    9.36431
5.86993    4.933      9.4482
5.82913    5.00429    9.57005
5.76313    5.11303    9.63901
5.73027    5.20075    9.68745
5.64251    5.30465    9.71856



















































































































































3.99422    3.68646    7.60828    NASP-PR
3.87299    3.59288    7.5398
3.75356    3.48687    7.33877
3.67626    3.40854    7.21102
3.6432     3.36353    7.08595
3.60902    3.32931    6.9515
3.59535    3.29705    6.82524
3.53214    3.32259    6.64216
3.55419    3.2683     6.46792
3.50726    3.25788    6.32431
3.52163    3.28133    6.1615
3.50477    3.26683    5.94908




























































































































































































5.52366    5.89963    9.9483     R-PM/MAX
5.40152    5.84694    9.79532
5.31686    5.78933    9.736
5.21253    5.73321    9.61671
5.0962     5.67095    9.50221
4.99575    5.61733    9.37737
4.90404    5.60695    9.27664
4.77437    5.53134    9.13177
4.64513    5.45764    8.98783
4.5435     5.39561    8.84291
4.47191    5.32477    8.79757
4.39793    5.29307    8.69521
4.26416    5.19517    8.58952
4.10903    5.10011    8.4256
4.01322    5.01758    8.33572
3.93644    5.04278    8.23481
3.86796    5.12519    8.20991
3.7612     5.1905     8.07761
3.65919    5.23403    7.93361
3.55192    5.21942    7.81829
3.4624     5.21691    7.69466
3.34858    5.17865    7.56008
3.22827    5.14839    7.35304
3.1749     5.10033    7.2492
3.08151    5.0836     7.10268
3.00623    5.04628    6.9623
2.97979    4.99716    6.84318
2.99939    4.95992    6.73088
3.014      4.91947    6.61857
3.06477    4.79363    6.39319
3.19827    4.74884    6.25454









































































































































































6.18435    5.17395    9.73792    L-PM/MAX
6.14215    5.09279    9.65597
6.05175    5.02497    9.60482
5.98771    4.96249    9.50522
5.93597    4.86208    9.38879
5.91374    4.76581    9.27384
5.85139    4.66746    9.14659
5.82102    4.58847    9.05733
5.75238    4.51166    8.91145
5.65069    4.33316    8.72816
5.60208    4.23049    8.60987
5.5105     4.06557    8.51197
5.42516    3.93242    8.37673
5.42354    3.81877    8.27178
5.63029    3.80832    8.22506
5.66115    3.72311    8.07743
5.58914    3.63142    7.96337
5.59898    3.53737    7.86037
5.56228    3.50537    7.77817
5.5525     3.41306    7.65149
5.54404    3.34063    7.53645
5.53549    3.25595    7.39644
5.53909    3.19872    7.25808
5.52007    3.11474    7.11018
5.51952    3.01068    6.89945
5.48401    2.94616    6.65794
5.37427    2.93827    6.53254
5.23267    2.99036    6.38602
5.1281     3.14268    6.1273











































































































































































4.89691    8.2749     6.80223    ROSTRUM
4.85777    8.24843    6.98914
4.84673    8.176      7.1533
4.87707    8.05533    7.41111
4.87465    7.98793    7.50801
4.97097    7.85632    7.65959
5.08702    7.75347    7.83587
5.14148    7.58492    7.94901
5.20696    7.42717    8.11818
5.2441     7.33503    8.29261
5.26865    7.2581     8.49328
5.28332    7.19994    8.59442
5.28069    7.08137    8.77084
5.24906    6.97777    8.97141
5.24299    6.90586    9.1105
5.23566    6.84076    9.33471
5.21436    6.74091    9.58645
5.25689    6.60228    9.74643
5.36911    6.44833    9.94199
5.51508    6.35642    10.04055
5.58874    6.24101    10.08444
5.67081    6.04551    10.17918
5.76466    5.98911    10.2912
5.86442    5.82462    10.34835
5.90476    5.74139    10.35124
5.98531    5.65038    10.34192
6.196      5.53565    10.28288
6.37247    5.50479    10.16447
6.58668    5.40651    10.02732
6.74294    5.33056    9.92094
6.87238    5.30532    9.81902
7.01891    5.25449    9.68778
7.10211    5.28205    9.47835
7.21268    5.33514    9.21139
7.28164    5.37548    8.96667
7.34182    5.38355    8.78415
7.41644    5.41494    8.5761
7.49657    5.42205    8.4184
7.53365    5.4331     8.27622
7.66137    5.46817    8.08057
7.78891    5.44518    7.90792
7.87311    5.44009    7.77553
7.95602    5.3487     7.65317
8.05596    5.33035    7.54396
8.10694    5.23557    7.42848
8.20415    5.20337    7.30529
8.25488    5.17966    7.11462
8.33614    5.22188    6.95587
8.39743    5.26166    6.78307
8.43238    5.31624    6.64562






















































































































































5.02491    9.32006    13.76019   SUPORB
5.00034    9.23552    14.05
5.0732     8.98922    14.27257
5.11185    8.74762    14.38303
5.12624    8.5318     14.41417
5.11052    8.37033    14.37862
5.13941    8.16942    14.43531
5.20153    7.8608     14.46832
5.27165    7.64128    14.48429
5.32742    7.4254     14.49247
5.45597    7.28444    14.50155
5.62969    7.1135     14.50763
5.75267    6.94117    14.49584
5.84356    6.77787    14.48755
5.9056     6.66627    14.47464
5.95535    6.46295    14.40982
6.1763     6.32933    14.3668
6.31223    6.12313    14.35176
6.50268    5.97531    14.3289
6.69125    5.86551    14.35873
6.83325    5.70597    14.36484
6.99633    5.59073    14.3764
7.15996    5.53686    14.39918
7.32132    5.4839     14.40984
7.46751    5.282      14.41404
7.64147    5.23152    14.41461
7.80359    5.14184    14.39132
7.96355    5.14252    14.41382
8.08244    5.0953     14.41064
8.25267    5.09572    14.40132
8.44508    5.07419    14.39416
8.60504    5.06735    14.37698
8.73364    5.09128    14.35765
8.95656    5.07469    14.3501
9.11687    5.13937    14.35759
9.28388    5.07483    14.22026
9.53597    5.10109    14.11735
9.66492    5.08387    14.01676
9.83451    5.15451    13.93169
9.93674    5.25249    13.67993
10.08364   5.33691    13.55878































































































































































5.50634    7.89588    11.63151   RORBIT
5.36112    8.09349    11.63775
5.23477    8.2837     11.74724
5.16114    8.44478    11.84237
5.07882    8.68351    12.11137
5.05632    8.77342    12.23887
5.01501    8.88444    12.42796
5.05102    8.8926     12.66263
5.04098    8.90312    12.8182
5.01227    8.909      12.96081
4.98625    8.88203    13.20711
4.92422    8.82904    13.40957
4.9179     8.74014    13.52664
4.89789    8.59302    13.59481
4.82058    8.42171    13.66326
4.74227    8.21504    13.71884
4.73082    8.07152    13.74289
4.74913    7.93583    13.75445
4.7966     7.79226    13.74729
4.78289    7.67066    13.77875
4.79662    7.52499    13.78878
4.86073    7.42193    13.74688
4.97299    7.34491    13.71317
5.05018    7.2309     13.68734
5.15548    7.12868    13.68306
5.33195    6.96561    13.68976
5.51913    6.83015    13.73097
