AMNH       238034     Tg7stv
10.5213    12.9342    9.1714     IN
8.3716     10.1047    11.5262    BR
4.0053     4.9016     9.9028     GL
4.2703     5.2466     9.2206     NA
3.5613     4.4687     5.6275     RH
2.2684     2.7077     3.4151     NS
2.2714     2.299      2.2522     PR
1.7749     2.6028     2.0396     R_PR2
3.1445     4.8427     5.4449     R_PMS
2.3592     8.8311     5.3369     R_ZMI
3.3        7.1158     7.5282     R_ZMU
4.1721     5.7554     8.7129     R_DA
2.8479     6.3943     9.2475     R_MTI
3.1937     6.3751     10.4205    R_MTS
2.8204     8.1849     8.8192     R_FMO
2.997      8.9737     9.0512     R_FMT
5.9095     13.0276    7.0776     R_PO
2.5682     9.9032     6.5158     R_ZTS
2.824      2.1603     2.3119     L_PR2
4.1212     4.2081     5.4707     L_PMS
7.9791     4.3631     5.3165     L_ZMI
6.2172     4.7213     7.5417     L_ZMU
4.8266     5.3459     8.6376     L_DA
5.754      4.0242     9.2914     L_MTI
5.7226     4.3426     10.3805    L_MTS
7.5123     4.4949     8.8165     L_FMO
8.1114     4.9445     9.1929     L_FMT
11.4507    8.413      7.0682     L_PO
9.1267     4.6294     6.5358     L_ZTS
1.8677     2.2212     1.9591     O1
3.3316     8.4348     9.8619     O2
11.3058    6.2299     6.7745     O3
11.3084    12.2039    9.0144     O4







































































































































































3.9346     4.909      9.8093     GLRH
4.0463     5.1011     9.5949
4.1824     5.1732     9.465
4.2344     5.2474     9.2824
4.2338     5.2696     9.0187
4.2466     5.3352     8.8839
4.2923     5.4022     8.7607
4.3108     5.4798     8.6773
4.3964     5.4555     8.5166
4.4268     5.5015     8.3561
4.4825     5.4746     8.209
4.4732     5.4894     8.1011
4.4775     5.4774     7.9287
4.4745     5.4563     7.8043
4.4403     5.4343     7.6297
4.3914     5.4006     7.4385
4.3502     5.3376     7.262
4.3272     5.2748     7.0911
4.261      5.2442     6.9297
4.2035     5.1661     6.781
4.177      5.1025     6.6895
4.1051     5.05       6.5501
4.0632     4.9593     6.4438
3.9805     4.9172     6.3433
3.9431     4.8528     6.2472
3.8457     4.7893     6.1137
3.7917     4.6736     6.0068
3.7059     4.5707     5.8634
3.6354     4.4965     5.7546
3.536      4.4391     5.6251










































































































































































3.5813     4.3663     5.5844     NOSE
3.4399     4.4562     5.5825
3.3136     4.5287     5.5642
3.2325     4.5999     5.4663
3.0815     4.6197     5.3421
3.0099     4.5764     5.1952
2.9103     4.5659     5.0871
2.8215     4.5166     4.9301
2.7405     4.4708     4.8403
2.6952     4.4252     4.7612
2.6284     4.3573     4.6874
2.5286     4.2883     4.5968
2.4507     4.2296     4.4857
2.3877     4.1396     4.4034
2.3242     4.0933     4.3084
2.2536     4.0101     4.1923
2.1606     3.8977     4.0549
2.0809     3.8019     3.9398
2.0546     3.6984     3.8604
1.9915     3.5837     3.7722
1.9934     3.4394     3.7271
2.0044     3.3248     3.6852
2.0205     3.1841     3.6679
2.077      3.077      3.6635
2.1088     2.9428     3.6834
2.1573     2.8256     3.6797
2.2465     2.8043     3.657
2.2315     2.764      3.5346
2.2706     2.7496     3.4571
2.303      2.7009     3.4256
2.3715     2.6158     3.4527
2.4067     2.5902     3.5498
2.474      2.5974     3.6227
2.5953     2.573      3.6005
2.7408     2.5746     3.6111
2.8582     2.5756     3.6245
2.9875     2.6255     3.6515
3.0936     2.6362     3.6847
3.2062     2.7218     3.7548
