AMNH       238034     Tg7stv
13.6473    13.13      13.0415    IN
10.9619    10.3849    15.2508    BR
6.209      5.7833     13.3154    GL
6.5329     6.1087     12.6742    NA
5.8697     5.4522     8.9351     RH
4.4759     4.011      6.7082     NS
4.4037     3.6079     5.5573     PR
3.975      4.0353     5.3793     R_PR2
5.4703     6.0002     8.8213     R_PMS
5.2027     10.0818    8.8772     R_ZMI
5.7673     8.1618     10.9798    R_ZMU
6.5254     6.8492     12.1769    R_DA
5.3529     7.4035     12.7094    R_MTI
5.4815     7.6248     13.9173    R_MTS
5.4045     9.2875     12.3888    R_FMO
5.823      10.0103    12.7377    R_FMT
9.0595     13.6942    10.8069    R_PO
5.4587     11.1291    10.1206    R_ZTS
4.9801     3.4135     5.5711     L_PR2
6.3327     5.1103     8.7474     L_PMS
10.2538    4.9432     8.7452     L_ZMI
8.5591     5.3328     10.9919    L_ZMU
7.1269     6.1357     12.0955    L_DA
7.7079     4.7843     12.6759    L_MTI
7.8377     4.9701     13.7797    L_MTS
9.6796     4.9593     12.3063    L_FMO
10.2632    5.3867     12.6509    L_FMT
14.0262    8.5183     10.7965    L_PO
11.3408    5.0817     10.0884    L_ZTS
3.9843     5.0707     6.6771     O1
9.5895     5.6907     13.398     O2
6.8003     13.3886    10.2833    O3
14.1653    11.9324    12.5529    O4







































































































































































6.226      5.7734     13.3071    GLRH
6.2721     5.8044     13.1095
6.3815     5.947      12.97
6.4975     6.0027     12.8753
6.5688     6.0967     12.6619
6.5754     6.0902     12.4248
6.6458     6.1896     12.2186
6.7501     6.2352     12.0408
6.7982     6.3111     11.8297
6.8368     6.3238     11.7162
6.8926     6.3075     11.4964
6.8358     6.3604     11.4001
6.8334     6.3288     11.2471
6.8191     6.3145     11.0979
6.8007     6.2886     10.926
6.7508     6.2665     10.7568
6.7251     6.2461     10.637
6.6833     6.2137     10.4683
6.596      6.1369     10.2659
6.5229     6.0766     10.1136
6.4495     6.0413     9.9747
6.3867     5.9978     9.8896
6.3199     5.945      9.7722
6.261      5.8449     9.624
6.1839     5.804      9.5026
6.1158     5.7209     9.3795
6.0561     5.6368     9.2724
5.9753     5.5923     9.1749
5.9231     5.5314     9.0888
5.8767     5.4778     8.9777










































































































































































5.859      5.4771     8.9837     NOSE
5.7113     5.6171     8.9848
5.5673     5.6755     8.9109
5.4955     5.7796     8.8513
5.3949     5.7784     8.7022
5.2601     5.8049     8.5499
5.1757     5.7547     8.4126
5.0968     5.6994     8.2452
5.018      5.654      8.1321
4.9079     5.5701     7.9867
4.7646     5.5266     7.878
4.6829     5.4293     7.7542
4.619      5.3606     7.64
4.5466     5.293      7.5184
4.5215     5.2076     7.4238
4.4321     5.0778     7.2703
4.3877     4.987      7.1843
4.3161     4.9071     7.0963
4.2866     4.749      7.0372
4.2698     4.6122     6.9794
4.2579     4.5275     6.9792
4.2921     4.3795     6.9802
4.294      4.2475     6.982
4.3441     4.0822     6.9207
4.367      4.0671     6.758
4.4585     3.9972     6.7026
