NME        AL412-1    Tod11stv
6.6202     19.4907    8.6159     IN
5.5429     16.8671    11.7397    BR
2.3489     10.9515    11.6296    GL
2.3485     10.9567    11.6329    NA
0.4139     7.6336     8.9131     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
0.0406     8.135      8.7237     R_PMS
-0.6176    12.6101    5.7639     R_ZMI
0.7912     11.9686    9.0395     R_ZMU
2.0066     11.0776    10.8823    R_DA
1.1884     12.0832    11.5462    R_MTI
1.6696     12.5844    12.5487    R_MTS
0.5003     13.4469    10.893     R_FMO
9999       9999       9999       R_FMT
2.3415     18.7493    8.0076     R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
0.8569     7.5264     8.9076     L_PMS
5.182      8.3234     6.6276     L_ZMI
3.9435     9.7738     9.5738     L_ZMU
2.4745     10.6632    10.8337    L_DA
3.837      10.4864    12.0083    L_MTI
3.9997     11.1853    12.6636    L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
8.8198     14.845     7.6888     L_PO
9999       9999       9999       L_ZTS
-0.6065    4.1559     4.8846     O1
5.3476     10.9539    11.9634    O2
-0.8553    14.0625    6.3546     O3
7.8029     18.3334    8.2776     O4







































































































































































2.2748     10.8923    11.421     GLRH
2.2171     10.8648    11.2351
2.1936     10.8299    11.0864
2.1502     10.7729    10.8985
2.1087     10.6816    10.7406
2.0842     10.5301    10.5539
2.0265     10.422     10.4728
1.977      10.3127    10.3103
1.9059     10.1853    10.171
1.8342     10.0577    10.0581
1.745      9.8805     9.9119
1.6344     9.6663     9.787
1.5463     9.4777     9.6955
1.4486     9.3186     9.6299
1.3546     9.2271     9.5634
1.2645     9.1163     9.4665
1.0928     8.9124     9.3797
0.9935     8.7168     9.2582
0.898      8.5588     9.1958
0.7826     8.3042     9.0799
0.7089     8.171      9.0314
0.6531     8.0317     9.0229
0.581      7.8777     8.9445
0.3569     7.6415     8.8818
















































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































-1.2859    9.3947     4.9857     ROSTRUM
-1.251     9.4467     5.2576
-1.2189    9.4704     5.5892
-1.1851    9.4694     5.859
-1.134     9.4898     6.1172
-1.053     9.4766     6.4467
-0.9635    9.4796     6.7002
-0.8687    9.4327     6.8813
-0.7705    9.4844     7.1405
-0.6915    9.3961     7.3763
-0.6112    9.4606     7.5017
-0.5459    9.3939     7.6965
-0.4729    9.3679     7.8556
-0.3495    9.2849     8.0609
-0.2557    9.2724     8.1728
-0.1446    9.2296     8.309
-0.0464    9.164      8.4436
0.1257     9.1856     8.5867
0.2543     9.068      8.7323
0.3344     8.9756     8.8237
0.3904     8.988      8.8918
0.503      8.9413     8.951
0.616      8.8641     9.0573
0.9011     8.9136     9.2964
1.0176     8.8526     9.3893
1.3355     8.6259     9.249
1.4916     8.4555     9.0825
1.6315     8.385      8.9867
1.8034     8.3142     8.9138
1.9734     8.1338     8.8375
2.2003     7.999      8.7012
2.3383     7.8329     8.5805
2.5057     7.7349     8.4686
2.6787     7.5841     8.2822
2.7586     7.4881     8.1724
2.9248     7.4086     8.0281
3.0305     7.3057     7.8071
3.1376     7.2168     7.6151
3.2377     7.1273     7.4408
3.3232     7.0628     7.244
3.4206     7.0456     7.0798
3.4929     6.9849     6.8247
3.5014     6.9196     6.6762
3.5688     6.8768     6.4466
3.6037     6.8392     6.2095
3.6159     6.775      5.9221
3.6107     6.7238     5.7786
3.548      6.6844     5.5841
























































































































































9999       9999       9999       SUPORB







































































































































































































0.6628     12.1091    9.0266     RORBIT
0.5868     12.283     9.0311
0.4865     12.4059    9.1001
0.3571     12.5824    9.176
0.3406     12.7406    9.3851
0.2521     12.9186    9.5746
0.2379     12.9836    9.7044
0.2302     13.0767    9.9039
0.183      13.165     10.0791
0.1772     13.2183    10.2567
0.2795     13.2966    10.5195
0.3759     13.3641    10.6859
0.4511     13.3798    10.9389
0.5272     13.2719    11.0869
0.6758     13.0897    11.2411
0.7392     12.8886    11.3466
0.7129     12.5973    11.4192
0.8476     12.4813    11.492
0.9925     12.3109    11.4841
1.1358     12.1357    11.5204
1.2962     11.9323    11.5353
1.4118     11.8905    11.6506
1.5269     11.6825    11.6754
1.6744     11.5898    11.758
1.7999     11.4893    11.8124
1.9301     11.3671    11.7368
1.9988     11.2485    11.6573
2.0372     11.1618    11.4294
2.0248     11.159     11.2285
2.0367     11.117     11.0521
1.9955     11.0647    10.8715









































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































2.0174     7.8451     10.5292    OP
2.8369     9.3329     10.6983    BA
9999       9999       9999       ST
9999       9999       9999       IV
-0.0232    11.0162    10.4157    R_PG
9999       9999       9999       R_ZTI
3.6714     16.1382    11.2079    R_M3D
4.2902     18.5812    10.3472    R_M12
5.079      20.2711    9.6132     R_MP3
9999       9999       9999       R_PMI
6.1149     8.3218     10.126     L_PG
9999       9999       9999       L_ZTI
8.19       14.6085    10.156     L_M3D
9.0437     16.4485    9.1433     L_M12
8.916      18.469     8.0084     L_MP3
9999       9999       9999       L_PMI
8.3376     21.0895    9.1676     O1
5.5046     11.5864    3.5004     O2
