UWMA       MP 222     Tod27stv
10.4366    26.4067    5.0568     IN
10.464     22.7555    8.8686     BR
10.6734    16.4327    9.2951     GL
10.6732    16.0274    8.3082     NA
10.9206    13.0804    6.492      RH
10.8147    9.8876     4.189      NS
11.0276    9.3601     3.6361     PR
10.1961    9.5298     3.6769     R_PR2
10.2569    13.0385    6.2998     R_PMS
7.2587     15.4381    3.7767     R_ZMI
8.6638     16.5425    6.9224     R_ZMU
10.1163    16.4401    8.1324     R_DA
8.4665     16.8682    9.1513     R_MTI
8.9231     17.1359    9.5781     R_MTS
7.2815     17.6405    7.9037     R_FMO
6.8308     18.1909    8.0367     R_FMT
6.6109     22.6992    4.5863     R_PO
5.8601     17.5399    4.5934     R_ZTS
11.6431    9.5564     3.6089     L_PR2
11.3004    13.3379    6.391      L_PMS
14.5882    15.5961    3.898      L_ZMI
12.9275    16.469     6.8015     L_ZMU
11.2306    16.3703    8.0179     L_DA
12.3813    16.9643    9.3628     L_MTI
12.2451    17.1006    9.8059     L_MTS
14.0289    17.604     8.2009     L_FMO
14.5606    18.2585    8.0493     L_FMT
14.4511    22.8114    4.5376     L_PO
15.6285    17.9372    4.5206     L_ZTS
11.8304    10.289     4.379      O1
7.4181     18.6348    8.7544     O2
16.0583    19.9854    4.4109     O3
12.4243    25.7531    4.6218     O4







































































































































































10.5799    16.3607    9.1932     GLRH
10.6221    16.2856    8.9609
10.6388    16.2586    8.7805
10.6471    16.182     8.6004
10.6825    16.0853    8.3834
10.6959    15.9812    8.2531
10.7018    15.8911    8.098
10.6888    15.7592    7.9308
10.6845    15.6789    7.7802
10.6949    15.5156    7.6416
10.7279    15.4018    7.558
10.6962    15.2999    7.4612
10.6958    15.1182    7.3422
10.7154    14.9036    7.2161
10.7534    14.7353    7.1159
10.7299    14.6631    7.079
10.7739    14.103     6.7114
10.7916    13.8769    6.6727
10.803     13.737     6.632
10.7587    13.6219    6.6109
10.8242    13.5831    6.62
10.9343    13.0967    6.4566


















































































































































































10.9082    13.0476    6.4125     NOSE
10.1779    12.4582    5.8583
10.0839    12.1239    5.6596
9.8968     11.9155    5.4986
9.8278     11.8849    5.4224
9.8026     11.6942    5.2728
9.7721     11.589     5.1802
9.7304     11.471     5.0578
9.7252     11.3197    4.9581
9.7619     11.1456    4.8709
9.8097     10.9917    4.7597
9.9011     10.8755    4.6706
9.9628     10.7307    4.598
