BPI        M3073      Tod28stv
11.0024    25.53      5.9866     IN
10.6548    22.2338    10.6656    BR
10.7136    15.7382    10.0877    GL
10.7609    15.477     9.5861     NA
10.9576    11.7719    6.4786     RH
11.1574    9.9686     3.9819     NS
11.1416    9.5382     3.4352     PR
10.0776    9.7235     3.5026     R_PR2
10.576     12.9894    7.1068     R_PMS
7.4422     14.704     4.889      R_ZMI
8.939      15.2713    7.773      R_ZMU
10.4747    15.398     9.0724     R_DA
8.8712     15.955     10.1648    R_MTI
8.8227     16.3988    10.4823    R_MTS
7.8199     16.3987    8.7737     R_FMO
7.2539     16.9706    8.6501     R_FMT
6.4338     21.2769    5.7485     R_PO
6.1227     16.2847    5.6582     R_ZTS
9999       9999       9999       L_PR2
11.4052    13.0474    6.8867     L_PMS
14.4453    15.0008    4.5325     L_ZMI
12.7776    15.2878    7.5712     L_ZMU
11.5464    15.5527    8.7703     L_DA
12.6838    16.0955    10.216     L_MTI
12.7277    16.3228    10.5856    L_MTS
14.0853    16.5995    8.867      L_FMO
14.4976    17.5106    8.8641     L_FMT
14.7643    21.876     5.5241     L_PO
15.5574    17.1957    5.4854     L_ZTS
10.2019    10.1746    4.529      O1
7.577      17.6137    9.6855     O2
16.1029    19.8493    5.5435     O3
12.063     25.2982    6.0701     O4







































































































































































10.7892    15.6681    9.913      GLRH
10.7997    15.5876    9.7752
10.8087    15.4825    9.5937
10.802     15.3338    9.4308
10.8379    15.2483    9.244
10.861     15.1286    9.1012
10.8761    15.0137    8.9627
10.8853    14.9494    8.8128
10.889     14.8503    8.6469
10.8668    14.6446    8.516
10.8798    14.5041    8.4164
10.9089    14.336     8.1705
10.8838    14.0594    7.9353
10.8881    13.8635    7.7429
10.8559    13.6669    7.5759
10.8937    13.4722    7.4497
10.8901    13.2527    7.3027
10.9218    13.094     7.2761
10.9677    12.8891    7.186
10.9347    12.7106    7.0579
10.9926    12.4867    6.9673
11.0198    12.2827    6.867
10.9899    12.1378    6.7781
11.01      12.0163    6.6988
11.0135    11.9304    6.6432
11.0042    11.7986    6.5322














































































































































































11.0452    11.7734    6.4731     NOSE
10.7969    11.7495    6.4406
10.5712    11.739     6.3934
10.3941    11.659     6.2242
10.2929    11.5772    6.0652
10.2225    11.4791    5.9434
10.1569    11.4024    5.8131
10.1217    11.2963    5.7002
10.1077    11.1783    5.5753
10.1065    11.0455    5.4734
10.1085    10.9338    5.3334
10.174     10.6416    5.0512
10.2447    10.5515    4.9149
10.3057    10.4488    4.7876
10.4321    10.3318    4.6027
10.5306    10.2702    4.4426
11.1187    9.9963     4.0136
11.3568    10.2987    4.255
11.4216    10.435     4.3745
11.5745    10.5525    4.5488
11.7603    10.6526    4.6766
11.7981    10.7794    4.7922
11.8841    10.9025    4.9242
11.9456    11.0287    5.0121
12.0237    11.1421    5.1542
11.9758    11.3815    5.3545
11.8742    11.505     5.5085
11.8947    11.5946    5.6865
11.8307    11.7189    5.8783
11.7311    11.807     6.0148
11.6837    11.7566    6.2306
11.4977    11.7518    6.3888
11.2878    11.8149    6.4812
11.0286    11.8242    6.4764






































































































































































9999       9999       9999       NASP-PR







































































































































































































10.5265    12.9086    6.9765     R-PM/MAX
10.4577    12.7284    6.8558
10.4064    12.5526    6.75
10.363     12.4076    6.6423
10.3409    12.2374    6.5032
10.2917    12.0877    6.373
10.2067    11.9792    6.2451
10.0763    11.8193    6.1306
9.948      11.6553    5.9624
9.9179     11.5028    5.8114
9.8552     11.3249    5.6324
9.8303     11.1529    5.46
9.8352     11.0073    5.2513
9.8038     10.8533    5.0524
9.7794     10.7114    4.8931
9.7761     10.6391    4.6927
9.7509     10.5525    4.5878
9.6907     10.4821    4.4133
9.6271     10.4003    4.2222
9.5944     10.3588    4.09
9.5654     10.2881    3.9909
9.5454     10.2252    3.8684
9.6436     10.2021    3.601

















































































































































































11.4204    12.9623    6.839      L-PM/MAX
11.4994    12.7228    6.6806
11.5971    12.4247    6.6141
11.65      12.1511    6.4374
11.7848    12.0875    6.2468
11.8382    11.9717    5.9853
11.9457    11.8711    5.7939
12.0382    11.7174    5.5962
12.0663    11.572     5.4468
12.1209    11.4756    5.3312
12.1472    11.3184    5.1109
12.1747    11.2429    5.0098
12.2003    11.1337    4.8418
12.2104    10.9952    4.679
12.2552    10.857     4.5133
12.3067    10.7375    4.3837
12.3631    10.6612    4.2399
12.4195    10.5614    4.0756
12.4547    10.5074    3.8717
12.4916    10.4608    3.7205
12.4199    10.4421    3.4325



















































































































































































8.4463     13.6685    3.2529     ROSTRUM
8.4879     13.6506    3.5461
8.4377     13.727     3.7575
8.409      13.7423    3.9939
8.4529     13.7648    4.2103
8.5492     13.8205    4.4627
8.6714     13.8581    4.7359
8.8369     13.905     5.0382
8.955      13.9364    5.255
9.0611     13.9291    5.462
9.1725     13.922     5.6869
9.254      13.932     5.8657
9.3208     13.9747    5.9809
9.4057     13.9878    6.1837
9.4005     13.9825    6.4057
9.4211     13.9677    6.6268
9.56       14.0061    6.9082
9.7735     14.073     7.1137
9.9163     14.114     7.2384
10.0294    14.1796    7.3605
10.2375    14.217     7.5391
10.3796    14.1887    7.6521
10.4616    14.232     7.761
10.5791    14.2431    7.9196
10.7291    14.2073    8.0442
10.8436    14.2527    8.0816
10.9738    14.2319    8.0569
11.1407    14.2624    8.0141
11.2106    14.2523    7.9268
11.3416    14.2748    7.8179
11.4798    14.2792    7.6486
11.6154    14.2691    7.4679
11.7339    14.2392    7.3454
11.7197    14.2287    7.3356
11.966     14.2632    7.1379
12.15      14.2755    7.0227
12.2505    14.2684    6.9498
12.3727    14.256     6.8265
12.476     14.2594    6.7031
12.5463    14.3144    6.491
12.5894    14.3312    6.2798
12.671     14.3185    6.0283
12.7515    14.3294    5.9209
12.8513    14.3241    5.7805
12.8939    14.2888    5.6226
12.9728    14.2517    5.3904
13.0551    14.2322    5.1596
13.0901    14.1778    5.0085
13.1608    14.1702    4.8619
13.238     14.1084    4.6739
13.3547    14.1079    4.5084
13.516     14.088     4.2925
13.559     14.0445    4.043
13.5501    14.0322    3.8613
13.5534    14.0283    3.7027
13.5528    14.0242    3.5441
13.55      14.0164    3.3811
13.5667    13.9825    3.2356














































































































































7.2646     16.9732    8.6617     SUPORB
7.3255     17.0906    9.0057
7.3083     17.0792    9.321
7.343      17.1428    9.4608
7.3943     17.1371    9.6712
7.5872     17.0778    9.8718
7.7226     16.998     9.9792
7.8309     16.8592    10.0563
7.9713     16.7648    10.1279
8.1365     16.6345    10.2171
8.4172     16.4135    10.3328
8.6583     16.3215    10.4097
8.8879     16.2657    10.4496
9.2202     16.4094    10.4904
9.4694     16.5272    10.5226
9.7447     16.4884    10.5317
10.0115    16.3886    10.5087
10.215     16.283     10.4818
10.4007    16.144     10.4278
10.649     16.083     10.3939
10.8074    16.1099    10.3911
11.066     16.1943    10.4314
11.2643    16.2545    10.4692
11.4419    16.3168    10.5098
11.5948    16.3673    10.5501
11.8053    16.4325    10.5891
12.0322    16.4732    10.5885
