NME        KGA 7-350   Tol7sf
6.8086     4.8312     -9.4732    IN
11.6295    10.8982    -13.0972   BR
15.7208    15.8558    -12.4918   GL
15.8029    16.0319    -11.843    NA
9999       9999       9999       RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
9999       9999       9999       R_PMS
9999       9999       9999       R_ZMI
9999       9999       9999       R_ZMU
14.7327    16.0434    -11.3286   R_DA
13.2367    16.8376    -12.7018   R_MTI
13.0915    16.5464    -13.4378   R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
5.7354     12.8382    -6.6493    R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
9999       9999       9999       L_PMS
9999       9999       9999       L_ZMI
9999       9999       9999       L_ZMU
16.194     15.3989    -11.4114   L_DA
17.7744    13.7098    -12.3433   L_MTI
17.3742    13.2867    -13.2964   L_MTS
18.2728    12.5146    -11.2806   L_FMO
18.4284    11.1064    -11.7225   L_FMT
14.873     5.5602     -6.5659    L_PO
9999       9999       9999       L_ZTS
16.7841    12.5254    -13.1224   O1
8.8556     14.2044    -8.9572    O2
17.9275    6.2529     -6.9732    O3
4.0697     7.9926     -8.037     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































10.4235    17.221     -12.3395   SUPORB
10.476     17.2172    -12.6107
10.53      17.1609    -12.7878
10.6619    17.0949    -12.9692
10.7929    17.0892    -13.0419
11.0173    17.0942    -13.0162
11.1766    17.1591    -12.9787
11.3011    17.1978    -12.9867
11.5542    17.1717    -13.0746
11.75      17.1442    -13.1214
11.9329    17.1038    -13.1729
12.0887    17.1032    -13.2165
12.2721    17.0618    -13.2724
12.4523    17.0463    -13.3118
12.6001    16.9914    -13.3695
12.7629    16.8193    -13.4243
13.0112    16.7737    -13.4734
13.1329    16.6839    -13.4742
13.411     16.6304    -13.472
13.6286    16.5346    -13.4324
13.8631    16.3407    -13.3877
14.087     16.2513    -13.4035
14.2947    16.1773    -13.4291
14.5086    16.0228    -13.4557
14.716     15.8681    -13.4191
14.9449    15.765     -13.3464
15.1559    15.6814    -13.2736
15.3188    15.6384    -13.2343
15.4216    15.5995    -13.183
15.5857    15.5749    -13.1521
15.7583    15.2861    -13.2485
15.8816    15.0417    -13.3322
16.036     14.8721    -13.379
16.1702    14.5641    -13.4445
16.3624    14.3497    -13.4391
16.5799    14.2623    -13.454
16.766     14.1186    -13.4097
17.0022    14.0039    -13.4172
17.2793    13.7822    -13.3359
17.4065    13.6567    -13.284
17.4894    13.3981    -13.2488
17.6828    13.1474    -13.1223
17.8465    12.8393    -12.9661
17.9849    12.5813    -12.8425
18.0579    12.3318    -12.7456
18.1585    12.1684    -12.6383
18.2115    12.0162    -12.5777
18.2566    11.7774    -12.5032
18.3444    11.6032    -12.3683
18.4308    11.4242    -12.2008
18.4134    11.3303    -12.1438
18.4045    11.1693    -11.9385
18.2659    11.0841    -11.6367
18.3433    11.106     -11.5151


















































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































7.7608     5.9421     -11.1091   OP
8.6109     7.1961     -13.0343   BA
9999       9999       9999       ST
9999       9999       9999       IV
13.2637    3.98       -13.4288   R_PG
