NME        HAR-VP 1   Tol8sf
9999       9999       9999       IN
16.168     15.3971    -17.7535   BR
11.0262    10.9561    -17.3946   GL
10.8902    10.6604    -15.9213   NA
8.5723     7.7263     -11.6754   RH
7.3821     5.8666     -8.4201    NS
6.3511     5.0741     -7.1491    PR
6.9466     4.4507     -7.3833    R_PR2
9999       9999       9999       R_PMS
14.769     6.3144     -7.9974    R_ZMI
9999       9999       9999       R_ZMU
12.0328    10.1352    -15.5973   R_DA
13.5607    8.9549     -16.509    R_MTI
13.5949    9.0033     -17.8986   R_MTS
14.8776    7.9897     -15.5525   R_FMO
16.9459    7.5898     -15.9146   R_FMT
9999       9999       9999       R_PO
16.5258    5.8683     -11.7256   R_ZTS
6.0446     6.0525     -7.2178    L_PR2
9.6566     9.4628     -12.8616   L_PMS
8.8224     14.0499    -8.1791    L_ZMI
9.9165     12.4458    -13.4491   L_ZMU
10.5999    11.5956    -15.7801   L_DA
9.6474     13.2403    -16.4716   L_MTI
9.62       13.5415    -17.9393   L_MTS
9.324      14.9031    -15.6161   L_FMO
9.3412     16.9566    -16.2588   L_FMT
14.8209    21.6952    -11.1004   L_PO
8.5272     17.8195    -10.9159   L_ZTS
6.45       4.5509     -6.9379    O1
16.1102    9.8091     -17.3815   O2
8.6208     19.3661    -10.508    O3
18.2154    20.7268    -13.7774   O4







































































































































































11.1055    10.9373    -17.1959   GLRH
11.0972    10.8887    -17.0237
11.0594    10.8487    -16.8263
11.0858    10.833     -16.7094
11.0477    10.8263    -16.5999
11.0307    10.7953    -16.3574
11.0454    10.7588    -16.2009
11.0313    10.7603    -16.0911
10.9911    10.7467    -15.9696
10.882     10.6816    -15.7921
10.8625    10.64      -15.5788
10.831     10.5943    -15.4289
10.8466    10.5621    -15.1899
10.9054    10.5673    -15.0618
10.8878    10.5496    -14.9441
10.9187    10.5593    -14.8511
10.8893    10.5431    -14.7298
10.867     10.4675    -14.5395
10.8434    10.4325    -14.3552
10.809     10.3572    -14.2014
10.7135    10.2425    -14.0743
10.6531    10.1174    -13.9488
10.6145    10.0445    -13.8643
10.6047    9.8656     -13.7264
10.4319    9.7344     -13.5596
10.3349    9.6393     -13.5053
10.214     9.4988     -13.3584
10.0956    9.3765     -13.2241
9.9418     9.2319     -13.0635
9.8487     9.076      -12.9086
9.6982     8.9489     -12.8048
9.5535     8.837      -12.6999
9.4295     8.7147     -12.6068
9.2368     8.5196     -12.4598
9.1162     8.3688     -12.3356
8.9413     8.1614     -12.1936
8.8706     8.0862     -12.1422
8.8176     8.0516     -12.0754
8.7933     7.9971     -12.0378
8.7693     7.9187     -11.9946
8.6563     7.8428     -11.9268
8.6206     7.7465     -11.8331
8.5791     7.7392     -11.7344





























































































































































9.3172     6.2521     -10.7588   NOSE
9.3357     6.0396     -10.6108
9.3607     5.8928     -10.462
9.342      5.7729     -10.3106
9.3287     5.6389     -10.1288
9.2691     5.5635     -9.9966
9.2087     5.4866     -9.8884
9.1574     5.4382     -9.8277
9.114      5.3588     -9.6886
8.9914     5.2246     -9.5656
8.8422     5.0721     -9.4022
8.7376     5.0189     -9.2158
8.4612     4.9736     -9.0884
8.3285     4.9719     -8.9856
8.1651     5.0038     -8.8901
7.9891     5.1281     -8.8603
7.8139     5.1688     -8.789
7.6848     5.2686     -8.7363
7.5837     5.3396     -8.6929
7.4906     5.4021     -8.6249
7.3965     5.4998     -8.5487
7.3042     5.5982     -8.4602
7.1734     5.7632     -8.425
7.0779     5.9233     -8.4141
6.9915     6.0667     -8.4421
6.9237     6.2667     -8.5201
6.8763     6.4182     -8.5669
6.8847     6.5627     -8.6152
6.8664     6.7083     -8.663
6.8315     6.8379     -8.6663
6.8175     6.9898     -8.6969
6.8317     7.1509     -8.7221
6.8283     7.2501     -8.7387
6.8332     7.4185     -8.8771
6.8295     7.6033     -9.05
6.8417     7.7679     -9.2366
6.9386     8.0788     -9.4847
7.0291     8.2715     -9.57
7.0732     8.424      -9.7357
7.3223     8.4727     -9.9407
