KNM        ER 153     Too14stv
9999       9999       9999       IN
7.4892     9.0013     14.4661    BR
3.8214     5.3573     10.2717    GL
4.1628     5.3037     9.3056     NA
2.4058     3.2507     4.9315     RH
1.2949     2.1495     1.9486     NS
1.0474     2.0259     0.8547     PR
0.5507     2.856      1.2242     R_PR2
2.3555     4.443      5.7931     R_PMS
2.581      9.2375     4.8067     R_ZMI
3.0914     6.8761     7.6974     R_ZMU
3.987      5.9258     8.7322     R_DA
3.0578     6.6293     10.0647    R_MTI
3.6897     6.6414     11.1343    R_MTS
2.5993     8.8017     9.2592     R_FMO
2.7028     9.8416     9.6403     R_FMT
7.6164     15.0496    8.9087     R_PO
2.76       11.3541    6.6526     R_ZTS
1.6783     0.9315     1.6978     L_PR2
3.1335     3.0145     5.7537     L_PMS
7.8819     1.8939     5.6704     L_ZMI
5.7112     3.3166     8.046      L_ZMU
4.6037     5.2259     8.9813     L_DA
5.4983     4.1399     10.8208    L_MTI
5.3845     4.7835     11.6681    L_MTS
7.6998     3.5602     10.7773    L_FMO
8.4159     4.0286     11.2539    L_FMT
13.463     7.9384     10.3393    L_PO
9999       9999       9999       L_ZTS
0.6343     3.4191     2.0803     O1
2.186      10.6984    5.701      O2
8.0537     4.3599     11.4772    O3
14.0805    11.848     12.2322    O4







































































































































































9999       9999       9999       GLRH







































































































































































































2.4297     3.2086     4.959      NOSE
1.8859     3.8764     4.7243
1.6273     3.78       4.3123
1.3846     3.7716     4.0734
1.2533     3.6959     3.8542
1.1772     3.6099     3.674
1.1312     3.4944     3.4911
1.0966     3.4216     3.3372
1.0608     3.3213     3.2332
1.0763     3.145      3.0134
1.0629     3.0296     2.6862
1.2047     2.6167     2.3315
1.2513     2.4309     2.2061
1.2806     2.2625     2.0372
1.3093     2.1681     2.025
1.4599     1.7415     2.2512
1.7073     1.5781     2.6156
1.947      1.694      3.0443
2.0263     1.7017     3.3771
2.1804     1.8364     3.8162
2.2767     1.9159     4.2157
2.4337     2.1249     4.504
2.5487     2.3783     4.7594
2.6535     2.4438     5.0174
2.6096     2.6422     5.231
2.5533     2.9229     5.2299
2.406      3.2748     4.9077













































































































































































1.1778     2.1596     1.9343     NASP-PR
1.0696     2.0541     1.6901
1.0175     2.0509     1.4685
0.9596     2.0388     1.2169
0.9863     2.0682     1.0032
1.0004     2.0725     0.9059
1.0051     2.0892     0.8005

































































































































































































2.2455     4.3473     5.5414     R-PM/MAX
2.0929     4.2226     5.2279
1.929      4.1391     4.9753
1.8044     4.1459     4.7675
1.6828     4.129      4.6506
1.5748     4.1551     4.4939
1.4304     4.0829     4.2853
1.3484     4.0738     4.1418
1.2571     4.0455     3.9126
1.2114     4.0414     3.7943
1.1401     4.0097     3.6503
1.0729     3.9882     3.4987
1.0236     3.9266     3.2687
0.944      3.8544     3.1325
0.8975     3.8115     2.9038
0.8336     3.8996     2.7188
0.7559     3.924      2.5904
0.7079     3.9039     2.4744
0.6161     4.0122     2.3006
0.5678     3.9669     2.1456
0.5234     3.9556     1.9753
0.5122     3.9729     1.6852
0.5186     4.0326     1.6294
0.5694     4.0103     1.4582
0.6466     3.9766     1.3653
0.8206     3.8353     1.1669














































































































































































3.0849     2.9195     5.6938     L-PM/MAX
2.9899     2.6673     5.4375
2.9413     2.5222     5.2831
2.8393     2.355      5.0869
2.7358     2.1731     4.8708
2.6786     2.0216     4.6459
2.5658     1.8566     4.3796
2.5185     1.7899     4.2469
2.4977     1.7142     4.1479
2.4599     1.6026     3.9682
2.4527     1.5132     3.7244
2.4069     1.4232     3.5655
2.3679     1.3861     3.4391
2.3551     1.3196     3.2873
2.3556     1.1982     3.1052
2.3664     1.1119     2.9132
2.3456     0.9894     2.759
2.3636     0.9264     2.655
2.4414     0.8976     2.4033
2.314      0.8894     2.0883
2.3653     0.8961     1.9936



















































































































































































3.0837     7.7337     2.9277     ROSTRUM
2.8672     7.6849     3.3076
2.7261     7.6467     3.5625
2.5802     7.5618     3.7799
2.4615     7.4802     3.9868
2.3408     7.3908     4.246
2.2702     7.3154     4.5508
2.2228     7.2481     4.6984
2.167      7.1621     4.8713
2.1136     7.0422     5.0377
2.0786     6.9075     5.2943
2.0788     6.7552     5.4877
2.0881     6.6824     5.6277
2.0898     6.5375     5.7642
2.1814     6.28       5.9382
2.2278     6.1402     6.0477
2.2644     5.9259     6.2268
2.3666     5.6302     6.2817
2.4179     5.5012     6.3167
2.5209     5.4463     6.4063
2.6287     5.2759     6.3945
2.7384     5.1051     6.424
2.8204     5.0102     6.4535
2.9076     4.8306     6.4838
3.019      4.7436     6.4879
3.4051     4.128      6.6179
3.5653     3.8205     6.6545
3.7743     3.5057     6.7027
3.901      3.3385     6.6447
3.9985     3.1614     6.6339
4.1557     2.95       6.6069
4.2858     2.7378     6.5826
4.4374     2.5488     6.4698
4.6011     2.4179     6.3325
4.7906     2.2334     6.2029
4.9619     2.1274     6.1522
5.1396     2.0175     6.0069
5.2365     1.983      5.9303
5.4734     1.8115     5.4603
5.6425     1.8028     5.2445
5.8267     1.8109     5.0729
5.9589     1.7975     4.8317
6.0656     1.78       4.6484
6.1453     1.7807     4.4711
6.2303     1.7705     4.2468
6.387      1.8299     3.9603
6.4282     1.8854     3.8337
6.4829     1.9093     3.6745
6.5104     1.9475     3.5672























































































































































2.7374     9.8249     9.6644     SUPORB
2.7486     9.5489     10.0076
2.7726     9.4133     10.1975
2.7514     9.2823     10.3396
2.773      9.0761     10.5446
2.8145     8.8646     10.6406
2.8706     8.6569     10.6888
2.9537     8.3621     10.7506
2.9746     8.2216     10.7548
3.1234     7.8841     10.8271
3.1806     7.5162     10.8811
3.2907     7.2616     10.9403
3.4636     7.1188     11.0477
3.6434     6.9221     11.1305
3.7823     6.6748     11.1864
3.9103     6.3722     11.1585
3.9969     6.0035     11.0635
4.0331     5.8935     11.0531
4.1165     5.8135     11.0601
4.2638     5.6417     11.0892
4.5894     5.396      11.2571
4.8023     5.3651     11.4275
5.0159     5.3598     11.5608
5.2731     5.2353     11.7024
5.509      5.0807     11.7787
5.7778     4.8909     11.826
5.9181     4.6242     11.812
6.1331     4.4545     11.8032
6.3397     4.3481     11.839
6.5778     4.1931     11.8115
6.782      4.1368     11.8108
6.9771     4.0286     11.8195
7.165      3.9935     11.8405
7.4285     3.9471     11.8358
7.9668     3.777      11.6048
8.081      3.8023     11.595
8.246      3.7911     11.4893
8.3839     3.8906     11.4746
8.4353     3.9152     11.4618
8.5328     3.9667     11.1848
































































































































































3.0357     6.9204     7.728      RORBIT
2.8819     7.14       7.6525
2.7871     7.3988     7.6534
2.7373     7.571      7.6988
2.7379     7.7112     7.7373
2.6928     7.9598     7.8074
2.6921     8.1414     7.95
2.6649     8.307      8.0413
2.6806     8.388      8.1779
2.6824     8.5031     8.303
2.6881     8.5892     8.4488
2.6927     8.6158     8.5175
2.6623     8.7671     8.6749
2.7042     8.7776     8.8969
2.6279     8.8264     9.179
2.6074     8.6228     9.4571
2.552      8.3328     9.7262
2.4798     7.9426     10.1434
2.5495     7.7108     10.1358
2.6888     7.3601     10.1965
2.8767     7.006      10.1218
3.0046     6.6516     10.1291
3.0383     6.5612     10.1521
3.2342     6.3806     10.0901
3.334      6.2203     10.1569
3.5127     5.947      10.1538
3.6831     5.8679     9.9772
3.9057     5.7768     9.7192
4.0702     5.8587     9.1483
4.1003     5.8773     8.9488
3.8965     6.0447     8.689
3.8659     6.0045     8.5696
3.8172     6.0325     8.469
3.7822     6.0763     8.412






































































































































































9999       9999       9999       LORBIT







































































































































































































2.7172     9.8189     9.6808     RTEMFOS
2.7034     9.9493     9.502
2.6458     9.9974     9.3415
2.5958     9.9901     9.1475
2.5924     9.9759     9.0006
2.5725     9.9863     8.8133
2.5504     9.9532     8.5821
2.4414     9.9783     8.5059
2.4135     9.9957     8.3195
2.3788     9.9528     8.0944
2.3632     9.9921     7.8851
2.362      10.0415    7.6082
2.3731     10.0871    7.387
2.3118     10.1952    7.0994
2.3082     10.2546    6.9283
2.3653     10.465     6.709
2.4124     10.633     6.6138
2.5194     10.8328    6.5958
2.5776     10.9277    6.5867
2.6206     11.0328    6.6
2.6708     11.0911    6.6401
2.7594     11.287     6.6894
2.7946     11.3698    6.7073
2.8213     11.4017    6.7222
2.8733     11.4783    6.7588















































































































































































9999       9999       9999       LTEMFOS







































































































































































































2.8218     3.9753     10.289     OP
4.7608     5.6507     10.6365    BA
9999       9999       9999       ST
13.1203    13.1795    11.2295    IV
2.1592     9.1001     10.831     R_PG
9999       9999       9999       R_ZTI
7.7064     11.0231    10.6886    R_M3D
9.6839     13.7414    11.6592    R_M12
12.3577    15.557     11.6803    R_MP3
14.0374    15.8683    11.703     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
10.7866    7.5121     10.9408    L_M3D
9999       9999       9999       L_M12
15.8201    11.8995    12.381     L_MP3
15.8676    13.5854    11.5546    L_PMI
14.0529    15.7062    10.4528    O1
6.3544     14.084     8.8538     O2
10.9356    5.3592     5.2672     O3
2.9427     0.7462     8.2277     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































7.6668     10.9342    10.6729    R-ALV
8.0575     11.7653    10.6593
8.1527     12.3544    11.2543
8.6308     12.769     11.4898
8.9662     13.4249    11.8636
9.5367     13.6761    11.6588
10.0641    14.0341    11.6972
10.2693    14.2036    11.7545
10.6604    14.4889    11.6864
10.8565    14.7059    11.6647
11.3039    15.0185    11.7046
11.5499    15.1715    11.7991
11.6251    15.2278    11.8179
11.7883    15.3183    11.7988
12.0361    15.4353    11.7253
12.2407    15.5859    11.491
12.3716    15.7219    11.3782























































































































































































9999       9999       9999       L-ALV
