KNM        ER 3823    Too15stv
17.5256    19.9366    5.7476     IN
9999       9999       9999       BR
9999       9999       9999       GL
9999       9999       9999       NA
9999       9999       9999       RH
9999       9999       9999       NS
5.5278     6.3347     2.7348     PR
5.1137     6.8831     2.765      R_PR2
9999       9999       9999       R_PMS
6.5376     14.1327    3.6746     R_ZMI
9999       9999       9999       R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
11.5668    19.6185    4.5903     R_PO
9999       9999       9999       R_ZTS
6.1458     6.0942     2.8442     L_PR2
9999       9999       9999       L_PMS
12.9227    8.5172     3.3273     L_ZMI
9999       9999       9999       L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
18.0864    14.0411    4.7907     L_PO
15.348     8.9644     4.7677     L_ZTS
5.0537     7.7445     3.4715     O1
8.3634     15.0062    6.5895     O2
17.8462    11.5286    4.9419     O3
16.4993    20.8068    5.7569     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































7.4786     9.521      7.5335     OP
9.0917     10.9678    6.9649     BA
12.9176    14.6775    6.3653     ST
16.8011    18.5662    6.1133     IV
6.0196     14.113     6.5005     R_PG
9999       9999       9999       R_ZTI
11.1809    16.394     6.9251     R_M3D
13.0972    19.1573    7.0364     R_M12
15.581     20.6337    6.1496     R_MP3
16.9515    20.5793    6.1444     R_PMI
12.2876    7.7757     6.8738     L_PG
14.8269    8.5498     6.0181     L_ZTI
14.0833    13.1649    7.1701     L_M3D
17.1204    15.0206    7.5919     L_M12
18.8389    17.4405    6.8223     L_MP3
18.8252    18.8549    6.3367     L_PMI
17.1536    20.5834    5.1704     O1
9.7362     16.6123    2.975      O2
13.864     7.799      5.5902     O3
4.5059     8.6485     5.0081     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































16.6928    12.552     6.4369     LZYGINF
16.6647    12.2615    6.3098
16.7015    11.9573    6.2483
16.7992    11.7376    6.2504
16.9294    11.5602    6.2377
17.0033    11.3738    6.1976
17.0701    11.1919    6.2307
